Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,"Margin of error","Sample size",Polling method,Lead
Strategic Counsel,22 January 2006,PDF,27,37,19,11,6,± 2%,"2,500",,10
Nanos Research,22 January 2006,PDF,30.1,36.4,17.4,10.6,5.6,± 3.1%,"1,200 (1/3)",Telephone (rolling),6.3
Ipsos-Reid,22 January 2006,HTML,27,38,19,12,4,± 1.1%,"9,648",,11
Nanos Research,21 January 2006,PDF,28.1,37.0,17.7,11.3,6.0,± 3.1%,"1,200 (1/3)",Telephone (rolling),8.9
Strategic Counsel,21 January,PDF,27,37,18,11,6,± 2.2%,"2,000",,10
Nanos Research,20 January,PDF,29.4,36.2,17.3,11.0,6.1,± 3.1%,"1,200 (1/3)",Telephone (rolling),6.8
EKOS,20 January,PDF,26.9,37.1,19.5,11.5,4.6,,,,10.2
EKOS,20 January,PDF,24.4,38.4,19.8,11.9,5.4,,,,14
Ipsos-Reid,19 January,PDF,26,38,19,11,5,,,,12
EKOS,19 January,PDF,27.0,37.1,19.7,11.2,4.5,,,,10.1
Strategic Counsel,19 January,PDF,28,38,17,11,7,,,,10
Nanos Research,19 January,PDF,29.0,35.5,18.8,11.1,5.6,± 2.9%,"1,200 (1/3)",Telephone (rolling),6.5
EKOS,19 January,PDF,27.3,37.4,20.8,10.1,3.9,,,,9.9
Strategic Counsel,18 January,PDF,28,37,16,12,7,,,,9
Nanos Research,18 January,PDF,30.7,37.0,16.6,10.7,4.9,,,,6.3
EKOS,18 January,PDF,29.3,35.1,18.0,12.6,4.4,,,,5.8
Leger Marketing,17 January,PDF,29,38,17,11,—,,,,9
Strategic Counsel,17 January,PDF,25,41,17,12,5,,,,16
Nanos Research,17 January,PDF,31.5,36.9,17.6,10.0,4.0,,,,5.4
EKOS,17 January,PDF,27.2,36.9,19.6,11.0,4.8,,,,9.7
Strategic Counsel,16 January,PDF,24,42,17,12,5,,,,18
Nanos Research,16 January,PDF,30,37,18,10,4,,,,7
EKOS,16 January,PDF,29.6,35.8,19.4,11.6,3.4,,,,6.2
Decima Research,15 January,PDF,27,37,18,11,—,± 3.1%,1017,telephone,10
Ipsos-Reid,15 January,PDF,26,38,19,12,5,,,,12
Strategic Counsel,15 January,PDF,27,40,16,11,6,,,,13
Nanos Research,15 January,PDF,29,37,18,11,5,,,,8
EKOS,15 January,PDF,27.2,38.6,18.6,10.6,4.4,± 3.2,968,Telephone,11.4
Nanos Research,14 January,PDF,30,38,17,10,6,,,,8
Strategic Counsel,14 January,PDF,27,40,16,11,6,,,,13
Nanos Research,13 January,PDF,29,38,16,11,7,,,,9
