Polling firm,"Last date of polling",Source,CPC,LPC,NDP,BQ,GPC,Other,Type,ME Polling firm,"Last day of survey",Source,,,,,,,Type,ME
Angus Reid Public Opinion,"March 24, 2011",,39,25,19,10,7,±2 pp
Leger Marketing,"March 24, 2011",,39,23,19,9,7,±1.7 pp
EKOS Research Associates,"March 24, 2011",,35.3,28.1,14.2,9.7,10.6,±2.0 pp (c-95%)
Ipsos Reid,"March 23, 2011",,43,24,16,10,6,±3.1 pp (c-95%)
Harris-Decima,"March 20, 2011",,34,28,17,10,9,±2.2 pp (c-95%)
EKOS Research Associates,"March 16, 2011",,34.1,25.7,16.4,10.2,10.4,±2.8 pp
Nanos Research,"March 15, 2011",,38.6,27.6,19.9,10.1,3.8,±3.2 pp
Leger Marketing,"March 10, 2011",,36,23,18,10,10,±2.1 pp
Ipsos Reid,"March 9, 2011",,40,27,16,11,5,±3.1 pp (c-95%)
Angus Reid Public Opinion,"March 9, 2011",,39,23,17,9,9,±3.1 pp
EKOS Research Associates,"March 8, 2011",,35.2,27.8,14.9,8.8,10.1,±2.0 pp
Harris-Decima,"February 27, 2011",,36,28,15,9,9,±2.2 pp (c-95%)
Ipsos Reid,"February 27, 2011",,43,27,13,10,5,±3.1 pp (c-95%)
Abacus Data,"February 23, 2011",,38,23,19,11,8,±3.1 pp (c-95%)
EKOS Research Associates,"February 22, 2011",,32.4,27.3,14.8,10.5,11.9,±2.0 pp
Angus Reid Public Opinion,"February 18, 2011",,39,26,18,9,6,±1.2 pp
Nanos Research,"February 14, 2011",,39.7,26.6,18.9,9.9,4.9,±3.4 pp
Harris-Decima,"February 13, 2011",,37,27,14,10,10,±3.1 pp (c=95%)
Ipsos Reid,"February 10, 2011",,39,25,18,9,10,±3.1 pp
EKOS Research Associates,"February 9, 2011",,37.3,24.8,14.2,9.9,10.7,±2.4 pp
Ipsos Reid,"February 2, 2011",,34,29,16,11,10,±3.1 pp
EKOS Research Associates,"January 26, 2011",,35.4,27.9,14.8,9.7,9.8,±1.4 pp (c=95%)
Abacus Data,"January 24, 2011",,35,27,18,10,9,±3.0 pp (c=95%)
Pollara,"January 24, 2011",,35,28,19,10,8,not stated
Harris-Decima,"January 16, 2011",,36,28,15,9,9,±2.2 pp (c=95%)
EKOS Research Associates,"January 12, 2011",,34.5,27.3,14.8,9.8,10.3,±1.7 pp (c=95%)
Angus Reid Public Opinion,"January 9, 2011",,34,28,17,11,8,±3.1 pp
EKOS Research Associates,"December 15, 2010",,32.0,26.5,17.1,10.6,10.9,±2.0 pp (c=95%)
Harris-Decima,"December 13, 2010",,31,29,15,9,11,±2.2 pp (c=95%)
Ipsos Reid,"December 9, 2010",,39,29,12,10,9,±3.1 pp
Angus Reid Public Opinion,"December 7, 2010",,38,26,18,10,7,±3.1 pp
EKOS Research Associates,"December 7, 2010",,33.7,29.2,14.4,9.8,10.4,±2.7 pp (c=95%)
Abacus Data,"December 6, 2010",,35,24,20,10,10,±3.1 pp (c=95%)
Nanos Research,"December 5, 2010",,38.1,31.2,17.2,10.2,3.2,±3.6 pp (c=95%)
EKOS Research Associates,"November 30, 2010",,32.6,27.4,15.8,9.9,10.9,±2.2 pp (c=95%)
EKOS Research Associates,"November 23, 2010",,33.3,27.1,16.6,9.5,9.5,±2.2 pp (c=95%)
EKOS Research Associates,"November 16, 2010",,32.4,28.7,16.3,9.9,9.8,±2.5 pp (c=95%)
EKOS Research Associates,"November 9, 2010",,29.4,28.6,19.3,9.3,10.7,±2.3 pp (c=95%)
Nanos Research,"November 5, 2010",,37.1,31.6,15.4,10.8,5.2,±3.4 pp (c=95%)
Ipsos Reid,"November 4, 2010",,35,29,16,8,11,±3.1 pp (c=95%)
Abacus Data,"November 1, 2010",,33,25,21,10,10,±3.1 pp (c=95%)
Harris-Decima,"October 31, 2010",,33,28,17,9,10,±2.2 pp (c=95%)
Angus Reid Public Opinion,"October 26, 2010",,37,26,19,10,6,±3.1 pp (c=95%)
EKOS Research Associates,"October 26, 2010",,33.9,27.8,15.1,9.3,11.6,±3.0 pp (c=95%)
EKOS Research Associates,"October 19, 2010",,30.9,29.4,13.9,11.2,11.6,±2.5 pp (c=95%)
Harris-Decima,"October 17, 2010",,32,30,14,10,10,±2.2 pp (c=95%)
EKOS Research Associates,"October 12, 2010",,34.4,27.8,15.8,9.3,10.4,±2.5 pp (c=95%)
Nanos Research,"October 6, 2010",,36.6,32.4,16.3,9.8,4.9,±3.4 pp (c=95%)
EKOS Research Associates,"October 5, 2010",,31.8,27.6,16.5,9.7,11.2,±2.0 pp (c=95%)
Angus Reid Public Opinion,"September 28, 2010",,34,26,18,10,11,±3.1 pp (c=95%)
EKOS Research Associates,"September 28, 2010",,33.1,29.9,13.5,10.1,10.9,±2.3 pp (c=95%)
Ipsos Reid,"September 23, 2010",,35,29,12,11,12,±3.1 pp (c=95%)
EKOS Research Associates,"September 21, 2010",,31.7,29.3,14.6,9.7,11.8,±2.5 pp (c=95%)
Harris-Decima,"September 19, 2010",,33,30,14,10,11,±2.2 pp (c=95%)
