Polling firm,"Last date of polling",Source,CPC,LPC,NDP,BQ,GPC,Other,Type,ME
Forum Research,"May 1, 2011",,36,19,33,5,6,,Phone (IVR),±1.6
EKOS Research Associates,"May 1, 2011",,33.9,21.0,31.2,6.4,6.0,1.5,Phone (IVR),±1.8
Nanos Research,"May 1, 2011",,37.1,20.5,31.6,5.7,3.8,1.4,Phone,±3.0
Harris-Decima,"May 1, 2011",,36,19,30,6,6,,Phone,±3.1
EKOS Research Associates,"April 30, 2011",,34.6,20.4,31.4,5.4,6.3,1.8,Phone (IVR),±1.8
Forum Research,"April 30, 2011",2,35,19,33,5,7,,Phone (IVR),±1.6
Nanos Research,"April 30, 2011",,37.0,22.7,30.6,5.5,3.2,,Phone,±3.0
Abacus Data,"April 29, 2011",,37,18,32,7,7,,Online,±3.2
COMPAS,"April 29, 2011",,46,17,26,7,4,,Phone,±3.6
Nanos Research,"April 29, 2011",,38.0,23.3,29.6,5.2,3.1,,Phone,±3.0
Angus Reid Public Opinion,"April 29, 2011",,37,19,33,6,4,,Online,±2.2
Leger Marketing,"April 28, 2011",,36,21,31,7,4,,Online,±1.7
Ipsos Reid,"April 28, 2011",,38,18,33,6,4,,Phone,±3.1
EKOS Research Associates,"April 28, 2011",,34.5,20.0,29.7,6.3,6.9,2.7,Phone (IVR),±1.8
Nanos Research,"April 28, 2011",,36.4,22.0,31.2,5.7,4.0,,Phone,±3.1
Harris-Decima,"April 27, 2011",,35,22,30,5,7,,Phone,±3.1
EKOS Research Associates,"April 27, 2011",,34.8,22.3,27.5,6.1,6.8,2.5,Phone (IVR),±1.9
Nanos Research,"April 27, 2011",,36.6,21.9,30.4,6.0,4.1,,Phone,±3.1
EKOS Research Associates,"April 26, 2011",,34.0,22.9,28.1,6.6,6.5,1.9,Phone (IVR),±1.9
Forum Research,"April 26, 2011",,34,22,31,6,7,,Phone (IVR),±1.8
Nanos Research,"April 26, 2011",,37.8,22.9,27.8,5.8,4.7,,Phone,±3.1
Angus Reid Public Opinion,"April 26, 2011",,35,22,30,7,5,1,Online,±2.2
EKOS Research Associates,"April 25, 2011",,33.9,24.0,27.9,6.0,6.8,1.4,Phone (IVR),±2.0
Innovative Research Group,"April 25, 2011",,38.4,24.9,23.9,6.4,5.3,,Phone,±2.49
EKOS Research Associates,"April 24, 2011",,33.7,23.7,28.0,6.2,7.2,1.2,Phone (IVR),±1.9
Nanos Research,"April 24, 2011",,39.2,25.6,23.6,6.5,3.6,,Phone,±3.1
Nanos Research,"April 23, 2011",,38.6,25.9,23.2,7.2,3.7,,Phone,±3.1
Environics,"April 21, 2011",,39,22,25,7,6,1,Phone,±3.2
Nanos Research,"April 21, 2011",,37.8,26.1,23.7,7.4,3.5,,Phone,±3.1
Ipsos Reid,"April 20, 2011",,43,21,24,6,4,,Phone,±3.1
Forum Research,"April 20, 2011",,36,23,25,6,6,,Phone (IVR),±2.2
Nanos Research,"April 20, 2011",,39.0,26.7,22.1,7.5,3.4,,Phone,±3.1
EKOS Research Associates,"April 20, 2011",,34.4,24.7,24.7,6.5,7.8,1.9,Phone (IVR),±2.2
Nanos Research,"April 19, 2011",,39.1,28.4,19.8,7.7,3.9,,Phone,±3.1
Nanos Research,"April 18, 2011",,39.8,30.2,17.3,8.6,3.1,,Phone,±3.1
Innovative Research Group,"April 17, 2011",,39,28,17,9,6,1,Phone,±2.25
Environics,"April 17, 2011",,39,24,22,9,6,1,Phone,±3.2
EKOS Research Associates,"April 17, 2011",,37.4,24.9,20.0,7.8,8.4,1.5,Phone (IVR),±2.2
Harris-Decima,"April 17, 2011",,36,28,19,8,7,,Phone,±3.1
Nanos Research,"April 17, 2011",,39.8,29.8,17.4,8.6,3.4,,Phone,±3.1
