Polling firm,"Last date of polling",Link,CPC,NDP,LPC,BQ,GPC,"Margin of error","Sample size",Polling method,Lead
Nanos Research,"October 18, 2015",,30.5,19.7,39.1,5.5,4.6,±3.5 pp,800,telephone,8.6
Forum Research,"October 18, 2015",,30,20,40,6,3,±3 pp,"1,373",IVR,10
EKOS,"October 18, 2015",,31.9,20.4,35.8,4.9,5.6,±2.1 pp,"2,122",IVR/telephone – rolling (1/3),3.9
EKOS,"October 17, 2015",,32.6,21.0,34.3,5.4,5.4,±2.4 pp,"1,621",IVR/telephone – rolling (1/2),1.7
Ipsos Reid,"October 17, 2015",,31,22,38,4,4,±2.2 pp,"2,503",online/telephone,7
Nanos Research,"October 17, 2015",,30.5,22.1,37.3,4.6,4.7,±2.2 pp,"2,000",telephone – rolling (2/5),6.8
EKOS,"October 16, 2015",,33.3,21.9,33.7,4.7,4.1,±2.5 pp,"1,537",IVR/telephone – rolling (1/2),0.4
Nanos Research,"October 16, 2015",,30.7,22.6,37.0,4.4,4.7,±2.5 pp,"1,600",telephone – rolling (1/2),6.3
Léger Marketing,"October 16, 2015",,30,22,38,6,4,±2.1 pp,"2,086",online,8
Angus Reid,"October 16, 2015",,31,22,35,5,5,±2.2 pp,"2,022",online,4
Mainstreet Research,"October 15, 2015",,33,21,38,4,5,±1.4 pp,"5,546",IVR,5
EKOS,"October 15, 2015",,32.8,22.7,34.0,3.4,5.1,±2.3 pp,"1,813",IVR/telephone – rolling (1/3),1.2
Nanos Research,"October 15, 2015",,30.6,23.5,36.5,4.3,4.7,±2.8 pp,"1,200",telephone – rolling (1/3),5.9
Forum Research,"October 14, 2015",,31,24,37,6,2,±3 pp,"1,438",IVR,6
EKOS,"October 14, 2015",,32.6,22.9,33.5,3.4,5.6,±2.6 pp,"1,438",IVR/telephone – rolling (1/3),0.9
Nanos Research,"October 14, 2015",,29.4,23.7,37.1,5.0,4.3,±2.8 pp,"1,200",telephone – rolling (1/3),7.7
EKOS,"October 13, 2015",,29.9,24.1,34.1,3.8,6.4,±2.9 pp,"1,179",IVR/telephone – rolling (1/3),4.2
Nanos Research,"October 13, 2015",,29.2,24.5,36.1,5.2,4.3,±2.8 pp,"1,200",telephone – rolling (1/3),6.9
Ipsos Reid,"October 13, 2015",,31,24,37,5,2,±3.0 pp,"1,349",online,6
