Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,PPC,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,"Margin of error","Sample size",Polling method,Lead
Abacus Data,"September 10, 2019",,33,35,15,4,10,3,±2.2 pp,"2,000",online,2
Leger,"September 9, 2019",,34,35,11,5,11,3,±2.49 pp,"1,546",online,1
Mainstreet Research,"September 8, 2019",,37.5,34.0,8.4,3.6,10.8,4.6,±2.26 pp,"1,876",IVR,3.5
Nanos Research,"September 6, 2019",,34.6,30.7,16.5,4.0,11.0,2.0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.9
Campaign Research,"September 5, 2019",,34,34,12,4,12,2,±2.14 pp,"2,094",online,0
Innovative Research,"September 5, 2019",,33,34,13,5,11,5,N/A,"3,236",online,1
Nanos Research,"August 30, 2019",,35.4,31.3,15.7,4.4,10.3,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.1
EKOS,"August 29, 2019",,37.2,32.9,7.2,5.5,10.4,4.3,±3.3 pp,902,IVR,4.3
Leger,"August 29, 2019",,34,33,12,5,12,3,±2.14 pp,"2,102",online,1
Abacus Data,"August 29, 2019",,33,34,17,4,9,3,±1.5 pp,"4,549",online,1
Angus Reid,"August 26, 2019",,32,36,14,4,9,4,±2.5 pp,"1,534",online,4
Nanos Research,"August 23, 2019",,33.66,33.65,14.87,4.17,9.41,2.09,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.01
EKOS,"August 22, 2019",,33.1,34.1,10.4,5.1,11.2,3.7,±2.9 pp,"1,182",IVR,1.0
Leger,"August 19, 2019",,33,33,11,4,13,4,±2.5 pp,"1,535",online,0
Ipsos,"August 19, 2019",,33,35,18,3,9,1,±3.5 pp,"1,001",online,2
Abacus Data,"August 19, 2019",,32,32,17,4,10,3,±2.2 pp,"2,152",online,0
DART/Maru,"August 17, 2019",,32,39,15,5,7,1,±2.9 pp,"1,512",online,7
Nanos Research,"August 16, 2019",,34.61,31.41,14.58,4.16,10.00,1.68,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.20
Campaign Research,"August 13, 2019",,32,33,13,4,12,3,±2 pp,"2,365",online,1
Nanos Research,"August 9, 2019",,35.00,32.46,14.75,3.69,9.80,1.33,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.54
Abacus Data,"August 6, 2019",,32,33,17,4,10,3,±2.7 pp,"1,422",online,1
Nanos Research,"August 2, 2019",,36.7,30.8,16.1,3.7,9.3,1.4,±3.1 pp,"1,000 (1/2)",telephone (rolling),5.9
Mainstreet Research,"July 31, 2019",,34.5,34.1,11.1,4.4,11.1,3.3,±1.97 pp,"2,463",IVR,0.4
Innovative Research,"July 31, 2019",,36,32,14,4,10,4,N/A,"1,804",online,4
Forum Research,"July 28, 2019",,31,34,12,5,12,5,±3 pp,"1,733",IVR,3
EKOS,"July 25, 2019",,30.6,36.0,9.9,4.6,12.9,3.8,±2.9 pp,"1,115",IVR,5.4
Leger,"July 23, 2019",,33,36,11,4,12,3,±2.5 pp,"1,536",online,3
EKOS,"July 18, 2019",,33.6,31.3,12.5,3.1,12.5,4.8,±2.9 pp,"1,186",IVR,2.3
Nanos Research,"July 19, 2019",,35.6,30.0,18.6,4.0,9.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.6
Research Co.,"July 17, 2019",,34,31,17,4,10,3,±3.1 pp,"1,000",online,3
Abacus Data,"July 17, 2019",,32,32,16,4,11,3,±2.6 pp,"1,500",online,0
Ipsos,"July 15, 2019",,31,37,18,5,7,1,±3.5 pp,"1,000",online,6
Campaign Research,"July 12, 2019",,33,32,14,4,14,3,±2.3 pp,"1,896",online,1
Angus Reid,"July 12, 2019",,30,38,14,4,10,2,±2.0 pp,"2,361",online,8
Nanos Research,"July 12, 2019",,35.9,29.7,18.5,4.8,8.3,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
EKOS,"July 8, 2019",,30.7,32.3,10.8,5.0,14.9,4.2,±3.2 pp,948,IVR,1.6
Innovative Research,"July 8, 2019",,35,32,12,4,11,5,N/A,"2,515",online,3
Nanos Research,"July 5, 2019",,34.6,30.4,17.9,4.9,8.8,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.2
Abacus Data,"July 2, 2019",,32,33,16,4,11,3,±1.8 pp,"3,092",online,1
Mainstreet Research,"July 2, 2019",,35.0,33.2,10.4,4.5,10.3,4.6,±1.9 pp,"2,651",IVR,1.8
EKOS,"June 29, 2019",,31.6,34.1,9.7,3.8,12.6,5.7,N/A,"1,194",IVR,2.5
Nanos Research,"June 28, 2019",,34.5,31.7,16.5,4.6,9.8,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
DART/Maru,"June 26, 2019",,33,37,17,5,7,1,±2.9 pp,"1,512",online,4
Forum Research,"June 23, 2019",,29,35,13,5,12,4,±3 pp,"1,539",IVR,6
Nanos Research,"June 21, 2019",,32.5,32.8,16.9,4.9,10.2,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.3
EKOS,"June 17, 2019",,30.1,34.2,12.0,4.3,13.2,3.6,±2.0 pp,"2,491",IVR,4.1
Nanos Research,"June 14, 2019",,30.3,34.0,16.8,4.6,11.4,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.7
Leger,"June 10, 2019",,29,38,13,4,11,3,±2.5 pp,"1,528",online,9
