Polling firm,"Last date of polling",Link,LPC,CPC,NDP,BQ,GPC,PPC,"Margin of error","Sample size",Polling method,Lead
Nanos Research,"October 20, 2019",,31.7,32.5,20.8,7.2,6.0,1.5,±3.6 pp,800,telephone,0.8
Mainstreet Research,"October 20, 2019",,31.6,32.2,18.3,7.9,6.1,2.8,±2.17 pp,"2,032",IVR,0.6
Research Co.,"October 20, 2019",,32,31,19,7,8,2,±3.1 pp,957,online,1
EKOS,"October 20, 2019",,34.2,30.0,18.3,5.0,8.1,3.5,±2.2 pp,"1,994",telephone/IVR,4.2
Campaign Research,"October 20, 2019",,31.4,31.3,17.8,6.6,9.1,2.7,±1.4 pp,"1,498",online (rolling),0.1
Ipsos,"October 19, 2019",,31,33,18,7,6,3,±2 pp,"3,108",online/telephone,2
Abacus Data,"October 19, 2019",,34,32,16,8,8,2,±2.1 pp,"2,000",online,2
Nanos Research,"October 19, 2019",,31.0,31.5,18.8,7.0,9.5,1.8,±2.4 pp,"1,600 (1/2)",telephone (rolling),0.5
Campaign Research,"October 19, 2019",,31.7,31.4,17.4,6.6,9.1,2.7,±1.6 pp,"1,554",online (rolling),0.3
Forum Research,"October 18, 2019",,31.7,29.9,17.5,9.0,8.3,3.0,±3 pp,"1,206",IVR,1.8
Leger,"October 18, 2019",,33,33,18,8,6,2,±2.13 pp,"2,117",online,0
Mainstreet Research,"October 18, 2019",,32.8,31.9,18.3,7.2,5.5,3.3,±2.11 pp,"2,134 (1/3)",IVR (rolling),0.9
Nanos Research,"October 18, 2019",,32.6,30.3,18.4,7.1,9.3,1.9,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Campaign Research,"October 18, 2019",,31,31,18,7,9,3,±2.2 pp,"1,987",online,0
Innovative Research,"October 17, 2019",,33,31,14,9,8,4,N/A,"1,964",online,2
Innovative Research,"October 17, 2019",,34,30,19,6,8,2,N/A,"3,094",online,4
EKOS,"October 17, 2019",,31.0,32.5,17.6,5.5,7.9,3.6,±2.3 pp,"1,881",telephone/IVR,1.5
Mainstreet Research,"October 17, 2019",,32.1,31.9,18.8,7.6,5.8,3.0,±2.11 pp,"2,163 (1/3)",IVR (rolling),0.2
Nanos Research,"October 17, 2019",,31.5,31.6,19.0,6.2,9.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.1
DART/Maru,"October 16, 2019",,29,33,21,8,7,2,±2.9 pp,"1,518",online,4
Forum Research,"October 16, 2019",,30,29,20,7,8,4,±3 pp,"1,028",IVR,1
Mainstreet Research,"October 16, 2019",,31.9,30.9,18.6,7.6,7.0,3.2,±2.12 pp,"2,128 (1/3)",IVR (rolling),1.0
Nanos Research,"October 16, 2019",,31.5,32.5,18.9,6.0,9.2,1.6,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.0
Mainstreet Research,"October 15, 2019",,30.9,30.6,18.3,7.9,7.7,3.6,±2.15 pp,"2,070 (1/3)",IVR (rolling),0.3
Nanos Research,"October 15, 2019",,31.9,32.5,18.8,5.9,9.4,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.6
Angus Reid,"October 15, 2019",,29,33,19,8,8,3,±2.0 pp,"2,100",online,4
EKOS,"October 15, 2019",,31.2,31.8,18.4,6.4,6.8,3.4,±2.3 pp,"1,904",telephone/IVR,0.6
Mainstreet Research,"October 14, 2019",,30.7,31.1,17.2,8.1,8.5,3.6,±2.15 pp,"2,076 (1/3)",IVR (rolling),0.4
Ipsos,"October 13, 2019",,30,32,20,7,8,2,±2.4 pp,"2,204",online/telephone,2
Mainstreet Research,"October 13, 2019",,30.7,32.3,16.6,7.8,8.3,3.4,±2.11 pp,"2,150",IVR (rolling),1.6
Nanos Research,"October 13, 2019",,32.3,32.1,19.2,5.9,9.3,1.0,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.2
Nanos Research,"October 12, 2019",,31.5,32.3,19.7,6.2,9.0,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.8
Nanos Research,"October 11, 2019",,33.2,32.1,18.1,5.9,8.9,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.1
Abacus Data,"October 10, 2019",,32,32,18,6,9,2,±1.9 pp,"3,000",online,0
Campaign Research,"October 10, 2019",,29,31,19,7,10,3,±1.54 pp,"4,037",online,2
Mainstreet Research,"October 10, 2019",,28.9,31.7,16.6,7.6,9.4,4.2,±2 pp,"2,274 (1/3)",IVR (rolling),2.8
Nanos Research,"October 10, 2019",,35.4,33.2,15.3,5.3,8.8,1.4,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.2
