Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,Others,"Margin of error","Sample size",Polling method,Lead
Nanos Research,"August 13, 2021",,28.4,33.4,20.7,6.3,7.9,1.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.0
Leger,"August 12, 2021",,30,35,19,7,5,3,1,±2.4 pp,"1,615",online,5
Mainstreet Research,"August 11, 2021",,29.2,34.6,17.9,5.7,5.3,—,7.3,±3.3 pp,909,IVR,5.4
Innovative Research,"August 11, 2021",,25,40,17,7,6,—,5,—,"1,282",online,15
Abacus Data,"August 11, 2021",,28,37,20,5,5,4,2,±1.8 pp,"3,000",online,9
Angus Reid,"August 10, 2021",,31,36,19,7,3,—,5,±2 pp,"1,615",online,5
EKOS,"August 10, 2021",,27.7,36.3,18.6,5.3,6.8,4.6,0.7,±2.6 pp,"1,482",IVR,8.6
Nanos Research,"August 6, 2021",,27.3,37.0,19.0,5.8,7.0,2.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Innovative Research,"August 4, 2021",,25,39,19,7,6,3,1,—,"1,953",online,14
Angus Reid,"August 3, 2021",,30,35,19,7,3,—,6,±2.5 pp,"1,605",online,5
Abacus Data,"August 2, 2021",,25,37,20,8,6,—,—,±2.2 pp,"2,000",online,12
Leger,"August 1, 2021",,29,36,20,7,4,3,2,±2.15 pp,"2,079",online,7
Nanos Research,"July 30, 2021",,25.5,38.8,19.5,5.9,6.4,2.6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.3
EKOS,"July 28, 2021",,28.6,39.0,17.9,—,4.2,—,—,±3 pp,"1,067",IVR,10.4
Angus Reid,"July 27, 2021",,30,33,21,7,4,—,5,±2 pp,"1,606",online,3
Mainstreet Research,"July 26, 2021",,31.7,34.4,16.2,5.1,4.7,—,7.9,±2.7 pp,"1,299",IVR,2.7
Nanos Research,"July 23, 2021",,25.0,37.3,21.4,6.0,5.5,3.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.3
Innovative Research,"July 21, 2021",,27,41,17,6,5,3,1,—,834,online,14
EKOS,"July 21, 2021",,27.7,35.2,18.5,5.6,5.2,4.5,3.2,±2.2 pp,"1,934",IVR,7.5
Ipsos,"July 20, 2021",,30,36,20,7,3,2,2,±3.5 pp,"1,000",online,6
