Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead
Nanos Research,"September 19, 2021",,31.2,32.4,17.5,7.5,4.5,6.6,0.3,±3.6 pp,832,telephone,1.2
Forum Research,"September 19, 2021",,33.0,29.4,16.2,6.9,2.9,10.3,1.3,±3 pp,"1,181",IVR,3.6
Research Co.,"September 19, 2021",,32,32,19,7,4,6,1,±3.1 pp,"1,800",online,0
Mainstreet Research,"September 19, 2021",,30.4,33.4,18.1,6.0,2.1,9.3,0.7,±2.1 pp,"2,211 (1/4)",IVR (rolling),3.0
Abacus Data,"September 19, 2021",,32,31,19,7,4,6,2,±2.0 pp,"2,431",online,1
EKOS,"September 19, 2021",,27.3,32.6,18.0,7.3,3.9,9.9,1,±2.4 pp,"1,662 (1/4)",IVR (rolling),5.3
Counsel,"September 18, 2021",,30,31,19,7,4,7,2,±1.7 pp,"3,298",online,1
EKOS,"September 18, 2021",,26.9,32.1,18.5,7.2,4.4,10.0,0.9,±2.7 pp,"1,327 (1/3)",IVR (rolling),5.2
Nanos Research,"September 18, 2021",,30.5,30.8,21.0,6.5,4.7,5.6,1.0,±2.5 pp,"1,679 (1/2)",telephone (rolling),0.3
Mainstreet Research,"September 18, 2021",,30.5,31.9,19.0,6.4,2.5,8.9,0.8,±1.9 pp,"2,494 (1/2)",IVR (rolling),1.4
Abacus Data,"September 18, 2021",,31,32,21,6,3,6,1,±2.8 pp,"1,271 (1/3)",online (rolling),1
Ipsos,"September 18, 2021",,32,31,21,7,3,4,1,±2.3 pp,"2,359",online/telephone,1
Angus Reid,"September 18, 2021",,32,30,20,7,3,5,1,±2.2 pp,"2,042",online,2
EKOS,"September 17, 2021",,27.7,30.6,20.0,7.3,4.5,9.1,1,±2.6 pp,"1,422 (1/3)",IVR (rolling),2.9
Nanos Research,"September 17, 2021",,29.2,31.3,20.9,6.4,3.9,7.3,1.0,±2.8 pp,"1,241 (1/3)",telephone (rolling),2.1
Mainstreet Research,"September 17, 2021",,30.8,31.0,19.9,6.6,2.5,8.4,0.9,±2.2 pp,"1,871 (1/3)",IVR (rolling),0.2
Abacus Data,"September 17, 2021",,32,33,21,6,2,5,1,±2.7 pp,"1,333 (1/3)",online (rolling),1
Leger,"September 17, 2021",,33,32,19,7,2,6,1,±2.5 pp,"2,147",online,1
EKOS,"September 16, 2021",,30.6,30.4,18.5,7.0,4.1,8.5,0.9,±2.6 pp,"1,384 (1/3)",IVR (rolling),0.2
Nanos Research,"September 16, 2021",,30.4,31.9,20.3,5.8,3.2,7.5,0.8,±2.8 pp,"1,228 (1/3)",telephone (rolling),1.5
Mainstreet Research,"September 16, 2021",,31.9,29.5,19.5,6.4,3.0,8.8,0.9,±2.3 pp,"1,749 (1/3)",IVR (rolling),2.4
Abacus Data,"September 16, 2021",,30,34,21,6,3,5,1,±2.9 pp,"1,604 (1/3)",online (rolling),4
Campaign Research,"September 16, 2021",,31,31,21,7,4,5,1,±1 pp,"5,163",online,0
EKOS,"September 15, 2021",,30.4,32.1,18.4,6.3,3.8,8.2,0.7,±2.6 pp,"1,446 (1/3)",IVR (rolling),1.7
Nanos Research,"September 15, 2021",,30.3,31.9,21.2,6.4,3.2,6.7,0.4,±2.8 pp,"1,237 (1/3)",telephone (rolling),1.6
Mainstreet Research,"September 15, 2021",,32.0,30.2,18.9,6.4,2.9,8.7,0.8,±2.3 pp,"1,753 (1/3)",IVR (rolling),1.8
Abacus Data,"September 15, 2021",,31,33,22,5,3,5,2,±2.9 pp,"1,578",online (rolling),2
EKOS,"September 14, 2021",,31.8,31.8,19.1,6.4,3.3,6.9,0.7,±2.7 pp,"1,322 (1/3)",IVR (rolling),0.0
Nanos Research,"September 14, 2021",,31.2,30.5,21.4,6.2,3.7,6.8,0.3,±2.8 pp,"1,281 (1/3)",telephone (rolling),0.7
Mainstreet Research,"September 14, 2021",,31.4,31.4,17.5,7.0,3.3,8.7,0.6,±2.3 pp,"1,774 (1/3)",IVR (rolling),0.0
EKOS,"September 13, 2021",,32.2,31.2,19.4,6.2,3.1,7.3,0.6,±2.8 pp,"1,241 (1/3)",IVR (rolling),1.0
Research Co.,"September 13, 2021",,30,34,20,7,3,5,1,±3.1 pp,"1,000",online,4
Nanos Research,"September 13, 2021",,31.2,32.3,18.9,6.4,3.8,6.7,0.8,±2.8 pp,"1,264 (1/3)",telephone (rolling),1.1
Mainstreet Research,"September 13, 2021",,29.5,33.5,16.4,7.5,3.3,9.1,0.7,±2.3 pp,"1,732 (1/3)",IVR (rolling),4.0
Ipsos,"September 13, 2021",,32,32,21,7,4,3,1,±2.5 pp,"2,001",online/telephone,0
Leger,"September 13, 2021",,32,32,20,7,3,5,1,±2.19 pp,"2,001",online,0
YouGov,"September 13, 2021",,32,29,19,6,5,5,4,±3.4 pp,925,online,3
Earnscliffe/Leger,"September 12, 2021",,32,32,20,7,4,5,1,—,"1,549",online,0
Innovative Research,"September 12, 2021",,28,33,22,7,4,4,1,—,"3,203",online,5
EKOS,"September 12, 2021",,31.9,30.3,20.3,6.0,3.7,7.0,0.8,±2.9 pp,"1,115 (1/3)",IVR (rolling),1.6
Nanos Research,"September 12, 2021",,30.2,33.2,18.6,6.8,3.8,6.6,0.8,±2.8 pp,"1,268 (1/3)",telephone (rolling),3.0
Mainstreet Research,"September 12, 2021",,28.6,33.5,17.1,7.9,3.7,8.4,0.9,±2.3 pp,"1,711 (1/3)",IVR (rolling),4.9
Abacus Data,"September 12, 2021",,32,32,21,6,3,4,2,±2.1 pp,"2,000",online,0
Angus Reid,"September 12, 2021",,32,30,21,7,2,6,2,±2.5 pp,"1,840",online,2
Counsel,"September 11, 2021",,30.2,29.7,21.9,6.5,4.4,5.6,1.7,±1.7 pp,"3,320",online,0.5
EKOS,"September 11, 2021",,32.8,31.1,19.0,4.7,3.9,7.8,0.7,±2.9 pp,"1,162 (1/3)",IVR (rolling),1.7
Nanos Research,"September 11, 2021",,30.7,34.0,18.6,6.6,4.1,5.1,0.9,±2.8 pp,"1,252 (1/3)",telephone (rolling),3.3
Mainstreet Research,"September 11, 2021",,29.4,33.4,17.6,7.4,3.1,8.1,1.0,±2.3 pp,"1,706 (1/3)",IVR (rolling),4.0
Forum Research,"September 10, 2021",,31,28,18,8,4,9,2,±3 pp,"1,579",IVR,3
EKOS,"September 10, 2021",,30.9,30.4,19.9,4.6,4.3,9.1,0.8,±2.8 pp,"1,238 (1/3)",IVR (rolling),0.5
Nanos Research,"September 10, 2021",,30.1,34.4,19.0,6.4,4.6,5.0,0.7,±2.8 pp,"1,249 (1/3)",telephone (rolling),4.3
Mainstreet Research,"September 10, 2021",,30.2,33.9,17.9,6.4,2.6,7.9,1.0,±2.3 pp,"1,751 (1/3)",IVR (rolling),3.7
,"September 9, 2021",Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate,Leaders' Debates Commission English debate
EKOS,"September 9, 2021",,33.2,29.7,16.7,4.3,3.8,11.7,0.6,±2.7 pp,"1,303 (1/3)",IVR (rolling),3.5
Nanos Research,"September 9, 2021",,33.3,31.3,19.2,6.6,3.8,5.0,0.9,±2.8 pp,"1,269 (1/3)",telephone (rolling),2.0
Mainstreet Research,"September 9, 2021",,32.0,32.9,18.5,5.3,2.2,8.4,0.8,±2.3 pp,"1,776 (1/3)",IVR (rolling),0.9
,"September 8, 2021",Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate,Leaders' Debates Commission French debate
EKOS,"September 8, 2021",,33.6,30.7,15.7,4.1,4.1,11.2,0.7,±2.7 pp,"1,365 (1/3)",IVR (rolling),2.9
Nanos Research,"September 8, 2021",,32.6,30.6,20.3,5.5,4.2,5.3,1.4,±2.8 pp,"1,266 (1/3)",telephone (rolling),2.0
Mainstreet Research,"September 8, 2021",,32.9,32.3,19.0,5.5,1.9,7.9,0.5,±2.3 pp,"1,768 (1/3)",IVR (rolling),0.6
EKOS,"September 7, 2021",,34.3,31.8,16.4,4.0,3.2,9.5,0.7,±2.8 pp,"1,202 (1/3)",IVR (rolling),2.5
Mainstreet Research,"September 7, 2021",,33.5,30.0,20.7,5.5,2.2,7.6,0.4,±2.3 pp,"1,755 (1/3)",IVR (rolling),3.5
Nanos Research,"September 7, 2021",,32.6,31.6,21.1,5.0,4.4,4.3,0.9,±2.8 pp,"1,288 (1/3)",telephone (rolling),1.0
EKOS,"September 6, 2021",,33.7,30.8,19.2,3.8,3.8,7.9,0.8,±3.0 pp,"1,062 (1/3)",IVR (rolling),2.9
Mainstreet Research,"September 6, 2021",,33.5,31.1,19.6,6.4,2.4,6.4,0.6,±2.3 pp,"1,794 (1/3)",IVR (rolling),2.4
Leger,"September 6, 2021",,33,33,21,6,3,3,<1,±1.8 pp,"3,002",online,0
Ipsos,"September 6, 2021",,35,32,21,7,2,2,—,±2.9 pp,"1,500",online,3
Angus Reid,"September 6, 2021",,35,32,20,6,2,5,1,±2.5 pp,"1,709",online,3
Abacus Data,"September 6, 2021",,32,32,21,7,3,3,1,±1.9 pp,"2,875",online,0
