Polling firm,Date,T-Days,NDP,UCP,Liberal,Alberta,Sample size
Forum Research,15 April 2019,-1,34.6,50.6,2.2,10.9,1140
Research Co.,15 April 2019,-1,39.0,49.0,2.0,9.0,602
Mainstreet Research,14 April 2019,-2,40.1,47.5,2.1,7.9,1288
Pollara Insights,14 April 2019,-2,39.0,45.0,3.0,8.0,1005
Ipsos,14 April 2019,-2,40.0,50.0,1.0,7.0,1202
Nanos Research,13 April 2019,-3,36.4,44.3,3.2,12.0,500
Leger,13 April 2019,-3,36.0,50.0,3.0,8.0,1505
Pollara Insights,10 April 2019,-6,38.0,45.0,4.0,8.0,1005
Angus Reid,8 April 2019,-8,39.0,52.0,1.0,6.0,807
Ipsos,8 April 2019,-8,39.0,47.0,2.0,10.0,800
Innovative Research,8 April 2019,-8,31.0,44.0,7.0,11.0,506
ThinkHQ,6 April 2019,-10,40.0,46.0,2.0,8.0,1139
Mainstreet Research,5 April 2019,-11,38.0,50.5,2.0,5.8,876
Forum Research,5 April 2019,-11,32.0,55.0,1.0,7.0,1132
Leger,3 April 2019,-13,38.0,47.0,4.0,9.0,1003
Research Co.,1 April 2019,-15,40.0,45.0,3.0,6.0,600
Janet Brown Opinion Research,30 March 2019,-17,34.0,53.0,4.0,8.0,900
EKOS,26 March 2019,-21,42.0,46.0,2.0,6.0,1015
Mainstreet Research,19 March 2019,-28,37.1,50.7,2.8,4.3,1160
Angus Reid,18 March 2019,-29,31.0,56.0,2.0,5.0,812
Ipsos,17 March 2019,-30,35.0,52.0,5.0,6.0,900
ThinkHQ,17 March 2019,-30,38.0,49.0,3.0,8.0,1196
Leger,12 March 2019,-35,35.0,47.0,6.0,9.0,1001
EKOS,25 February 2019,-50,37.0,50.0,3.0,5.0,1028
Lethbridge College,5 February 2019,-70,23.2,57.8,5.1,7.0,1055
Mainstreet Research,16 January 2019,-90,27.8,52.3,6.1,7.7,893
ThinkHQ,26 November 2018,-141,35.0,50.0,5.0,9.0,1102
Mainstreet Research,3 November 2018,-164,29.1,54.3,5.2,5.5,896
Abacus Data,27 October 2018,-171,33.0,48.0,8.0,8.0,800
Lethbridge College,4 October 2018,-194,24.8,48.6,11.3,8.4,1364
Mainstreet Research,17 July 2018,-273,32.5,52.1,4.8,5.4,936
Leger,12 June 2018,-308,33.0,47.0,7.0,9.0,999
Mainstreet Research,18 April 2018,-363,35.4,48.6,6.2,5.1,1071
Trend Research / Janet Brown Opinion Research,5 April 2018,-376,29.0,53.0,6.0,11.0,1200
ThinkHQ,4 February 2018,-436,32.0,51.0,5.0,10.0,1185
Mainstreet Research,6 January 2018,-465,27.3,55.9,6.7,7.0,956
Insights West,24 November 2017,-508,33.0,47.0,10.0,7.0,701
ThinkHQ,13 November 2017,-519,30.0,54.0,5.0,9.0,1314
Lethbridge College,5 October 2017,-558,19.3,55.8,12.8,5.8,1481
ThinkHQ,20 August 2017,-604,31.0,53.0,7.0,7.0,1136
Mainstreet Research,28 July 2017,-627,29.0,57.0,4.0,9.0,2100
