Polling firm,Date,T-Days,UCP,NDP,Sample size
Forum Research,"May 28, 2023",-1,50.4,44.3,1000
Mainstreet Research,"May 28, 2023",-1,49.8,47.8,1504
Abacus Data,"May 28, 2023",-1,49.0,48.0,1200
Research Co.,"May 27, 2023",-2,50.0,46.0,600
Ipsos,"May 27, 2023",-2,51.0,46.0,1300
Mainstreet Research,"May 27, 2023",-2,48.0,47.0,1922
Counsel Public Affairs,"May 26, 2023",-3,41.0,46.0,1232
Mainstreet Research,"May 26, 2023",-3,49.0,46.0,1841
Sovereign North Strategies,"May 26, 2023",-3,46.0,48.0,3053
EKOS,"May 26, 2023",-3,50.4,47.3,1741
Leger,"May 25, 2023",-4,49.0,46.0,1011
Oraclepoll Research,"May 25, 2023",-4,49.0,46.0,800
Mainstreet Research,"May 25, 2023",-4,48.0,46.0,1734
Mainstreet Research,"May 24, 2023",-5,49.0,45.0,1700
Janet Brown Opinion Research,"May 24, 2023",-5,52.0,44.0,1200
Mainstreet Research,"May 23, 2023",-6,50.0,44.0,1662
Mainstreet Research,"May 22, 2023",-7,50.0,44.0,1655
Abacus Data,"May 22, 2023",-7,51.0,47.0,1507
Mainstreet Research,"May 21, 2023",-8,49.0,44.0,1656
Mainstreet Research,"May 20, 2023",-9,47.0,46.0,1645
Mainstreet Research,"May 19, 2023",-10,48.0,45.0,1657
Mainstreet Research,"May 18, 2023",-11,47.0,47.0,1519
Research Co.,"May 17, 2023",-12,47.0,49.0,529
Abacus Data,"May 17, 2023",-12,46.0,49.0,498
Mainstreet Research,"May 17, 2023",-12,48.0,46.0,1404
Sovereign North Strategies,"May 16, 2023",-13,47.0,49.0,3431
Mainstreet Research,"May 16, 2023",-13,49.0,45.0,1296
Angus Reid,"May 16, 2023",-13,51.0,43.0,1202
Mainstreet Research,"May 15, 2023",-14,49.0,45.0,1218
Counsel Public Affairs,"May 14, 2023",-15,38.0,48.0,1219
Mainstreet Research,"May 14, 2023",-15,49.0,45.0,1140
Ipsos,"May 13, 2023",-16,48.0,45.0,800
Mainstreet Research,"May 13, 2023",-16,49.0,44.0,1103
Sovereign North Strategies,"May 13, 2023",-16,45.0,50.0,2909
Mainstreet Research,"May 12, 2023",-17,50.0,44.0,1280
Abacus Data,"May 12, 2023",-17,41.0,51.0,885
Janet Brown Opinion Research,"May 11, 2023",-18,51.0,40.0,900
Sovereign North Strategies,"May 7, 2023",-22,48.0,47.0,2491
Mainstreet Research,"May 2, 2023",-27,50.0,43.0,1524
Leger,"May 1, 2023",-28,43.0,45.0,1000
