Polling firm,Date,T-Days,Lib,NDP,Grn,Con,Sample size
Ipsos Reid,"May 13, 2013",-1,37.0,45.0,9.0,6.0,800
Angus Reid,"May 13, 2013",-1,36.0,45.0,9.0,7.0,803
EKOS,"May 12, 2013",-2,34.5,40.5,13.0,9.3,861
Angus Reid,"May 10, 2013",-4,36.0,45.0,9.0,6.0,808
Justason Market Intelligence,"May 9, 2013",-5,31.0,45.0,14.0,8.0,700
Ipsos Reid,"May 9, 2013",-5,37.0,43.0,10.0,7.0,800
Forum Research,"May 8, 2013",-6,41.0,43.0,8.0,6.0,1147
Hill & Knowlton,"May 8, 2013",-6,34.6,41.1,13.6,7.5,804
Oraclepoll Research,"May 7, 2013",-7,37.0,41.0,12.0,10.0,1000
Campaign Research,"May 2, 2013",-12,35.0,38.0,13.0,10.0,1303
Angus Reid,"May 2, 2013",-12,34.0,41.0,12.0,10.0,808
Ipsos Reid,"May 2, 2013",-12,35.0,45.0,10.0,7.0,1000
Insights West,"May 2, 2013",-12,33.0,41.0,14.0,11.0,855
Forum Research,"April 30, 2013",-14,35.0,39.0,12.0,9.0,1055
Abacus Data,"April 26, 2013",-18,33.0,43.0,12.0,9.0,1042
Angus Reid,"April 25, 2013",-19,31.0,45.0,10.0,11.0,812
Justason Market Intelligence,"April 23, 2013",-21,27.0,49.0,12.0,11.0,600
Ipsos Reid,"April 14, 2013",-30,29.0,48.0,9.0,11.0,800
Angus Reid,"April 13, 2013",-31,28.0,45.0,13.0,12.0,804
EKOS,"April 10, 2013",-34,28.4,44.9,11.1,13.0,917
Insights West,"March 31, 2013",-44,28.0,45.0,15.0,10.0,855
Angus Reid,"March 19, 2013",-56,28.0,48.0,11.0,11.0,809
Campaign Research,"March 12, 2013",-63,33.0,38.0,12.0,13.0,1112
Ipsos Reid,"March 12, 2013",-63,32.0,51.0,7.0,9.0,1000
Angus Reid,"February 22, 2013",-81,31.0,47.0,10.0,9.0,803
EKOS,"February 10, 2013",-93,27.4,39.0,13.5,14.6,687
Justason Market Intelligence,"February 1, 2013",-102,26.0,48.0,11.0,12.0,600
Mustel Group,"January 21, 2013",-113,33.0,43.0,11.0,11.0,509
Angus Reid,"January 18, 2013",-116,31.0,46.0,10.0,10.0,802
Ipsos Reid,"November 30, 2012",-165,35.0,48.0,7.0,9.0,1000
Angus Reid,"November 22, 2012",-173,29.0,47.0,9.0,12.0,800
Angus Reid,"October 10, 2012",-216,26.0,49.0,7.0,16.0,800
Justason Market Intelligence,"October 1, 2012",-225,28.0,48.0,13.0,9.0,539
Ipsos Reid,"September 18, 2012",-238,32.0,49.0,6.0,12.0,1006
Angus Reid,"September 11, 2012",-245,25.0,46.0,8.0,19.0,800
Environics,"August 31, 2012",-256,25.4,44.8,7.8,19.8,854
Forum Research,"August 30, 2012",-257,23.0,45.0,10.0,20.0,902
Angus Reid,"August 1, 2012",-286,22.0,49.0,9.0,19.0,804
Forum Research,"July 31, 2012",-287,23.0,49.0,9.0,18.0,1064
Angus Reid,"July 5, 2012",-313,23.0,45.0,8.0,22.0,801
Forum Research,"June 12, 2012",-336,20.0,50.0,11.0,19.0,1014
Ipsos Reid,"June 11, 2012",-337,29.0,48.0,6.0,16.0,1026
Angus Reid,"May 9, 2012",-370,23.0,50.0,6.0,19.0,802
Forum Research,"May 2, 2012",-377,23.0,48.0,8.0,19.0,1054
Forum Research,"April 11, 2012",-398,23.0,46.0,8.0,23.0,1069
Angus Reid,"March 30, 2012",-410,23.0,43.0,8.0,23.0,800
Forum Research,"March 19, 2012",-421,21.0,47.0,9.0,21.0,1063
Mustel Group,"March 19, 2012",-421,34.0,42.0,6.0,17.0,518
Justason Market Intelligence,"March 7, 2012",-433,31.0,45.0,8.0,14.0,611
