Polling firm,Date,T-Days,Lib,NDP,Grn,Sample size
Forum Research,"May 8, 2017",-1,39.0,41.0,17.0,1076
Insights West,"May 8, 2017",-1,41.0,41.0,17.0,801
Justason Market Intelligence,"May 7, 2017",-2,38.0,36.0,23.0,1447
Mainstreet Research,"May 6, 2017",-3,39.0,40.0,20.0,1650
Ipsos Reid,"May 6, 2017",-3,39.0,40.0,17.0,1404
Angus Reid,"May 3, 2017",-6,40.0,41.0,15.0,1007
Justason Market Intelligence,"May 2, 2017",-7,39.0,34.0,23.0,2116
Mainstreet Research,"May 1, 2017",-8,37.0,42.0,21.0,1650
Innovative Research,"May 1, 2017",-8,38.0,35.0,17.0,500
Ipsos Reid,"April 30, 2017",-9,43.0,41.0,14.0,834
Innovative Research,"April 30, 2017",-9,38.0,33.0,20.0,600
Forum Research,"April 29, 2017",-10,29.0,37.0,24.0,1067
Justason Market Intelligence,"April 28, 2017",-11,38.0,37.0,21.0,1127
Innovative Research,"April 23, 2017",-16,42.0,32.0,16.0,1000
Mainstreet Research,"April 22, 2017",-17,34.0,44.0,22.0,1650
Justason Market Intelligence,"April 20, 2017",-19,36.0,39.0,19.0,1128
Mainstreet Research,"April 14, 2017",-25,37.0,39.0,21.0,1650
Mainstreet Research,"April 10, 2017",-29,35.0,39.0,19.0,5506
Ipsos Reid,"April 9, 2017",-30,39.0,44.0,12.0,1388
Forum Research,"April 8, 2017",-31,29.0,39.0,18.0,1040
Insights West,"April 8, 2017",-31,38.0,40.0,17.0,801
Mainstreet Research,"April 3, 2017",-36,33.0,36.0,19.0,1650
Mainstreet Research,"March 27, 2017",-43,34.0,36.0,19.0,1650
Mainstreet Research,"March 20, 2017",-50,34.0,38.0,17.0,1500
Mainstreet Research,"March 12, 2017",-58,36.0,40.0,13.0,2109
Mainstreet Research,"March 5, 2017",-65,35.0,39.0,13.0,2191
Forum Research,"March 1, 2017",-69,32.0,36.0,15.0,1056
Mainstreet Research,"February 26, 2017",-72,33.0,38.0,15.0,2352
Insights West,"February 26, 2017",-72,40.0,41.0,11.0,801
Forum Research,"February 23, 2017",-75,28.0,39.0,14.0,1061
Mainstreet Research,"February 19, 2017",-79,37.0,37.0,17.0,2188
Insights West,"November 21, 2016",-169,39.0,40.0,14.0,806
Mainstreet Research,"September 8, 2016",-243,33.0,38.0,16.0,2207
Innovative Research,"August 14, 2016",-268,38.0,29.0,16.0,600
Ipsos Reid,"May 9, 2016",-365,42.0,36.0,10.0,803
Insights West,"May 5, 2016",-369,34.0,40.0,14.0,801
Insights West,"November 14, 2015",-542,34.0,39.0,16.0,812
Insights West,"May 19, 2015",-721,37.0,43.0,10.0,801
Ipsos Reid,"May 12, 2015",-728,41.0,44.0,8.0,804
Insights West,"December 6, 2014",-885,36.0,40.0,14.0,805
McAllister Opinion Research,"July 29, 2014",-1015,36.0,36.3,17.5,1704
Insights West,"May 10, 2014",-1095,38.0,39.0,14.0,824
Justason Market Intelligence,"January 19, 2014",-1206,37.0,35.0,19.0,600
Insights West,"December 3, 2013",-1253,40.0,36.0,14.0,866
