Polling firm,Date,T-Days,PC,LPC,NDP,Sample size
Thompson-Lightstone,1984-08-01,-34,51.0,26.0,21.0,2000
The Globe-Crop,1984-08-19,-16,49.0,32.0,18.0,1398
Gallup,1984-08-01,-34,48.8,29.2,18.7,1819
Thompson-Lightstone,1984-08-01,-34,45.0,36.0,17.0,2000
Carleton-Southam,1984-07-01,-65,51.0,32.0,16.0,2000
Carleton-Southam,1984-07-12,-54,42.5,45.0,9.5,1502
The Globe-CROP,1984-07-08,-58,39.0,49.0,11.0,1950
Gallup,1984-06-01,-95,37.6,50.5,11.1,740
The Globe-CROP,1984-05-04,-123,46.0,41.0,11.0,1942
The Globe-Crop,1984-03-16,-172,50.0,38.0,11.0,1946
