Polling firm,Date,T-Days,LPC,Reform,PC,BQ,NDP,Sample size
Gallup,1993-10-20,-5,44.0,19.0,16.0,12.0,7.0,1011
Angus Reid,1993-10-20,-5,43.0,17.0,17.0,14.0,7.0,3329
Comquest,1993-10-14,-11,40.0,16.0,22.0,13.0,7.0,1504
Angus Reid,1993-10-06,-19,37.0,18.0,22.0,12.0,8.0,1961
Ekos,1993-09-28,-27,39.0,17.0,25.0,12.0,6.0,1505
Gallup,1993-09-23,-32,37.0,13.0,30.0,10.0,8.0,1015
Léger,1993-09-23,-32,34.0,15.0,28.0,12.0,7.0,1745
CROP,1993-09-22,-33,36.0,13.0,31.0,11.0,7.0,3010
Environics,1993-09-09,-46,33.0,11.0,34.0,11.0,10.0,1505
Angus Reid,1993-09-09,-46,37.0,10.0,35.0,8.0,8.0,1414
