Polling firm,Date,T-Days,LPC,Reform,PC,NDP,BQ,Sample size
Gallup,1997-05-28,-5,41.0,16.0,22.0,11.0,9.0,1507
Angus Reid,1997-05-27,-6,36.0,19.0,24.0,11.0,10.0,3200
Ekos,1997-05-25,-8,38.0,18.0,21.0,11.0,10.0,3000
Zogby,1997-05-15,-18,45.0,16.0,20.0,10.0,8.0,1009
Environics,1997-05-15,-18,40.0,18.0,25.0,9.0,7.0,1912
Strategic,1997-05-14,-19,40.0,16.0,23.0,10.0,10.0,1200
Gallup,1997-05-12,-21,46.0,14.0,19.0,9.0,11.0,1004
Angus Reid,1997-05-08,-25,42.0,18.0,19.0,11.0,9.0,3208
Zogby,1997-05-04,-29,48.0,15.0,16.0,10.0,8.0,1005
Compass,1997-04-25,-38,47.0,13.0,18.0,13.0,13.0,2600
CROP,1997-04-22,-41,44.0,15.0,20.0,11.0,8.0,2541
Angus Reid,1997-03-31,-63,41.0,17.0,18.0,12.0,11.0,1500
Angus Reid,1997-01-27,-126,45.0,11.0,19.0,10.0,11.0,1519
Angus Reid,1996-12-02,-182,47.0,11.0,18.0,11.0,11.0,1520
Environics,1996-11-01,-213,50.0,11.0,14.0,11.0,13.0,2015
Angus Reid,1996-10-28,-217,52.0,14.0,13.0,9.0,12.0,1502
Angus Reid,1996-10-10,-235,55.0,12.0,15.0,8.0,7.0,3000
Angus Reid,1996-09-29,-246,51.0,11.0,17.0,9.0,10.0,1516
Gallup,1996-09-09,-266,50.0,11.0,18.0,9.0,10.0,1001
Angus Reid,1996-07-28,-309,57.0,12.0,12.0,9.0,9.0,1516
