Polling firm,Date,T-Days,LPC,CA,PC,BQ,NDP,Sample size
Léger,2000-11-25,-2,43,25,11,10,9,2514
Ipsos,2000-11-23,-4,39,27,12,10,10,4102
Compass,2000-11-23,-4,41,25,12,10,9,1032
Ekos,2000-11-22,-5,43,25,11,9,9,3910
Léger,2000-11-16,-11,46,25,10,10,9,2213
Ekos,2000-11-15,-12,43,26,10,10,9,2455
Environics,2000-11-14,-13,46,23,10,11,9,1835
Ipsos,2000-11-11,-16,43,27,8,11,10,2552
Compass,2000-11-10,-17,43,24,8,12,8,1612
Ipsos,2000-11-07,-20,44,26,8,11,10,1052
Environics,2000-11-06,-21,48,26,8,9,8,1857
Environics,2000-10-30,-28,45,29,7,10,7,1339
Decima,2000-10-26,-32,44,24,10,9,10,2000
Compass,2000-10-25,-33,44,27,8,10,8,2346
Ipsos,2000-10-25,-33,45,28,8,9,8,1502
Environics,2000-10-23,-35,48,23,10,10,9,2019
Léger,2000-10-22,-36,48,21,8,10,8,1503
Environics,2000-10-16,-42,44,25,9,10,10,2028
Ipsos,2000-10-12,-46,52,20,8,10,8,1500
Ekos,2000-10-07,-51,50,19,11,9,8,2502
Ipsos,2000-09-27,-61,44,25,9,10,9,1843
Angus Reid,2000-08-24,-95,46,22,10,10,10,1500
Angus Reid,2000-08-12,-107,43,25,10,11,10,1500
Ekos,2000-08-06,-113,47,23,10,9,11,1505
Ekos,2000-07-28,-122,50,20,12,9,9,1500
Angus Reid,2000-07-26,-124,45,24,10,10,11,1503
Ekos,2000-07-17,-133,48,18,13,9,9,2492
Angus Reid,2000-05-25,-186,47,18,14,10,10,1516
Ekos,2000-05-15,-196,49,19,9,10,11,1482
Ekos,2000-05-08,-203,52,17,11,9,9,3530
Angus Reid,2000-03-06,-266,47,14,13,11,12,1501
Angus Reid,2000-02-02,-299,46,12,15,9,12,1500
Gallup,2000-01-11,-321,57,11,13,7,10,1007
Gallup,1999-11-22,-371,54,9,20,7,10,1007
Environics,1999-11-01,-392,50,12,13,13,10,2061
Gallup,1999-08-21,-464,50,9,20,10,9,1014
Gallup,1999-07-19,-497,52,7,23,9,7,1002
Environics,1999-08-02,-483,48,12,16,10,12,2018
Gallup,1999-06-19,-527,53,8,20,9,9,1002
Angus Reid,1999-05-30,-547,47,12,18,11,12,1500
Gallup,1999-04-18,-589,54,10,15,9,10,1005
Gallup,1999-01-25,-672,56,10,13,9,10,1008
Ekos,1999-01-25,-672,49,10,11,8,8,4000
