Polling firm,Date,T-Days,LPC,CPC,NDP,BQ,Sample size
Strategic Counsel,2006-01-22,-1,27.0,37.0,19.0,11.0,2500
Nanos Research,2006-01-22,-1,30.1,36.4,17.4,10.6,1200
Ipsos-Reid,2006-01-22,-1,27.0,38.0,19.0,12.0,9648
Nanos Research,2006-01-21,-2,28.1,37.0,17.7,11.3,1200
Strategic Counsel,2006-01-21,-2,27.0,37.0,18.0,11.0,2000
Nanos Research,2006-01-20,-3,29.4,36.2,17.3,11.0,1200
Nanos Research,2006-01-19,-4,29.0,35.5,18.8,11.1,1200
Decima Research,2006-01-15,-8,27.0,37.0,18.0,11.0,1017
EKOS,2006-01-15,-8,27.2,38.6,18.6,10.6,968
Nanos Research,2006-01-12,-11,31.0,40.0,14.0,10.0,1200
EKOS,2006-01-12,-11,28.3,37.6,18.1,11.6,2045
Nanos Research,2006-01-11,-12,29.0,38.0,16.0,12.0,1200
Nanos Research,2006-01-10,-13,30.0,39.0,16.0,12.0,1200
Nanos Research,2006-01-09,-14,31.0,35.0,17.0,13.0,1200
Nanos Research,2006-01-08,-15,31.0,34.0,17.0,11.0,1200
Strategic Counsel,2006-01-08,-15,29.0,37.0,15.0,13.0,1500
Nanos Research,2006-01-07,-16,32.0,34.0,17.0,11.0,1200
Nanos Research,2006-01-06,-17,32.0,35.0,17.0,10.0,1200
Ipsos-Reid,2006-01-05,-18,31.0,35.0,18.0,10.0,2004
EKOS,2006-01-05,-18,30.8,36.0,17.5,10.6,1968
Nanos Research,2006-01-05,-18,33.0,34.0,17.0,11.0,1200
Nanos Research,2006-01-04,-19,33.0,35.0,15.0,12.0,1200
EKOS,2006-01-04,-19,30.4,36.2,17.9,10.4,1386
Strategic Counsel,2006-01-03,-20,32.0,32.0,17.0,13.0,1500
Nanos Research,2006-01-03,-20,33.0,36.0,15.0,13.0,1200
