Polling firm,Date,T-Days,CPC,LPC,NDP,BQ,GPC,Sample size
Forum Research,2011-05-01,-1,36.0,19.0,33.0,5.0,6.0,3751
EKOS Research Associates,2011-05-01,-1,33.9,21.0,31.2,6.4,6.0,2964
Nanos Research,2011-05-01,-1,37.1,20.5,31.6,5.7,3.8,1067
Harris-Decima,2011-05-01,-1,36.0,19.0,30.0,6.0,6.0,999
EKOS Research Associates,2011-04-30,-2,34.6,20.4,31.4,5.4,6.3,2964
Forum Research,2011-04-30,-2,35.0,19.0,33.0,5.0,7.0,3751
Nanos Research,2011-04-30,-2,37.0,22.7,30.6,5.5,3.2,1067
Abacus Data,2011-04-29,-3,37.0,18.0,32.0,7.0,7.0,937
COMPAS,2011-04-29,-3,46.0,17.0,26.0,7.0,4.0,741
Nanos Research,2011-04-29,-3,38.0,23.3,29.6,5.2,3.1,1067
Angus Reid Public Opinion,2011-04-29,-3,37.0,19.0,33.0,6.0,4.0,1984
Leger Marketing,2011-04-28,-4,36.0,21.0,31.0,7.0,4.0,3323
Ipsos Reid,2011-04-28,-4,38.0,18.0,33.0,6.0,4.0,999
EKOS Research Associates,2011-04-28,-4,34.5,20.0,29.7,6.3,6.9,2964
Nanos Research,2011-04-28,-4,36.4,22.0,31.2,5.7,4.0,999
Harris-Decima,2011-04-27,-5,35.0,22.0,30.0,5.0,7.0,999
EKOS Research Associates,2011-04-27,-5,34.8,22.3,27.5,6.1,6.8,2660
Nanos Research,2011-04-27,-5,36.6,21.9,30.4,6.0,4.1,999
EKOS Research Associates,2011-04-26,-6,34.0,22.9,28.1,6.6,6.5,2660
Forum Research,2011-04-26,-6,34.0,22.0,31.0,6.0,7.0,2964
Nanos Research,2011-04-26,-6,37.8,22.9,27.8,5.8,4.7,999
Angus Reid Public Opinion,2011-04-26,-6,35.0,22.0,30.0,7.0,5.0,1984
EKOS Research Associates,2011-04-25,-7,33.9,24.0,27.9,6.0,6.8,2400
Innovative Research Group,2011-04-25,-7,38.4,24.9,23.9,6.4,5.3,1549
EKOS Research Associates,2011-04-24,-8,33.7,23.7,28.0,6.2,7.2,2660
Nanos Research,2011-04-24,-8,39.2,25.6,23.6,6.5,3.6,999
Nanos Research,2011-04-23,-9,38.6,25.9,23.2,7.2,3.7,999
Environics,2011-04-21,-11,39.0,22.0,25.0,7.0,6.0,937
Nanos Research,2011-04-21,-11,37.8,26.1,23.7,7.4,3.5,999
Ipsos Reid,2011-04-20,-12,43.0,21.0,24.0,6.0,4.0,999
Forum Research,2011-04-20,-12,36.0,23.0,25.0,6.0,6.0,1984
Nanos Research,2011-04-20,-12,39.0,26.7,22.1,7.5,3.4,999
EKOS Research Associates,2011-04-20,-12,34.4,24.7,24.7,6.5,7.8,1984
Nanos Research,2011-04-19,-13,39.1,28.4,19.8,7.7,3.9,999
Nanos Research,2011-04-18,-14,39.8,30.2,17.3,8.6,3.1,999
Innovative Research Group,2011-04-17,-15,39.0,28.0,17.0,9.0,6.0,1897
Environics,2011-04-17,-15,39.0,24.0,22.0,9.0,6.0,937
EKOS Research Associates,2011-04-17,-15,37.4,24.9,20.0,7.8,8.4,1984
Harris-Decima,2011-04-17,-15,36.0,28.0,19.0,8.0,7.0,999
Nanos Research,2011-04-17,-15,39.8,29.8,17.4,8.6,3.4,999
Leger Marketing,2011-04-17,-15,38.0,26.0,22.0,8.0,5.0,3323
Angus Reid Public Opinion,2011-04-16,-16,36.0,25.0,25.0,9.0,5.0,1984
Nanos Research,2011-04-16,-16,39.0,28.3,18.4,9.6,3.6,999
Abacus Data,2011-04-15,-17,37.0,29.0,20.0,8.0,5.0,937
Nanos Research,2011-04-15,-17,38.8,28.8,19.2,8.5,3.4,999
Forum Research,2011-04-14,-18,36.0,25.0,22.0,7.0,8.0,1984
EKOS Research Associates,2011-04-14,-18,35.3,27.8,18.0,7.1,9.6,1225
Nanos Research,2011-04-14,-18,38.7,28.8,18.6,9.0,3.7,999
Nanos Research,2011-04-13,-19,38.9,31.1,18.3,7.5,3.1,999
EKOS Research Associates,2011-04-12,-20,33.8,28.8,19.1,7.8,9.0,1141
Nanos Research,2011-04-12,-20,39.9,30.4,16.3,9.1,3.8,999
COMPAS,2011-04-11,-21,45.0,24.0,16.0,8.0,7.0,2177
Innovative Research Group,2011-04-11,-21,39.0,28.0,17.0,9.0,7.0,2058
Nanos Research,2011-04-11,-21,39.7,31.2,16.8,7.8,4.0,999
Harris-Decima,2011-04-10,-22,40.0,28.0,15.0,8.0,8.0,999
Nanos Research,2011-04-10,-22,41.2,30.4,15.2,7.8,4.6,999
Nanos Research,2011-04-09,-23,39.5,31.6,14.7,8.1,4.8,999
TNS Canada,2011-04-08,-24,36.0,25.0,18.0,9.0,9.0,999
Nanos Research,2011-04-08,-24,40.5,31.7,13.2,9.2,4.0,999
Ipsos Reid,2011-04-07,-25,41.0,26.0,19.0,9.0,4.0,999
EKOS Research Associates,2011-04-07,-25,36.2,27.7,16.6,8.3,8.5,2177
Nanos Research,2011-04-07,-25,40.6,31.1,14.7,8.7,3.4,999
Forum Research,2011-04-06,-26,38.0,26.0,20.0,8.0,9.0,1984
Nanos Research,2011-04-06,-26,39.6,30.4,17.2,8.3,3.2,999
Environics,2011-04-05,-27,38.0,25.0,20.0,8.0,8.0,999
Angus Reid Public Opinion,2011-04-05,-27,38.0,27.0,21.0,8.0,6.0,1984
EKOS Research Associates,2011-04-05,-27,37.0,27.8,16.1,6.9,9.3,1067
Nanos Research,2011-04-05,-27,39.7,29.9,17.4,8.3,3.8,999
Nanos Research,2011-04-04,-28,39.8,30.2,16.5,8.3,4.0,999
Harris-Decima,2011-04-03,-29,35.0,28.0,17.0,10.0,8.0,999
Nanos Research,2011-04-03,-29,42.3,28.4,16.4,8.0,3.8,999
Leger Marketing,2011-04-02,-30,37.0,26.0,18.0,10.0,8.0,3323
Nanos Research,2011-04-02,-30,40.7,29.4,16.9,8.0,4.0,999
Nanos Research,2011-04-01,-31,41.3,30.3,16.0,8.5,3.7,999
EKOS Research Associates,2011-03-31,-32,36.9,26.2,17.2,8.5,8.7,2660
Nanos Research,2011-03-31,-32,39.4,31.7,16.1,8.5,4.4,937
Nanos Research,2011-03-30,-33,39.1,32.7,15.9,8.7,3.7,937
Nanos Research,2011-03-29,-34,38.4,28.7,19.6,9.1,4.1,937
Abacus Data,2011-03-28,-35,36.0,27.0,20.0,9.0,8.0,937
Harris-Decima,2011-03-27,-36,38.0,24.0,19.0,10.0,7.0,999
Forum Research,2011-03-27,-36,41.0,24.0,19.0,10.0,6.0,1984
