Polling firm,Date,T-Days,CPC,NDP,LPC,BQ,GPC,Sample size
Nanos Research,2015-10-18,-1,30.5,19.7,39.1,5.5,4.6,800
Forum Research,2015-10-18,-1,30.0,20.0,40.0,6.0,3.0,1373
EKOS,2015-10-18,-1,31.9,20.4,35.8,4.9,5.6,2122
EKOS,2015-10-17,-2,32.6,21.0,34.3,5.4,5.4,1621
Ipsos Reid,2015-10-17,-2,31.0,22.0,38.0,4.0,4.0,2503
Nanos Research,2015-10-17,-2,30.5,22.1,37.3,4.6,4.7,2000
EKOS,2015-10-16,-3,33.3,21.9,33.7,4.7,4.1,1537
Nanos Research,2015-10-16,-3,30.7,22.6,37.0,4.4,4.7,1600
Léger Marketing,2015-10-16,-3,30.0,22.0,38.0,6.0,4.0,2086
Angus Reid,2015-10-16,-3,31.0,22.0,35.0,5.0,5.0,2022
Mainstreet Research,2015-10-15,-4,33.0,21.0,38.0,4.0,5.0,5546
EKOS,2015-10-15,-4,32.8,22.7,34.0,3.4,5.1,1813
Nanos Research,2015-10-15,-4,30.6,23.5,36.5,4.3,4.7,1200
Forum Research,2015-10-14,-5,31.0,24.0,37.0,6.0,2.0,1438
EKOS,2015-10-14,-5,32.6,22.9,33.5,3.4,5.6,1438
Nanos Research,2015-10-14,-5,29.4,23.7,37.1,5.0,4.3,1200
EKOS,2015-10-13,-6,29.9,24.1,34.1,3.8,6.4,1179
Nanos Research,2015-10-13,-6,29.2,24.5,36.1,5.2,4.3,1200
Ipsos Reid,2015-10-13,-6,31.0,24.0,37.0,5.0,2.0,1349
EKOS,2015-10-12,-7,31.1,20.6,35.6,3.2,7.5,1115
Nanos Research,2015-10-11,-8,28.9,24.3,35.7,5.7,4.8,1200
Innovative Research,2015-10-11,-8,30.0,22.0,38.0,3.0,6.0,1143
EKOS,2015-10-10,-9,35.5,19.0,33.1,3.3,7.4,1428
Nanos Research,2015-10-10,-9,29.0,25.0,35.1,5.2,5.1,1200
Forum Research,2015-10-09,-10,31.0,23.0,37.0,5.0,3.0,1427
Nanos Research,2015-10-09,-10,28.6,24.9,34.8,5.5,5.4,1200
Angus Reid,2015-10-09,-10,33.0,25.0,31.0,6.0,3.0,1083
EKOS,2015-10-08,-11,33.7,20.4,33.8,3.5,7.2,1618
Nanos Research,2015-10-08,-11,31.0,25.0,34.0,5.3,4.2,1200
Innovative Research,2015-10-08,-11,30.0,24.0,35.0,5.0,5.0,3417
Mainstreet Research,2015-10-07,-12,36.0,20.0,35.0,4.0,5.0,5630
Léger Marketing,2015-10-07,-12,30.0,25.0,34.0,6.0,4.0,2087
EKOS,2015-10-07,-12,32.5,21.1,34.1,3.6,7.3,1753
Nanos Research,2015-10-07,-12,31.6,24.2,33.5,5.6,4.6,1200
Forum Research,2015-10-06,-13,31.0,26.0,35.0,4.0,3.0,1447
Abacus Data,2015-10-06,-13,33.0,24.0,32.0,4.0,5.0,2000
EKOS,2015-10-06,-13,34.1,21.4,32.3,4.0,6.9,1788
Nanos Research,2015-10-06,-13,32.1,23.0,34.3,5.1,4.6,1200
EKOS,2015-10-05,-14,35.1,22.2,30.9,4.0,6.6,1658
Nanos Research,2015-10-05,-14,31.5,23.1,35.0,4.9,4.6,1200
Ipsos Reid,2015-10-05,-14,33.0,26.0,32.0,5.0,3.0,1441
Nanos Research,2015-10-04,-15,31.0,22.8,35.6,4.8,4.7,1200
Nanos Research,2015-10-03,-16,31.0,24.3,35.3,4.3,4.5,1200
Nanos Research,2015-10-02,-17,30.5,25.1,34.6,4.5,4.8,1200
Mainstreet Research,2015-10-01,-18,37.0,24.0,29.0,4.0,7.0,5197
Innovative Research,2015-10-01,-18,29.0,29.0,31.0,5.0,6.0,1562
Nanos Research,2015-10-01,-18,31.9,25.9,33.5,4.3,3.9,1200
Léger Marketing,2015-09-30,-19,30.0,26.0,32.0,6.0,6.0,2107
Angus Reid,2015-09-30,-19,34.0,27.0,27.0,6.0,5.0,2021
Nanos Research,2015-09-30,-19,32.8,26.1,31.7,4.8,4.1,1200
Forum Research,2015-09-29,-20,34.0,28.0,27.0,5.0,5.0,1499
Nanos Research,2015-09-29,-20,32.1,26.3,32.2,4.6,4.4,1200
EKOS,2015-09-29,-20,33.4,25.6,26.7,5.3,7.8,2609
Nanos Research,2015-09-28,-21,32.6,27.0,31.4,4.4,4.0,1200
Ipsos Reid,2015-09-28,-21,32.0,27.0,33.0,4.0,4.0,1354
Nanos Research,2015-09-27,-22,33.0,26.9,31.6,4.2,3.6,1200
Abacus Data,2015-09-27,-22,32.0,27.0,29.0,5.0,5.0,3814
Nanos Research,2015-09-26,-23,31.5,27.6,32.5,4.0,3.7,1200
Nanos Research,2015-09-25,-24,29.6,30.3,31.8,3.1,4.5,1200
Nanos Research,2015-09-24,-25,28.9,31.1,32.3,2.5,4.2,1200
Innovative Research,2015-09-24,-25,31.0,29.0,28.0,3.0,8.0,2805
Forum Research,2015-09-23,-26,31.0,28.0,31.0,4.0,4.0,1557
Nanos Research,2015-09-23,-26,30.5,30.8,31.5,2.3,3.7,1200
Léger Marketing,2015-09-23,-26,31.0,29.0,31.0,5.0,5.0,2115
Innovative Research,2015-09-23,-26,32.0,27.0,30.0,3.0,7.0,1784
Nanos Research,2015-09-22,-27,31.5,29.1,31.6,2.6,4.2,1200
EKOS,2015-09-22,-27,35.4,24.5,26.3,4.2,7.7,2343
Nanos Research,2015-09-21,-28,31.3,29.4,30.3,3.4,4.6,1200
Ipsos Reid,2015-09-21,-28,27.0,30.0,33.0,5.0,4.0,1103
Nanos Research,2015-09-20,-29,31.0,29.1,29.4,3.8,5.5,1200
Nanos Research,2015-09-19,-30,30.8,29.1,30.3,3.7,5.1,1200
Forum Research,2015-09-18,-31,33.0,29.0,29.0,4.0,4.0,922
Nanos Research,2015-09-18,-31,30.4,28.9,30.8,3.0,6.0,1200
