Polling firm,Date,T-Days,CPC,LPC,NDP,BQ,GPC,PPC,Sample size
Nanos Research,2021-09-19,-1,31.2,32.4,17.5,7.5,4.5,6.6,832
Forum Research,2021-09-19,-1,33.0,29.4,16.2,6.9,2.9,10.3,1181
Research Co.,2021-09-19,-1,32.0,32.0,19.0,7.0,4.0,6.0,1800
Mainstreet Research,2021-09-19,-1,30.4,33.4,18.1,6.0,2.1,9.3,2211
Abacus Data,2021-09-19,-1,32.0,31.0,19.0,7.0,4.0,6.0,2431
EKOS,2021-09-19,-1,27.3,32.6,18.0,7.3,3.9,9.9,1662
Counsel,2021-09-18,-2,30.0,31.0,19.0,7.0,4.0,7.0,3298
EKOS,2021-09-18,-2,26.9,32.1,18.5,7.2,4.4,10.0,1327
Nanos Research,2021-09-18,-2,30.5,30.8,21.0,6.5,4.7,5.6,1679
Mainstreet Research,2021-09-18,-2,30.5,31.9,19.0,6.4,2.5,8.9,2494
Abacus Data,2021-09-18,-2,31.0,32.0,21.0,6.0,3.0,6.0,1271
Ipsos,2021-09-18,-2,32.0,31.0,21.0,7.0,3.0,4.0,2359
Angus Reid,2021-09-18,-2,32.0,30.0,20.0,7.0,3.0,5.0,2042
EKOS,2021-09-17,-3,27.7,30.6,20.0,7.3,4.5,9.1,1422
Nanos Research,2021-09-17,-3,29.2,31.3,20.9,6.4,3.9,7.3,1241
Mainstreet Research,2021-09-17,-3,30.8,31.0,19.9,6.6,2.5,8.4,1871
Abacus Data,2021-09-17,-3,32.0,33.0,21.0,6.0,2.0,5.0,1333
Leger,2021-09-17,-3,33.0,32.0,19.0,7.0,2.0,6.0,2147
EKOS,2021-09-16,-4,30.6,30.4,18.5,7.0,4.1,8.5,1384
Nanos Research,2021-09-16,-4,30.4,31.9,20.3,5.8,3.2,7.5,1228
Mainstreet Research,2021-09-16,-4,31.9,29.5,19.5,6.4,3.0,8.8,1749
Abacus Data,2021-09-16,-4,30.0,34.0,21.0,6.0,3.0,5.0,1604
Campaign Research,2021-09-16,-4,31.0,31.0,21.0,7.0,4.0,5.0,5163
EKOS,2021-09-15,-5,30.4,32.1,18.4,6.3,3.8,8.2,1446
Nanos Research,2021-09-15,-5,30.3,31.9,21.2,6.4,3.2,6.7,1237
Mainstreet Research,2021-09-15,-5,32.0,30.2,18.9,6.4,2.9,8.7,1753
Abacus Data,2021-09-15,-5,31.0,33.0,22.0,5.0,3.0,5.0,1578
EKOS,2021-09-14,-6,31.8,31.8,19.1,6.4,3.3,6.9,1322
Nanos Research,2021-09-14,-6,31.2,30.5,21.4,6.2,3.7,6.8,1281
Mainstreet Research,2021-09-14,-6,31.4,31.4,17.5,7.0,3.3,8.7,1774
EKOS,2021-09-13,-7,32.2,31.2,19.4,6.2,3.1,7.3,1241
Research Co.,2021-09-13,-7,30.0,34.0,20.0,7.0,3.0,5.0,1000
Nanos Research,2021-09-13,-7,31.2,32.3,18.9,6.4,3.8,6.7,1264
Mainstreet Research,2021-09-13,-7,29.5,33.5,16.4,7.5,3.3,9.1,1732
Ipsos,2021-09-13,-7,32.0,32.0,21.0,7.0,4.0,3.0,2001
Leger,2021-09-13,-7,32.0,32.0,20.0,7.0,3.0,5.0,2001
