Polling firm,Date,T-Days,Union,SPD,AfD,FDP,Linke,Grune,Others,Sample size
Wahlkreisprognose,24 Sep 2021,-2,22.5,25.5,11.0,12.0,7.0,14.0,8.0,1400
Ipsos,23 Sep 2021,-3,22.0,26.0,11.0,12.0,7.0,16.0,6.0,2000
Forschungsgruppe Wahlen,23 Sep 2021,-3,23.0,25.0,10.0,11.0,6.0,16.5,5.5,1273
Forsa,23 Sep 2021,-3,22.0,25.0,10.0,12.0,6.0,17.0,5.0,2002
Allensbach,23 Sep 2021,-3,25.0,26.0,10.0,10.5,5.0,16.0,7.5,1554
Civey,23 Sep 2021,-3,23.0,25.0,10.0,12.0,6.0,16.0,8.0,10012
YouGov,22 Sep 2021,-4,21.0,25.0,12.0,11.0,7.0,14.0,7.0,2364
Wahlkreisprognose,21 Sep 2021,-5,21.5,25.0,11.0,12.5,6.5,15.0,8.5,1801
Kantar,21 Sep 2021,-5,21.0,25.0,11.0,11.0,7.0,16.0,9.0,1433
INSA,20 Sep 2021,-6,22.0,25.0,11.0,12.0,6.5,15.0,8.5,2054
Forsa,20 Sep 2021,-6,22.0,25.0,11.0,11.0,6.0,17.0,5.0,2502
INSA,17 Sep 2021,-9,21.0,26.0,11.0,12.0,6.0,15.0,6.0,1502
Ipsos,16 Sep 2021,-10,21.0,27.0,11.0,10.0,7.0,18.0,6.0,2000
Forschungsgruppe Wahlen,16 Sep 2021,-10,22.0,25.0,11.0,11.0,6.0,16.0,9.0,1406
Trend Research,16 Sep 2021,-10,22.0,27.0,11.0,12.0,7.0,15.0,8.0,1097
Infratest dimap,15 Sep 2021,-11,22.0,26.0,11.0,11.0,6.0,15.0,6.0,1512
Wahlkreisprognose,15 Sep 2021,-11,20.0,27.0,11.0,12.5,6.5,15.0,8.0,1400
Civey,15 Sep 2021,-11,23.0,25.0,10.0,12.0,6.0,17.0,7.0,10029
YouGov,14 Sep 2021,-12,20.0,25.0,11.0,10.0,8.0,15.0,7.0,1816
Kantar,14 Sep 2021,-12,20.0,26.0,12.0,11.0,6.0,17.0,8.0,1543
INSA,13 Sep 2021,-13,20.5,26.0,11.5,12.5,6.5,15.0,8.0,2062
GMS,13 Sep 2021,-13,23.0,25.0,11.0,13.0,6.0,16.0,6.0,1003
Forsa,13 Sep 2021,-13,21.0,25.0,11.0,11.0,6.0,17.0,6.0,2501
INSA,10 Sep 2021,-16,20.0,26.0,11.0,13.0,6.0,15.0,9.0,1152
Forschungsgruppe Wahlen,9 Sep 2021,-17,22.0,25.0,11.0,11.0,6.0,17.0,5.0,1281
Kantar,7 Sep 2021,-19,21.0,25.0,12.0,12.0,6.0,17.0,7.0,1901
Wahlkreisprognose,8 Sep 2021,-18,19.0,28.0,11.0,12.0,6.0,14.0,10.0,1208
Civey,8 Sep 2021,-18,23.0,25.0,11.0,11.0,6.0,17.0,7.0,10082
YouGov,7 Sep 2021,-19,21.0,26.0,12.0,10.0,6.0,15.0,10.0,1700
Allensbach,7 Sep 2021,-19,25.0,27.0,11.0,9.5,6.0,15.5,6.0,1258
INSA,6 Sep 2021,-20,20.5,26.0,11.0,12.5,6.5,15.5,5.0,2052
GMS,6 Sep 2021,-20,23.0,25.0,11.0,12.0,6.0,17.0,6.0,1004
