Polling firm,Date,T-Days,A,V,O,B,F,Ø,C,Å,D,I,K,M,Q,Æ,Red,Blue,Sample size
Voxmeter,31 Oct 2022,-1,24.2,14.0,2.9,4.4,9.7,6.5,6.1,3.6,4.1,7.7,0.7,8.5,0.7,6.9,49.1,42.4,4577
Gallup,31 Oct 2022,-1,26.6,13.7,2.9,4.4,8.7,6.3,6.0,3.2,4.3,7.3,0.9,8.8,0.3,7.0,49.1,42.1,4483
Yougov,31 Oct 2022,-1,27.6,12.9,2.8,3.2,8.5,6.3,6.5,1.9,4.3,6.9,0.2,8.0,0.9,10.1,48.4,43.7,1336
Epinion,27 Oct 2022,-5,24.4,13.3,2.4,4.7,8.7,6.3,5.8,2.3,5.2,8.6,0.4,8.3,0.7,8.6,47.1,44.3,2538
Voxmeter,27 Oct 2022,-5,26.2,12.5,3.0,4.1,9.8,6.0,5.9,2.2,3.7,6.8,0.2,10.0,0.8,8.8,49.1,40.9,1001
Yougov,25 Oct 2022,-7,28.6,10.4,2.6,3.6,8.3,6.7,6.5,2.3,4.3,7.1,0.5,9.6,0.7,8.5,50.2,39.9,1261
Gallup,24 Oct 2022,-8,24.4,13.8,2.3,3.7,9.2,8.0,6.2,2.5,3.8,8.3,0.4,8.8,0.4,8.1,48.2,42.9,1928
Voxmeter,24 Oct 2022,-8,25.0,13.2,1.9,3.8,9.6,6.5,6.0,1.7,4.2,7.3,0.6,11.5,0.6,8.1,47.2,41.3,1004
Voxmeter,21 Oct 2022,-11,25.7,14.2,2.4,4.7,9.1,6.8,6.7,2.2,3.8,7.5,0.5,8.8,0.5,6.8,49.0,41.9,942
Epinion,20 Oct 2022,-12,24.3,12.7,2.4,4.3,8.0,7.1,7.0,2.2,4.9,7.0,0.6,9.8,0.8,8.6,46.7,43.2,2568
Gallup,18 Oct 2022,-14,27.7,14.5,2.7,4.5,8.9,6.9,7.1,1.5,4.8,6.7,0.7,7.3,0.7,5.9,50.2,42.4,1989
Voxmeter,18 Oct 2022,-14,25.0,14.7,1.8,5.3,9.1,7.4,7.7,1.6,3.9,5.7,0.6,9.2,0.5,7.4,48.9,41.8,1008
Yougov,18 Oct 2022,-14,30.3,10.6,2.8,3.1,7.2,5.3,8.0,2.3,5.1,6.8,0.5,7.9,1.6,8.3,49.8,42.1,1343
Voxmeter,15 Oct 2022,-17,26.1,14.4,2.6,4.8,8.7,6.6,8.9,1.9,4.5,6.1,0.9,6.1,0.4,7.9,48.5,45.3,1019
Epinion,13 Oct 2022,-19,25.9,12.9,2.3,4.9,8.3,6.5,8.6,2.4,5.9,5.8,0.4,6.9,0.7,8.0,48.7,43.9,2645
Gallup,12 Oct 2022,-20,27.4,12.9,3.1,5.1,8.5,6.1,9.9,1.6,4.5,5.5,1.4,5.5,0.5,8.0,49.2,45.3,1995
Voxmeter,12 Oct 2022,-20,27.5,14.3,2.4,4.2,7.9,7.2,8.9,2.4,3.9,5.0,0.7,6.1,0.8,8.7,50.0,43.9,1019
Yougov,11 Oct 2022,-21,30.6,10.5,3.4,4.3,8.1,5.1,10.4,1.7,4.4,5.5,0.1,4.4,0.6,10.6,50.4,44.9,1271
Voxmeter,9 Oct 2022,-23,27.1,13.8,2.3,5.0,8.7,6.7,9.8,2.0,4.9,5.3,0.6,4.1,0.6,9.0,50.1,45.7,1015
Yougov,7 Oct 2022,-25,29.3,9.5,2.9,3.5,8.0,8.2,10.8,1.0,5.3,4.4,0.1,5.2,0.6,11.2,50.6,44.1,1010
Gallup,6 Oct 2022,-26,26.7,13.2,2.1,3.8,8.9,6.6,11.2,1.6,3.6,4.4,0.5,6.1,0.5,10.7,48.1,45.7,1726
Voxmeter,6 Oct 2022,-26,27.5,14.6,1.7,5.4,8.3,7.1,11.4,1.2,4.7,5.6,0.8,3.3,0.3,7.9,49.8,46.7,1094
Epinion,5 Oct 2022,-27,27.3,12.7,1.8,4.9,8.1,6.7,11.2,1.3,6.3,4.1,0.4,3.7,0.7,10.3,49.0,46.8,1911
Gallup,2 Oct 2022,-30,24.4,11.9,1.9,6.8,7.9,8.7,12.3,1.2,6.0,4.0,1.3,3.4,0.3,9.8,49.3,47.2,1607
