Polling firm,Date,T-Days,Liberal,PC,NDP,Green,Margin of error,Sample size
Angus Reid,"October 5, 2011",-1,37.0,33.0,26.0,3.0,3.6,741
EKOS,"October 5, 2011",-1,37.7,31.5,23.3,5.9,2.0,2400
Forum Research,"October 4, 2011",-2,37.0,36.0,23.0,3.0,3.1,999
Angus Reid,"October 4, 2011",-2,33.0,36.0,26.0,5.0,2.1,2177
Abacus Data,"October 4, 2011",-2,37.0,34.0,24.0,4.0,3.1,999
EKOS,"October 4, 2011",-2,39.0,29.7,23.1,6.6,2.2,1984
Nanos Research,"October 3, 2011",-3,40.1,33.0,23.2,2.8,4.2,544
EKOS,"October 3, 2011",-3,39.1,29.1,24.5,6.0,2.9,1141
Nanos Research,"October 3, 2011",-3,37.7,33.2,25.8,2.1,3.4,830
Ipsos Reid,"October 3, 2011",-3,41.0,31.0,25.0,3.0,3.1,999
Nanos Research,"October 2, 2011",-4,35.9,36.4,25.7,1.2,3.5,783
EKOS,"October 2, 2011",-4,37.8,30.6,22.7,7.3,2.8,1225
Nanos Research,"October 1, 2011",-5,36.5,34.0,26.8,1.9,3.5,783
Nanos Research,"September 30, 2011",-6,38.0,35.3,24.6,1.8,3.5,783
Angus Reid,"September 30, 2011",-6,33.0,34.0,26.0,6.0,3.1,999
Leger Marketing,"September 29, 2011",-7,32.0,34.0,29.0,5.0,3.1,999
Nanos Research,"September 29, 2011",-7,37.7,34.4,25.5,2.0,4.3,519
Abacus Data,"September 25, 2011",-11,33.0,37.0,23.0,6.0,2.9,1141
EKOS,"September 25, 2011",-11,34.9,31.4,24.7,7.6,2.3,1815
Forum Research,"September 23, 2011",-13,35.0,35.0,23.0,5.0,0.5,38415
Angus Reid,"September 15, 2011",-21,32.0,36.0,26.0,6.0,3.1,999
Leger Marketing,"September 15, 2011",-21,33.0,36.0,26.0,5.0,3.1,999
Abacus Data,"September 12, 2011",-24,32.0,41.0,20.0,6.0,3.2,937
Nanos Research,"September 11, 2011",-25,38.1,34.7,24.3,2.7,4.9,399
Ipsos Reid,"September 11, 2011",-25,38.0,37.0,24.0,1.0,3.5,783
Harris-Decima,"September 4, 2011",-32,40.0,29.0,24.0,6.0,3.8,665
Nanos Research,"September 1, 2011",-35,31.9,35.4,22.8,4.1,3.1,999
Forum Research,"August 30, 2011",-37,30.0,35.0,26.0,7.0,2.0,2400
Angus Reid,"August 28, 2011",-39,31.0,38.0,24.0,6.0,3.1,999
Nanos Research,"August 13, 2011",-54,37.6,42.1,16.2,3.4,3.4,830
Ipsos Reid,"August 4, 2011",-63,36.0,38.0,23.0,3.0,4.9,399
Forum Research,"July 28, 2011",-70,28.0,38.0,24.0,7.0,2.1,2177
Ipsos Reid,"July 7, 2011",-91,31.0,42.0,22.0,5.0,3.5,783
Forum Research,"June 22, 2011",-106,26.0,41.0,22.0,8.0,1.7,3323
Ipsos Reid,"June 9, 2011",-119,34.0,40.0,20.0,6.0,3.5,783
Nanos Research,"May 15, 2011",-144,34.0,41.0,19.0,5.0,4.7,434
Nanos Research,"March 11, 2011",-209,35.0,44.0,16.0,4.0,4.9,399
Nanos Research,"February 3, 2011",-245,39.0,43.0,13.0,5.0,4.7,434
Angus Reid,"September 28, 2010",-373,29.0,41.0,22.0,8.0,3.5,783
Nanos Research,"February 10, 2010",-603,41.4,37.9,12.8,7.9,4.9,399
Nanos Research,"October 25, 2009",-711,36.6,35.0,17.2,9.8,4.8,416
