Polling firm,Date,T-Days,Liberal,PC,NDP,Green,Sample size
Forum Research,"June 6, 2018",-1,21.0,39.0,34.0,5.0,2178
Research Co.,"June 6, 2018",-1,20.0,39.0,37.0,4.0,661
EKOS,"June 6, 2018",-1,18.9,39.1,35.1,4.5,1230
Pollara,"June 5, 2018",-2,17.0,38.0,38.0,6.0,906
Mainstreet Research,"June 4, 2018",-3,20.2,39.0,34.3,4.9,3320
Pollara,"June 4, 2018",-3,17.0,39.0,37.0,6.0,1083
Pollara,"June 3, 2018",-4,20.0,38.0,37.0,5.0,1275
Forum Research,"June 2, 2018",-5,18.0,38.0,37.0,5.0,2349
Abacus Data,"June 2, 2018",-5,23.0,33.0,37.0,5.0,2646
Pollara,"June 2, 2018",-5,20.0,37.0,37.0,5.0,1447
EKOS,"May 31, 2018",-7,19.3,38.6,34.9,5.9,990
Research Co.,"May 31, 2018",-7,18.0,38.0,39.0,4.0,701
Forum Research,"May 29, 2018",-9,19.0,39.0,35.0,5.0,2602
H+K Strategies,"May 29, 2018",-9,19.0,37.0,39.0,6.0,1500
EKOS,"May 29, 2018",-9,19.1,37.9,38.4,3.3,945
Angus Reid,"May 29, 2018",-9,17.0,37.0,39.0,5.0,773
Innovative Research,"May 29, 2018",-9,22.0,34.0,36.0,6.0,958
Innovative Research,"May 29, 2018",-9,21.0,34.0,37.0,6.0,611
Pollara,"May 28, 2018",-10,17.0,32.0,43.0,5.0,800
Mainstreet Research,"May 27, 2018",-11,16.0,37.9,39.3,4.5,1682
Abacus Data,"May 26, 2018",-12,23.0,33.0,37.0,4.0,800
EKOS,"May 24, 2018",-14,20.4,34.9,35.6,7.0,1021
Forum Research,"May 23, 2018",-15,14.0,33.0,47.0,4.0,906
Innovative Research,"May 23, 2018",-15,26.0,36.0,31.0,6.0,1074
Pollara,"May 22, 2018",-16,18.0,37.0,38.0,5.0,870
Abacus Data,"May 18, 2018",-20,24.0,35.0,34.0,5.0,2824
Mainstreet Research,"May 18, 2018",-20,22.3,41.9,29.3,5.0,2350
EKOS,"May 17, 2018",-21,23.3,39.1,29.8,5.4,1124
Innovative Research,"May 12, 2018",-26,27.0,35.0,31.0,6.0,1529
Mainstreet Research,"May 11, 2018",-27,22.1,42.3,28.4,5.4,2534
Forum Research,"May 9, 2018",-29,22.0,40.0,33.0,4.0,777
Innovative Research,"May 9, 2018",-29,28.0,38.0,28.0,6.0,915
