Polling firm,Date,T-Days,PC,NDP,Liberal,Green,Other,Sample size
Forum Research,"June 1, 2022",-1,40.3,23.2,24.5,6.5,5.5,1032
Research Co.,"June 1, 2022",-1,39.0,23.0,26.0,6.0,1.0,659
EKOS,"June 1, 2022",-1,37.0,23.5,24.7,8.7,2.0,1430
Abacus Data,"June 1, 2022",-1,40.0,22.0,27.0,4.0,3.0,1043
Mainstreet Research,"June 1, 2022",-1,38.9,22.8,24.2,9.4,4.7,2034
Ipsos,"May 31, 2022",-2,41.0,25.0,24.0,6.0,4.0,2501
Nanos Research,"May 31, 2022",-2,38.8,24.7,26.3,6.1,0.2,465
Mainstreet Research,"May 31, 2022",-2,35.4,23.9,26.2,9.2,5.2,2086
Leger,"May 30, 2022",-3,40.0,24.0,25.0,5.0,1.0,1334
Innovative Research Group,"May 30, 2022",-3,34.0,24.0,29.0,8.0,2.0,637
Mainstreet Research,"May 30, 2022",-3,39.3,22.5,26.8,6.4,5.1,2089
Earnscliffe/Leger,"May 29, 2022",-4,39.0,24.0,26.0,5.0,6.0,1000
Mainstreet Research,"May 29, 2022",-4,36.6,23.5,27.2,6.8,5.8,1921
Counsel,"May 28, 2022",-5,39.6,22.5,25.1,7.1,5.7,2411
Mainstreet Research,"May 28, 2022",-5,37.3,23.2,26.3,7.1,6.1,1789
Mainstreet Research,"May 27, 2022",-6,39.1,20.8,26.5,7.8,5.8,1694
Innovative Research Group,"May 27, 2022",-6,40.0,21.0,28.0,9.0,3.0,492
Mainstreet Research,"May 26, 2022",-7,38.3,21.6,26.9,7.6,5.7,1704
Angus Reid,"May 25, 2022",-8,38.0,24.0,26.0,7.0,5.0,1331
EKOS,"May 25, 2022",-8,33.7,23.8,26.9,8.0,3.0,1017
Mainstreet Research,"May 25, 2022",-8,36.0,23.5,26.1,8.5,5.9,1622
Mainstreet Research,"May 24, 2022",-9,35.3,23.1,27.2,8.0,6.4,1724
Leger,"May 23, 2022",-10,38.0,24.0,26.0,6.0,1.0,1324
Innovative Research Group,"May 23, 2022",-10,35.0,23.0,30.0,9.0,4.0,439
Mainstreet Research,"May 23, 2022",-10,35.4,24.2,25.2,7.8,7.4,1696
Nanos Research,"May 22, 2022",-11,37.3,23.2,28.0,6.3,0.3,479
Earnscliffe/Leger,"May 22, 2022",-11,36.0,24.0,28.0,6.0,6.0,1000
EKOS,"May 22, 2022",-11,34.5,24.1,26.7,6.6,2.7,948
Mainstreet Research,"May 22, 2022",-11,35.0,23.8,25.1,8.2,7.9,1709
Abacus Data,"May 21, 2022",-12,36.0,24.0,28.0,5.0,8.0,1228
Mainstreet Research,"May 21, 2022",-12,34.4,25.1,26.7,7.2,6.5,1679
Mainstreet Research,"May 20, 2022",-13,35.5,26.1,25.7,6.5,6.3,1734
Pollara,"May 19, 2022",-14,40.0,21.0,27.0,8.0,4.0,1514
Ipsos,"May 19, 2022",-14,38.0,23.0,28.0,6.0,5.0,1501
Innovative Research Group,"May 19, 2022",-14,36.0,26.0,28.0,8.0,2.0,606
Mainstreet Research,"May 19, 2022",-14,36.9,24.7,26.2,5.1,7.2,1686
Counsel,"May 18, 2022",-15,36.9,24.3,27.5,6.1,5.3,2206
Mainstreet Research,"May 18, 2022",-15,37.2,23.4,24.8,6.7,7.8,1720
Nanos Research,"May 17, 2022",-16,36.1,19.8,29.3,7.3,1.1,484
Research Co.,"May 17, 2022",-16,34.0,23.0,29.0,7.0,2.0,602
EKOS,"May 17, 2022",-16,40.7,23.9,24.3,5.1,6.1,593
Mainstreet Research,"May 17, 2022",-16,36.8,23.1,27.2,5.6,7.3,1675
Innovative Research Group,"May 16, 2022",-17,36.0,23.0,31.0,7.0,4.0,603
Mainstreet Research,"May 16, 2022",-17,37.9,22.8,27.7,4.9,6.8,1675
Earnscliffe/Leger,"May 15, 2022",-18,37.0,23.0,28.0,7.0,5.0,1000
Leger,"May 15, 2022",-18,37.0,23.0,28.0,5.0,1.0,830
Abacus Data,"May 15, 2022",-18,35.0,24.0,28.0,5.0,7.0,798
Mainstreet Research,"May 15, 2022",-18,35.5,24.8,26.8,4.4,8.5,1792
Mainstreet Research,"May 14, 2022",-19,36.0,25.4,27.6,4.1,7.0,1764
Mainstreet Research,"May 13, 2022",-20,36.0,24.4,26.8,5.2,7.5,1773
Mainstreet Research,"May 12, 2022",-21,36.6,22.6,28.6,5.2,7.0,1639
Mainstreet Research,"May 11, 2022",-22,38.8,21.1,28.1,5.4,6.6,1673
Mainstreet Research,"May 10, 2022",-23,39.0,22.3,27.1,4.6,7.0,1639
Mainstreet Research,"May 9, 2022",-24,36.5,23.5,29.0,4.9,6.1,1639
Abacus Data,"May 9, 2022",-24,38.0,22.0,29.0,5.0,7.0,1208
Innovative Research Group,"May 9, 2022",-24,40.0,24.0,28.0,6.0,3.0,600
EKOS,"May 9, 2022",-24,33.9,25.4,29.3,5.1,6.3,1000
Nanos Research,"May 8, 2022",-25,35.4,23.7,30.4,4.2,1.2,500
Earnscliffe/Leger,"May 8, 2022",-25,39.0,24.0,27.0,6.0,3.0,1000
Leger,"May 8, 2022",-25,39.0,25.0,26.0,4.0,2.0,819
Mainstreet Research,"May 8, 2022",-25,37.0,23.0,30.0,5.0,5.0,1515
Mainstreet Research,"May 7, 2022",-26,36.3,24.2,30.2,4.6,4.6,1496
Mainstreet Research,"May 6, 2022",-27,38.3,24.5,29.1,4.0,4.0,1532
Mainstreet Research,"May 5, 2022",-28,37.4,25.7,28.1,4.6,4.2,1335
Forum Research,"May 4, 2022",-29,37.0,26.0,29.0,4.0,4.0,1541
Mainstreet Research,"May 4, 2022",-29,36.7,25.1,27.1,5.7,5.3,1335
