Polling firm,Date,T-Days,PLQ,PQ,CAQ,QS,Sample size
Research Co.,"September 30, 2018",-1,30.0,18.0,33.0,16.0,625
Angus Reid Institute,"September 30, 2018",-1,25.0,18.0,32.0,20.0,635
Ipsos,"September 28, 2018",-3,31.0,18.0,32.0,16.0,1250
Mainstreet,"September 27, 2018",-4,29.0,19.5,31.5,16.3,1760
Leger,"September 27, 2018",-4,30.0,19.0,32.0,17.0,1502
Ipsos,"September 23, 2018",-8,30.0,20.0,30.0,16.0,1250
Research Co.,"September 22, 2018",-9,30.0,19.0,32.0,16.0,601
Leger,"September 17, 2018",-14,30.0,21.0,31.0,14.0,3017
CROP,"September 17, 2018",-14,37.0,16.0,30.0,14.0,1000
Forum,"September 15, 2018",-16,22.0,24.0,32.0,19.0,1274
Mainstreet,"September 15, 2018",-16,28.6,21.5,29.1,17.1,1665
Leger,"September 10, 2018",-21,29.0,21.0,35.0,11.0,1014
Mainstreet,"September 7, 2018",-24,27.2,21.1,32.2,15.7,2531
Leger,"August 28, 2018",-34,32.0,19.0,37.0,8.0,1010
Forum,"August 23, 2018",-39,22.0,21.0,42.0,13.0,965
Ipsos,"August 21, 2018",-41,29.0,18.0,36.0,11.0,1501
Mainstreet,"August 20, 2018",-42,25.6,17.7,32.1,13.9,1647
CROP,"August 20, 2018",-42,36.0,15.0,38.0,10.0,1000
Leger,"August 14, 2018",-48,30.0,18.0,36.0,10.0,2488
Mainstreet,"July 29, 2018",-64,29.7,16.5,32.3,11.7,1320
CROP,"June 19, 2018",-104,33.0,14.0,39.0,11.0,1002
Leger,"June 10, 2018",-113,28.0,19.0,37.0,9.0,3234
Leger,"May 8, 2018",-146,26.0,22.0,35.0,10.0,1018
Ipsos,"May 2, 2018",-152,32.0,20.0,35.0,8.0,2001
Mainstreet,"April 9, 2018",-175,29.7,16.2,30.1,12.0,1200
Leger,"April 8, 2018",-176,29.0,21.0,34.0,9.0,1019
Mainstreet,"March 1, 2018",-214,27.8,19.8,32.0,10.8,1062
Leger,"March 1, 2018",-214,26.0,22.0,37.0,9.0,993
Ipsos,"February 4, 2018",-239,30.0,23.0,34.0,8.0,1297
Leger,"January 24, 2018",-250,28.0,20.0,39.0,9.0,983
Mainstreet,"January 6, 2018",-268,31.4,18.1,31.6,14.9,965
Mainstreet,"December 8, 2017",-297,29.0,24.0,31.0,15.0,1500
Leger,"November 30, 2017",-305,32.0,19.0,36.0,11.0,1010
Mainstreet,"November 8, 2017",-327,29.0,24.0,29.0,16.0,1500
Leger,"October 25, 2017",-341,29.0,20.0,34.0,12.0,1008
Ipsos,"October 17, 2017",-349,32.0,24.0,28.0,12.0,1659
Mainstreet,"October 11, 2017",-355,29.0,26.0,26.0,16.0,1500
Mainstreet,"September 14, 2017",-382,30.0,26.0,26.0,18.0,1501
Leger,"August 24, 2017",-403,32.0,22.0,28.0,12.0,1003
Mainstreet,"August 10, 2017",-417,31.0,24.0,28.0,17.0,1501
