Polling firm,Date,T-Days,SK Party,NDP,Sample size
Forum Research,25 October 2020,-1,56.2,35.8,1011
Research Co.,25 October 2020,-1,56.0,38.0,500
Mainstreet Research,24 October 2020,-2,55.2,37.3,616
Angus Reid,13 October 2020,-13,60.0,33.0,759
Research Co.,10 October 2020,-16,58.0,36.0,500
Insightrix,8 October 2020,-18,54.0,35.0,801
CHASR Research,16 September 2020,-40,53.0,25.0,400
EKOS Research,26 August 2020,-61,60.0,28.0,1638
EKOS Research,9 July 2020,-109,57.0,32.0,1240
Angus Reid,24 May 2020,-155,57.0,32.0,459
The Canadian Perspective,10 May 2020,-169,51.9,35.0,792
Innovative Research,7 May 2020,-172,44.0,32.0,203
Mainstreet Research,22 March 2019,-584,55.0,31.2,695
Mainstreet Research,15 January 2019,-650,55.8,32.6,830
Mainstreet Research,1 November 2018,-725,55.1,30.3,779
Mainstreet Research,17 July 2018,-832,52.1,35.1,776
Mainstreet Research,18 April 2018,-922,49.8,38.7,963
Mainstreet Research,6 January 2018,-1024,50.9,34.4,764
The Canadian Perspective,27 August 2017,-1156,42.9,45.4,273
Angus Reid,12 June 2017,-1232,48.0,41.0,1053
Mainstreet Research,16 May 2017,-1259,40.0,49.0,2000
Insightrix,13 April 2017,-1292,44.0,40.0,803
Mainstreet Research,31 March 2017,-1305,47.0,42.0,1704
Mainstreet Research,23 August 2016,-1525,53.0,37.0,1690
Mainstreet Research,13 June 2016,-1596,59.0,32.0,1400
