Polling firm,Date,T-Days,Lab,Con,Lib Dem,Sample size
Gallup,6 Jun 2001,-1,47.0,30.0,18.0,2399
MORI,6 Jun 2001,-1,45.0,30.0,18.0,1906
ICM,4 Jun 2001,-3,43.0,32.0,19.0,1009
ICM,3 Jun 2001,-4,47.0,30.0,18.0,1381
MORI,2 Jun 2001,-5,50.0,27.0,17.0,1070
ICM,1 Jun 2001,-6,46.0,34.0,15.0,1005
NOP,1 Jun 2001,-6,47.0,30.0,16.0,1105
ICM,1 Jun 2001,-6,43.0,31.0,19.0,1007
MORI,29 May 2001,-9,48.0,30.0,16.0,1013
Gallup,29 May 2001,-9,47.0,31.0,16.0,1462
ICM,28 May 2001,-10,47.0,28.0,17.0,1000
Gallup,23 May 2001,-15,48.0,32.0,15.0,1000
MORI,22 May 2001,-16,52.0,27.0,16.0,1066
ICM,21 May 2001,-17,45.0,32.0,17.0,1000
NOP,18 May 2001,-20,49.0,30.0,14.0,1107
MORI,15 May 2001,-23,54.0,28.0,12.0,1019
Gallup,15 May 2001,-23,48.0,32.0,13.0,1004
ICM,14 May 2001,-24,46.0,31.0,16.0,1004
MORI,14 May 2001,-24,54.0,26.0,14.0,1846
ICM,13 May 2001,-25,48.0,32.0,14.0,1437
Rasmussen,13 May 2001,-25,46.0,32.0,13.0,1004
MORI,12 May 2001,-26,51.0,31.0,13.0,1030
ICM,11 May 2001,-27,48.0,32.0,15.0,1011
NOP,11 May 2001,-27,49.0,32.0,13.0,1003
Gallup,8 May 2001,-30,49.0,32.0,13.0,1000
MORI,8 May 2001,-30,54.0,30.0,13.0,1046
NOP,7 May 2001,-31,51.0,31.0,13.0,1000
NOP,6 May 2001,-32,49.0,34.0,11.0,1600
NOP,2 May 2001,-36,51.0,29.0,13.0,2000
MORI,1 May 2001,-37,50.0,32.0,13.0,1008
MORI,24 Apr 2001,-44,50.0,30.0,13.0,1935
ICM,22 Apr 2001,-46,47.0,33.0,14.0,1005
MORI,12 Apr 2001,-56,53.0,29.0,12.0,1003
Gallup,10 Apr 2001,-58,53.0,27.0,15.0,1009
NOP,4 Apr 2001,-64,52.0,30.0,12.0,1575
MORI,31 Mar 2001,-68,48.0,32.0,15.0,1034
ICM,30 Mar 2001,-69,49.0,34.0,13.0,1000
MORI,27 Mar 2001,-72,50.0,31.0,14.0,1945
ICM,18 Mar 2001,-81,44.0,35.0,16.0,1426
NOP,16 Mar 2001,-83,51.0,31.0,13.0,1426
Gallup,13 Mar 2001,-86,55.0,29.0,12.0,1016
MORI,20 Feb 2001,-107,50.0,30.0,14.0,1900
ICM,18 Feb 2001,-109,47.0,32.0,15.0,1000
Gallup,7 Feb 2001,-120,50.0,29.0,17.0,1001
MORI,26 Jan 2001,-132,49.0,31.0,14.0,1007
MORI,22 Jan 2001,-136,50.0,31.0,14.0,2083
ICM,21 Jan 2001,-137,44.0,34.0,16.0,1004
Gallup,16 Jan 2001,-142,51.0,31.0,13.0,1006
MORI,13 Jan 2001,-145,52.0,31.0,11.0,1007
NOP,12 Jan 2001,-146,48.0,33.0,14.0,1232
MORI,6 Jan 2001,-152,46.0,35.0,14.0,1005
