Polling firm,Date,T-Days,Lab,Con,Lib Dem,Sample size
Ipsos MORI,4 May 2005,-1,38.0,33.0,23.0,1164
Populus,3 May 2005,-2,38.0,32.0,21.0,1174
ICM,3 May 2005,-2,38.0,32.0,22.0,1178
Populus,2 May 2005,-3,41.0,27.0,23.0,866
Populus,30 Apr 2005,-5,42.0,29.0,21.0,863
Populus,28 Apr 2005,-7,40.0,31.0,22.0,853
Populus,27 Apr 2005,-8,40.0,31.0,21.0,841
ICM,26 Apr 2005,-9,40.0,32.0,21.0,1209
Populus,26 Apr 2005,-9,40.0,31.0,21.0,835
Populus,25 Apr 2005,-10,40.0,31.0,21.0,831
Populus,24 Apr 2005,-11,41.0,33.0,19.0,819
Populus,23 Apr 2005,-12,41.0,32.0,20.0,798
Populus Online,22 Apr 2005,-13,41.0,33.0,20.0,798
Populus,21 Apr 2005,-14,40.0,33.0,20.0,806
Populus,20 Apr 2005,-15,39.0,34.0,20.0,836
ICM,19 Apr 2005,-16,39.0,33.0,22.0,1163
Populus,19 Apr 2005,-16,39.0,33.0,21.0,863
Populus,17 Apr 2005,-18,40.0,31.0,21.0,586
ICM,12 Apr 2005,-23,39.0,33.0,22.0,1169
ICM,3 Apr 2005,-32,37.0,34.0,21.0,973
Populus,3 Apr 2005,-32,37.0,35.0,19.0,812
ICM,20 Mar 2005,-46,40.0,32.0,20.0,716
Populus,6 Mar 2005,-60,39.0,32.0,20.0,831
ICM,20 Feb 2005,-74,37.0,34.0,21.0,1013
Populus,6 Feb 2005,-88,41.0,32.0,18.0,814
ICM,23 Jan 2005,-102,38.0,31.0,21.0,1000
Populus,9 Jan 2005,-116,38.0,33.0,20.0,848
