Polling firm,Date,T-Days,Con,Lab,Lib Dem,UKIP,Green,Sample size
Populus,7 May 2015,0,34.0,34.0,9.0,13.0,5.0,3917
Survation(unpublished),6 May 2015,-1,37.0,31.0,10.0,11.0,5.0,1045
SurveyMonkey,6 May 2015,-1,34.0,28.0,7.0,13.0,8.0,18131
Lord Ashcroft,6 May 2015,-1,33.0,33.0,10.0,11.0,6.0,3028
Ipsos MORI/Evening Standard,6 May 2015,-1,36.0,35.0,8.0,11.0,5.0,1186
YouGov/The Sun,6 May 2015,-1,34.0,34.0,10.0,12.0,4.0,10307
"ComRes/Daily Mail, ITV News Archived 18 May 2015 at the Wayback Machine",6 May 2015,-1,35.0,34.0,9.0,12.0,4.0,1007
Survation/Daily Mirror,6 May 2015,-1,31.0,31.0,10.0,16.0,5.0,4088
ICM/The Guardian,6 May 2015,-1,34.0,35.0,9.0,11.0,4.0,2023
ICM/The Guardian,6 May 2015,-1,35.0,35.0,9.0,11.0,3.0,1560
Panelbase Archived 18 May 2015 at the Wayback Machine,6 May 2015,-1,31.0,33.0,8.0,16.0,5.0,3019
Opinium,5 May 2015,-2,35.0,34.0,8.0,12.0,6.0,2960
YouGov/The Sun,5 May 2015,-2,34.0,34.0,9.0,12.0,5.0,2148
Survation/Daily Mirror,5 May 2015,-2,33.0,34.0,9.0,16.0,4.0,1504
"ComRes/Daily Mail, ITV News Archived 22 October 2015 at the Wayback Machine",5 May 2015,-2,35.0,32.0,9.0,14.0,4.0,1011
"BMG/May2015.com, New Statesman",5 May 2015,-2,34.0,34.0,10.0,12.0,4.0,1009
YouGov/The Sun,4 May 2015,-3,33.0,33.0,10.0,12.0,5.0,1664
TNS,4 May 2015,-3,33.0,32.0,8.0,14.0,6.0,1185
YouGov/The Sun,3 May 2015,-4,34.0,33.0,9.0,12.0,5.0,1789
Lord Ashcroft,3 May 2015,-4,32.0,30.0,11.0,12.0,7.0,1001
Populus,3 May 2015,-4,34.0,34.0,10.0,13.0,5.0,2054
YouGov/Sunday Times,2 May 2015,-5,34.0,33.0,8.0,13.0,5.0,1967
Survation/Mail on Sunday,2 May 2015,-5,31.0,34.0,8.0,17.0,4.0,2128
YouGov/The Sun,1 May 2015,-6,33.0,34.0,8.0,14.0,5.0,1575
Survation/Daily Mirror,1 May 2015,-6,33.0,34.0,9.0,16.0,3.0,1117
"Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;
30 Apr,YouGov/Sun on Sunday,1970,34%,35%,9%,12%,5%,6%,1%
30 Apr,Populus,2016,33%,33%,9%,15%,4%,5%,Tie
30 Apr,YouGov/The Sun,1",30 Apr 2015,-7,34.0,35.0,8.0,12.0,5.0,729
Panelbase,30 Apr 2015,-7,32.0,34.0,8.0,17.0,4.0,1020
"ComRes/Independent on Sunday, Sunday Mirror Archived 14 May 2015 at the Wayback Machine",30 Apr 2015,-7,33.0,33.0,8.0,13.0,7.0,1002
Opinium/The Observer,30 Apr 2015,-7,35.0,34.0,8.0,13.0,5.0,1956
YouGov/The Sun,29 Apr 2015,-8,35.0,34.0,9.0,12.0,4.0,1823
Ipsos MORI/Evening Standard,29 Apr 2015,-8,35.0,30.0,8.0,10.0,8.0,1010
"ComRes/ITV News, Daily Mail Archived 18 May 2015 at the Wayback Machine",28 Apr 2015,-9,35.0,35.0,7.0,11.0,6.0,1005
YouGov/The Sun,28 Apr 2015,-9,34.0,35.0,9.0,12.0,4.0,1749
YouGov/The Sun,27 Apr 2015,-10,35.0,34.0,9.0,12.0,5.0,2127
BMG/May2015.com,27 Apr 2015,-10,35.0,32.0,11.0,14.0,3.0,1013
TNS,27 Apr 2015,-10,34.0,33.0,7.0,15.0,5.0,1186
YouGov/The Sun,26 Apr 2015,-11,33.0,34.0,8.0,14.0,5.0,2096
Lord Ashcroft,26 Apr 2015,-11,36.0,30.0,9.0,11.0,7.0,1003
ICM/The Guardian,26 Apr 2015,-11,35.0,32.0,9.0,13.0,5.0,1004
Populus,26 Apr 2015,-11,33.0,36.0,8.0,14.0,5.0,2072
YouGov/Sunday Times,25 Apr 2015,-12,32.0,34.0,9.0,14.0,6.0,2271
Survation/Mail on Sunday,25 Apr 2015,-12,33.0,30.0,9.0,18.0,4.0,1004
YouGov/The Sun,24 Apr 2015,-13,33.0,35.0,8.0,13.0,6.0,1594
Opinium/The Observer,24 Apr 2015,-13,34.0,33.0,9.0,13.0,6.0,1964
