Polling firm,Date,T-Days,Con,Lab,UKIP,Lib Dem,SNP,Green,Sample size
Ipsos MORI/Evening Standard,7 Jun 2017,-1,44.0,36.0,4.0,7.0,5.0,2.0,1291
BMG/The Herald,7 Jun 2017,-1,46.0,33.0,5.0,8.0,4.0,3.0,1199
Survation,7 Jun 2017,-1,41.0,40.0,2.0,8.0,4.0,2.0,2798
ICM/The Guardian,7 Jun 2017,-1,46.0,34.0,5.0,7.0,5.0,2.0,1532
YouGov/The Times,7 Jun 2017,-1,42.0,35.0,5.0,10.0,5.0,2.0,2130
ComRes/Independent,7 Jun 2017,-1,44.0,34.0,5.0,9.0,4.0,2.0,2051
Qriously/Wired,7 Jun 2017,-1,39.0,41.0,4.0,6.0,3.0,7.0,2213
Panelbase,7 Jun 2017,-1,44.0,36.0,5.0,7.0,4.0,2.0,3018
Kantar Public Archived 11 June 2017 at the Wayback Machine,7 Jun 2017,-1,43.0,38.0,4.0,7.0,4.0,2.0,2159
Opinium,6 Jun 2017,-2,43.0,36.0,5.0,8.0,5.0,2.0,3002
ICM/The Guardian,4 Jun 2017,-4,45.0,34.0,5.0,8.0,4.0,3.0,2000
Survation/Mail on Sunday,3 Jun 2017,-5,40.0,39.0,5.0,8.0,4.0,5.0,1049
Survation/Good Morning Britain,3 Jun 2017,-5,41.0,40.0,3.0,6.0,4.0,1.0,1103
YouGov/Sunday Times,2 Jun 2017,-6,42.0,38.0,4.0,9.0,4.0,2.0,1989
ICM/The Sun on Sunday,2 Jun 2017,-6,45.0,34.0,5.0,9.0,4.0,3.0,2051
"ComRes/Sunday Mirror, Independent on Sunday",2 Jun 2017,-6,47.0,35.0,4.0,8.0,3.0,1.0,2038
ORB/Telegraph,1 Jun 2017,-7,45.0,36.0,4.0,8.0,7.0,7.0,1656
Ipsos MORI/Evening Standard,1 Jun 2017,-7,45.0,40.0,2.0,7.0,3.0,2.0,1046
Panelbase,1 Jun 2017,-7,44.0,36.0,5.0,7.0,5.0,2.0,1224
Opinium/Observer,31 May 2017,-8,43.0,37.0,5.0,6.0,5.0,2.0,2006
YouGov/The Times,31 May 2017,-8,42.0,39.0,4.0,7.0,4.0,2.0,1875
Kantar Public Archived 14 August 2017 at the Wayback Machine,30 May 2017,-9,43.0,33.0,4.0,11.0,4.0,3.0,1199
ICM/The Guardian,29 May 2017,-10,45.0,33.0,5.0,8.0,4.0,3.0,2002
Qriously,29 May 2017,-10,43.0,39.0,5.0,6.0,3.0,2.0,1153
Survation/Good Morning Britain,27 May 2017,-12,43.0,37.0,4.0,8.0,2.0,1.0,1009
