Polling firm,Date,T-Days,Con,Lab,Lib Dem,SNP,Green,Brexit,UKIP,Sample size
ICM Research/Reuters,9 Dec 2019,-3,42.0,36.0,12.0,3.0,2.0,3.0,0.0,2011
Deltapoll/The Mail on Sunday,7 Dec 2019,-5,44.0,33.0,11.0,4.0,2.0,3.0,1.0,1533
BMG/The Independent,6 Dec 2019,-6,41.0,32.0,14.0,3.0,4.0,4.0,0.0,1542
Deltapoll/The Mail on Sunday,30 Nov 2019,-12,45.0,32.0,15.0,3.0,1.0,3.0,0.0,1528
BMG/The Independent,29 Nov 2019,-13,39.0,33.0,13.0,4.0,5.0,4.0,0.0,1663
ICM Research,25 Nov 2019,-17,41.0,34.0,13.0,3.0,3.0,4.0,0.0,2004
Deltapoll/The Mail on Sunday,16 Nov 2019,-26,45.0,30.0,11.0,3.0,2.0,6.0,2.0,1526
Kantar Archived 13 November 2019 at the Wayback Machine,11 Nov 2019,-31,37.0,27.0,17.0,3.0,3.0,9.0,1.0,1165
Deltapoll/The Mail on Sunday,9 Nov 2019,-33,41.0,29.0,16.0,3.0,2.0,6.0,1.0,1518
ComRes/Remain United,5 Nov 2019,-37,36.0,29.0,17.0,4.0,3.0,11.0,0.0,6097
YouGov/The Times,4 Nov 2019,-38,38.0,25.0,16.0,4.0,5.0,11.0,0.0,3284
ICM Research/Reuters,4 Nov 2019,-38,38.0,31.0,15.0,3.0,3.0,9.0,1.0,2047
Deltapoll/The Mail on Sunday,2 Nov 2019,-40,40.0,28.0,14.0,3.0,2.0,11.0,1.0,1500
Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,1 Nov 2019,-41,42.0,26.0,16.0,4.0,2.0,9.0,0.0,2004
YouGov/The Sunday Times,1 Nov 2019,-41,39.0,27.0,16.0,5.0,4.0,7.0,0.0,1834
ComRes/Sunday Express,31 Oct 2019,-42,36.0,28.0,17.0,4.0,3.0,10.0,0.0,2032
ORB/The Sunday Telegraph Archived 3 November 2019 at the Wayback Machine,31 Oct 2019,-42,36.0,28.0,14.0,5.0,4.0,12.0,0.0,2025
Panelbase,31 Oct 2019,-42,40.0,29.0,14.0,3.0,3.0,9.0,0.0,1008
YouGov/The Times,30 Oct 2019,-43,36.0,21.0,18.0,4.0,6.0,13.0,0.0,1750
Survation/Daily Mail,30 Oct 2019,-43,34.0,26.0,19.0,4.0,1.0,12.0,0.0,1010
Ipsos MORI/Evening Standard,28 Oct 2019,-45,41.0,24.0,20.0,4.0,3.0,7.0,0.0,1007
YouGov,28 Oct 2019,-45,36.0,22.0,19.0,4.0,6.0,12.0,0.0,11590
YouGov/The Times,25 Oct 2019,-48,36.0,23.0,18.0,4.0,6.0,12.0,0.0,1672
Opinium/The Observer Archived 19 December 2019 at the Wayback Machine,25 Oct 2019,-48,40.0,24.0,15.0,5.0,3.0,10.0,1.0,2001
YouGov/The Times,21 Oct 2019,-52,37.0,22.0,19.0,3.0,7.0,11.0,1.0,1689
Deltapoll,21 Oct 2019,-52,37.0,24.0,19.0,4.0,3.0,11.0,1.0,2017
Panelbase,18 Oct 2019,-55,36.0,27.0,17.0,4.0,3.0,11.0,0.0,1008
Survation/Daily Mail,18 Oct 2019,-55,32.0,24.0,21.0,4.0,2.0,13.0,0.0,1025
ComRes/Britain Elects,17 Oct 2019,-56,33.0,29.0,18.0,4.0,4.0,12.0,0.0,2067
Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,17 Oct 2019,-56,37.0,24.0,16.0,4.0,4.0,12.0,2.0,2001
YouGov/The Times,15 Oct 2019,-58,37.0,22.0,18.0,4.0,5.0,11.0,1.0,1625
Kantar[permanent dead link],15 Oct 2019,-58,39.0,25.0,18.0,3.0,3.0,8.0,1.0,1184
Panelbase/The Sunday Times,11 Oct 2019,-62,33.0,30.0,17.0,4.0,3.0,12.0,0.0,2013
