Date,Polling firm,Sample size,NDP,UCP,Liberal,Alberta,Freedom Conservative,Lead
15 April 2019,Forum Research,"1,140",34.6%,50.6%,2.2%,10.9%,,16%
15 April 2019,Research Co.,602,39%,49%,2%,9%,,10%
14 April 2019,Mainstreet Research,"1,288",40.1%,47.5%,2.1%,7.9%,1.1%,7.4%
14 April 2019,Pollara Insights,"1,005",39%,45%,3%,8%,1%,6%
14 April 2019,Ipsos,"1,202",40%,50%,1%,7%,,10%
13 April 2019,Nanos Research,500,36.4%,44.3%,3.2%,12.0%,2.2%,7.9%
13 April 2019,Leger,"1,505",36%,50%,3%,8%,,14%
10 April 2019,Pollara Insights,"1,005",38%,45%,4%,8%,2%,7%
8 April 2019,Angus Reid,807,39%,52%,1%,6%,,13%
8 April 2019,Ipsos,800,39%,47%,2%,10%,,8%
8 April 2019,Innovative Research,506,31%,44%,7%,11%,,13%
6 April 2019,ThinkHQ,"1,139",40%,46%,2%,8%,1%,6%
5 April 2019,Mainstreet Research,876,38%,50.5%,2%,5.8%,1.7%,12.5%
5 April 2019,Forum Research,"1,132",32%,55%,1%,7%,,23%
3 April 2019,Leger,"1,003",38%,47%,4%,9%,,9%
1 April 2019,Research Co.,600,40%,45%,3%,6%,,5%
30 March 2019,Janet Brown Opinion Research,900,34%,53%,4%,8%,,19%
26 March 2019,EKOS,"1,015",42%,46%,2%,6%,3%,4%
19 March 2019,Mainstreet Research,"1,160",37.1%,50.7%,2.8%,4.3%,2.5%,13.6%
18 March 2019,Angus Reid,812,31%,56%,2%,5%,3%,25%
17 March 2019,Ipsos,900,35%,52%,5%,6%,,17%
17 March 2019,ThinkHQ,"1,196",38%,49%,3%,8%,,11%
12 March 2019,Leger,"1,001",35%,47%,6%,9%,,12%
25 February 2019,EKOS,"1,028",37%,50%,3%,5%,3%,13%
5 February 2019,Lethbridge College,"1,055",23.2%,57.8%,5.1%,7.0%,2.8%,34.6%
16 January 2019,Mainstreet Research,893,27.8%,52.3%,6.1%,7.7%,2.4%,24.5%
26 November 2018,ThinkHQ,"1,102",35%,50%,5%,9%,,15%
3 November 2018,Mainstreet Research,896,29.1%,54.3%,5.2%,5.5%,2.5%,24.9%
27 October 2018,Abacus Data,800,33%,48%,8%,8%,,15%
4 October 2018,Lethbridge College,"1,364",24.8%,48.6%,11.3%,8.4%,,24.6%
17 July 2018,Mainstreet Research,936,32.5%,52.1%,4.8%,5.4%,,19.6%
12 June 2018,Leger,999,33%,47%,7%,9%,,14%
18 April 2018,Mainstreet Research,"1,071",35.4%,48.6%,6.2%,5.1%,,13.2%
5 April 2018,Trend Research / Janet Brown Opinion Research,"1,200",29%,53%,6%,11%,,24%
4 February 2018,ThinkHQ,"1,185",32%,51%,5%,10%,,19%
6 January 2018,Mainstreet Research,956,27.3%,55.9%,6.7%,7.0%,,28.6%
24 November 2017,Insights West,701,33%,47%,10%,7%,,14%
13 November 2017,ThinkHQ,"1,314",30%,54%,5%,9%,,24%
5 October 2017,Lethbridge College,"1,481",19.3%,55.8%,12.8%,5.8%,,36.5%
20 August 2017,ThinkHQ,"1,136",31%,53%,7%,7%,,22%
28 July 2017,Mainstreet Research,"2,100",29%,57%,4%,9%,,28%
