Polling firm,Date,Source,Lib,NDP,Grn,Con,Oth,Type of poll,Sample size
Forum Research,"May 8, 2017",,39,41,17,,3,IVR,"1,076"
Insights West,"May 8, 2017",,41,41,17,,2,Online,801
Justason Market Intelligence,"May 7, 2017",,38,36,23,,3,IVR/online,"1,447"
Mainstreet Research,"May 6, 2017",,39,40,20,,,IVR,"1,650"
Ipsos Reid,"May 6, 2017",,39,40,17,,4,Online/telephone,"1,404"
Angus Reid,"May 3, 2017",,40,41,15,,4,Online,"1,007"
Justason Market Intelligence,"May 2, 2017",,39,34,23,,4,IVR/online,"2,116"
Mainstreet Research,"May 1, 2017",,37,42,21,,,IVR,"1,650"
Innovative Research,"May 1, 2017",,38,35,17,8,2,Online,500
Ipsos Reid,"April 30, 2017",,43,41,14,,3,Online,834
Innovative Research,"April 30, 2017",,38,33,20,6,3,Telephone,600
Forum Research,"April 29, 2017",,29,37,24,7,3,IVR,"1,067"
Justason Market Intelligence,"April 28, 2017",,38,37,21,,4,Online,"1,127"
Innovative Research,"April 23, 2017",,42,32,16,9,1,Online,"1,000"
Mainstreet Research,"April 22, 2017",,34,44,22,,,IVR,"1,650"
Justason Market Intelligence,"April 20, 2017",,36,39,19,,5,Online,"1,128"
Mainstreet Research,"April 14, 2017",,37,39,21,3,,IVR,"1,650"
Mainstreet Research,"April 10, 2017",,35,39,19,7,,IVR,"5,506"
Ipsos Reid,"April 9, 2017",,39,44,12,4,1,Online/telephone,"1,388"
Forum Research,"April 8, 2017",,29,39,18,12,3,IVR,"1,040"
Insights West,"April 8, 2017",,38,40,17,3,2,Online,801
Mainstreet Research,"April 3, 2017",,33,36,19,11,,IVR,"1,650"
Mainstreet Research,"March 27, 2017",,34,36,19,11,,IVR,"1,650"
Mainstreet Research,"March 20, 2017",,34,38,17,11,,IVR,"1,500"
Mainstreet Research,"March 12, 2017",,36,40,13,11,,IVR,"2,109"
Mainstreet Research,"March 5, 2017",,35,39,13,13,,IVR,"2,191"
Forum Research,"March 1, 2017",,32,36,15,14,3,IVR,"1,056"
Mainstreet Research,"February 26, 2017",,33,38,15,13,,IVR,"2,352"
Insights West,"February 26, 2017",,40,41,11,5,3,Online,801
Forum Research,"February 23, 2017",,28,39,14,15,3,IVR,"1,061"
Mainstreet Research,"February 19, 2017",,37,37,17,10,,IVR,"2,188"
Insights West,"November 21, 2016",,39,40,14,5,2,Online,806
Mainstreet Research,"September 8, 2016",,33,38,16,14,,IVR,"2,207"
Innovative Research,"August 14, 2016",,38,29,16,15,1,Telephone,600
Ipsos Reid,"May 9, 2016",,42,36,10,11,1,Online,803
Insights West,"May 5, 2016",,34,40,14,10,2,Online,801
Insights West,"November 14, 2015",,34,39,16,7,4,Online,812
Insights West,"May 19, 2015",,37,43,10,6,4,Online,801
Ipsos Reid,"May 12, 2015",,41,44,8,7,2,Online,804
Insights West,"December 6, 2014",,36,40,14,8,2,Online,805
McAllister Opinion Research,"July 29, 2014",,36.0,36.3,17.5,9.1,1.0,Online,"1,704"
Insights West,"May 10, 2014",,38,39,14,8,1,Online,824
Justason Market Intelligence,"January 19, 2014",,37,35,19,7,1,Telephone/online,600
Insights West,"December 3, 2013",,40,36,14,6,3,Online,866
