Polling firm,Date,"Sample size",Abs.,Union,SPD,Linke,Grune,FDP,AfD,Others,Lead
INSA,21–22 Sep 2017,"2,000",–,34,21,11,8,9,13,4,13
Forschungsgruppe Wahlen,20–21 Sep 2017,"1,725",–,36,21.5,8.5,8,10,11,5,14.5
Forsa,18–21 Sep 2017,"2,006",–,36,22,9.5,7,9.5,11,5,14
Emnid,14–21 Sep 2017,"1,994",–,35,22,10,8,9,11,5,13
GMS,14–20 Sep 2017,"1,004",–,37,22,9,8,9,10,5,15
YouGov,15–19 Sep 2017,"1,862",–,36,23,10,7,9,10,5,13
INSA,15–18 Sep 2017,"2,042",–,36,22,11,7,9,11,4,14
Forsa,11–15 Sep 2017,"2,501",–,36,23,10,8,9,9,5,13
Forschungsgruppe Wahlen,12–14 Sep 2017,"1,383",–,36,23,9,8,10,10,4,13
Allensbach,6–14 Sep 2017,"1,083",–,36.5,22,9,8,11,10,3.5,14.5
Infratest dimap,12–13 Sep 2017,"1,503",–,37,20,9,7.5,9.5,12,5,17
Emnid,7–13 Sep 2017,"1,888",–,36,22,10,8,9,11,4,14
Trend Research,10–12 Sep 2017,"1,042",–,36,22,10,7,9,11,4,14
YouGov,8–12 Sep 2017,"1,600",–,36,23,10,8,9,10,4,13
INSA,8–11 Sep 2017,"2,054",–,36.5,23.5,10.5,6,9,11,3.5,13
Forsa,4–8 Sep 2017,"2,505",26,37,23,10,8,8,9,5,14
Forschungsgruppe Wahlen,5–7 Sep 2017,"1,378",–,38,22,9,8,9,9,5,16
Forsa,4–7 Sep 2017,"2,001",–,37,23,10,8,9,9,4,14
Infratest dimap,4–6 Sep 2017,"1,503",–,37,21,10,8,9,11,4,16
YouGov,4–6 Sep 2017,"1,617",–,34,24,9,7,9,11,6,10
Trend Research,3–6 Sep 2017,"1,045",–,37,24,10,7,8,10,5,13
Emnid,31 Aug–6 Sep 2017,"1,869",–,37,24,9,8,8,9,5,13
GMS,31 Aug–6 Sep 2017,"1,012",–,38,22,9,9,10,8,4,16
INSA,1–4 Sep 2017,"2,048",–,36.5,23.5,10,6.5,8.5,10.5,4.5,13
Forsa,28 Aug–1 Sep 2017,"2,503",28,38,23,9,8,8,9,5,15
Forschungsgruppe Wahlen,29–31 Aug 2017,"1,309",–,39,22,9,8,10,8,4,17
Allensbach,22–31 Aug 2017,"1,043",–,38.5,24,8,7.5,10,8,4,14.5
Infratest dimap,28–30 Aug 2017,"1,411",–,37,23,9,8,8,11,4,14
Emnid,24–30 Aug 2017,"1,889",–,38,24,9,8,8,8,5,14
YouGov,25–29 Aug 2017,"1,557",–,36,25,10,7,7,10,5,11
INSA,25–28 Aug 2017,"2,034",–,37,24,10,6.5,8,10,4.5,13
Trend Research,24–28 Aug 2017,"1,049",–,38,23,9,6,9,10,5,15
Forsa,21–25 Aug 2017,"2,501",26,38,24,9,7,8,9,5,14
Forschungsgruppe Wahlen,22–24 Aug 2017,"1,283",–,39,22,9,8,9,9,4,17
Infratest dimap,22–23 Aug 2017,"1,035",–,38,22,9,8,9,10,4,16
Emnid,17–23 Aug 2017,"1,979",–,38,23,9,7,9,8,6,15
YouGov,18–22 Aug 2017,"1,520",–,37,25,9,7,8,9,5,12
Forsa,14–18 Aug 2017,"2,501",24,38,24,9,7,8,9,5,14
Allensbach,4–17 Aug 2017,"1,421",–,39.5,24,8,7.5,10,7,4,15.5
INSA,18–21 Aug 2017,"2,036",–,38,24,9,7,9,10,3,14
Emnid,10–16 Aug 2017,"1,426",–,39,24,9,8,8,7,5,15
YouGov,11–15 Aug 2017,"1,538",–,37,25,9,7,9,9,4,12
GMS,8–15 Aug 2017,"1,007",–,40,22,8,8,9,7,6,18
INSA,11–14 Aug 2017,"2,025",–,37,25,9,7,9,10,3,12
Forsa,7–11 Aug 2017,"2,507",26,39,23,9,8,8,8,5,16
Forschungsgruppe Wahlen,8–10 Aug 2017,"1,277",–,40,24,8,8,8,8,4,16
Emnid,3–9 Aug 2017,"1,886",–,38,24,10,7,8,8,5,14
YouGov,4–8 Aug 2017,"1,513",–,38,24,9,6,9,9,5,14
Infratest dimap,4–8 Aug 2017,"1,505",–,39,24,9,8,8,8,4,15
INSA,4–7 Aug 2017,"2,046",–,37,25,10.5,6.5,9,9,3,12
Forsa,31 Jul–4 Aug 2017,"2,503",24,40,23,8,8,7,8,6,17
Emnid,27 Jul–2 Aug 2017,"2,453",–,38,23,10,8,8,8,5,15
YouGov,28 Jul–1 Aug 2017,"2,000",–,37,25,9,7,9,8,5,12
INSA,28–31 Jul 2017,"2,046",–,37,24.5,10,7,9,9.5,3,12.5
Forsa,24–28 Jul 2017,"2,501",23,40,22,8,8,8,8,6,18
Infratest dimap,25–26 Jul 2017,"1,004",–,40,23,8,8,8,9,4,17
Emnid,20–26 Jul 2017,"1,921",–,38,24,9,8,8,9,4,14
YouGov,21–25 Jul 2017,"2,000",–,38,25,9,7,9,8,4,13
INSA,21–24 Jul 2017,"2,009",–,37.5,25,10.5,6.5,8.5,9,3,12.5
Forsa,17–21 Jul 2017,"2,507",23,40,22,9,8,8,7,6,18
Forschungsgruppe Wahlen,18–20 Jul 2017,"1,277",–,40,24,8,8,8,8,4,16
Emnid,13–19 Jul 2017,"2,349",–,38,25,9,8,8,8,4,13
INSA,14–17 Jul 2017,"2,026",–,36,25,9.5,6.5,8.5,10,4.5,11
Forsa,10–14 Jul 2017,"2,502",23,40,22,9,8,8,7,6,18
YouGov,10–12 Jul 2017,"1,535",–,38,24,9,8,9,8,4,14
Emnid,6–12 Jul 2017,"1,263",–,38,25,9,8,7,8,5,13
Allensbach,1–12 Jul 2017,"1,403",–,39.5,25,9,7,9,7,3.5,14.5
Ipsos,7–11 Jul 2017,"1,047",–,39,26,8,7,8,8,4,13
INSA,7–10 Jul 2017,"2,009",–,36,25,9.5,6.5,9,9.5,4.5,11
Forsa,3–7 Jul 2017,"2,501",22,39,22,9,8,8,8,6,17
Forschungsgruppe Wahlen,4–6 Jul 2017,"1,321",–,40,24,9,8,8,7,4,16
Infratest dimap,3–5 Jul 2017,"1,500",–,39,23,9,8,9,9,3,16
Emnid,30 Jun–5 Jul 2017,"1,878",–,38,25,9,8,8,7,5,13
GMS,29 Jun–5 Jul 2017,"1,009",–,39,23,8,9,9,7,5,16
INSA,30 Jun–3 Jul 2017,"2,044",–,36.5,25,10.5,6.5,9,9,3.5,11.5
Forsa,26–30 Jun 2017,"2,503",21,39,23,9,8,8,7,6,16
Forsa,26–28 Jun 2017,"1,507",–,40,23,9,9,8,7,4,17
YouGov,26–28 Jun 2017,"2,000",–,38,25,9,8,8,8,4,13
Ipsos,23–26 Jun 2017,"1,052",–,39,25,8,7,8,9,4,14
INSA,23–26 Jun 2017,"2,056",–,37,26,10,6.5,9,8.5,3,11
Emnid,22–24 Jun 2017,936,–,39,24,9,8,8,7,5,15
Forsa,19–23 Jun 2017,"2,502",22,40,23,9,9,7,7,5,17
Forschungsgruppe Wahlen,20–22 Jun 2017,"1,261",–,39,25,9,8,8,7,4,14
YouGov,19–22 Jun 2017,"1,523",–,36,25,10,8,9,7,5,11
