Polling firm,Date,Sample size,A,O,V,Ø,I,Å,B,F,C,K,D,E,P,Other,Lead,Blue,Red
Epinion,4 Jun 2019,"2,414",25.7,9.6,20.7,8.5,2.4,3.4,8.6,8.1,6.2,1.7,2.7,0.5,1.9,,5.0,45.7,54.3
Gallup,4 Jun 2019,"4,841",25.7,10.6,22.3,8.0,2.8,2.9,7.5,7.6,6.1,1.9,2.6,0.7,1.1,0.2,3.4,48.1,51.7
Voxmeter,4 Jun 2019,"1,003",29.3,10.1,18.2,8.5,3.3,2.8,8.9,8.8,4.5,1.6,1.8,0.4,1.3,0.0,11.1,41.2,58.8
YouGov,31 May–4 Jun 2019,"1,075",27.3,11.3,18.6,8.2,3.2,2.7,7.6,6.9,4.6,1.7,4.7,0.2,3.0,0.0,8.7,47.2,52.8
Norstat,3 Jun 2019,"1,204",28.6,10.5,17.9,8.7,3.6,2.6,7.3,7.4,4.5,1.9,4.1,0.2,2.2,0.5,10.5,44.9,54.6
Voxmeter,3 Jun 2019,"1,006",29.7,9.9,17.7,9.1,2.8,2.9,8.8,8.7,4.6,1.9,2.1,0.4,1.2,0.2,12.0,40.6,59.2
Greens,3 Jun 2019,"1,162",26.2,10.5,18.7,8.3,2.8,4.0,6.5,8.4,5.2,2.0,3.3,0.5,2.8,0.8,7.5,45.8,53.4
YouGov,30 May–3 Jun 2019,855,28.2,10.6,19.3,9.5,3.6,3.0,6.8,5.4,4.8,1.7,4.0,0.2,3.1,0.0,9.9,47.2,52.8
Voxmeter,2 Jun 2019,"1,006",28.3,10.7,17.4,9.5,3.0,2.7,8.4,8.3,5.0,1.8,2.5,0.3,1.6,0.5,9.9,42.7,57.2
YouGov,29 May–2 Jun 2019,776,29.0,8.3,20.8,9.6,2.2,2.4,7.9,6.0,5.2,1.7,4.1,0.0,2.9,0.0,8.2,45.1,54.9
Voxmeter,1 Jun 2019,"1,005",27.5,11.1,17.8,8.9,3.4,2.9,8.7,7.8,5.2,1.4,2.5,0.3,1.8,0.7,9.8,43.5,55.8
YouGov,28 May–1 Jun 2019,870,28.5,8.5,20.9,8.3,2.8,2.3,8.4,6.7,5.4,1.4,4.3,0.2,2.4,0.0,7.6,45.9,54.1
Voxmeter,31 May 2019,"1,009",27.2,11.6,17.9,8.8,3.2,3.3,8.4,7.6,5.5,1.2,2.2,0.4,2.2,0.5,9.3,44.2,55.3
YouGov,27–31 May 2019,979,26.6,9.0,20.3,8.6,2.9,2.8,8.6,7.6,5.2,1.5,4.2,0.4,2.4,0.0,6.3,45.8,54.2
Voxmeter,30 May 2019,"1,011",27.1,11.1,17.5,8.4,3.0,3.6,8.8,8.0,5.6,1.6,1.7,0.8,2.4,0.4,9.6,43.7,55.9
Epinion,28–30 May 2019,"1,719",26.1,10.6,20.4,8.5,2.7,2.8,7.1,8.9,5.1,1.8,3.1,0.7,2.2,0.0,5.7,46.6,53.4
Megafon,28–30 May 2019,"1,013",25.7,12.1,19.5,8.8,3.5,3.5,8.3,7.3,5.3,1.5,2.2,0.3,1.9,0.1,6.2,46.3,53.6
YouGov,26–30 May 2019,978,28.1,9.5,18.3,8.5,2.6,2.6,8.4,8.9,5.3,1.3,3.5,0.7,2.4,0.0,9.8,43.5,56.5
Voxmeter,29 May 2019,"1,011",27.3,10.4,17.7,8.6,2.8,3.4,9.1,8.4,5.6,1.5,1.4,0.7,2.8,0.3,9.6,42.9,56.8
YouGov,25–29 May 2019,981,26.3,11.3,17.3,8.7,2.6,3.3,8.0,9.0,5.7,0.7,4.3,0.6,2.4,0.0,9.0,44.8,55.2
Gallup,28 May 2019,"1,476",25.7,11.0,20.4,8.6,3.0,2.9,6.8,8.6,6.9,1.4,2.9,0.8,1.6,0.0,5.3,48.0,52.0
Voxmeter,28 May 2019,"1,007",26.6,10.7,18.2,8.3,3.1,3.7,8.7,8.8,5.2,1.6,1.5,0.9,2.5,0.2,8.4,43.7,56.1
YouGov,24–28 May 2019,978,26.3,12.5,16.2,8.8,2.7,3.5,6.9,9.1,6.2,0.9,3.9,0.4,2.6,0.0,10.1,45.5,54.5
Voxmeter,27 May 2019,"1,005",26.4,11.2,18.1,8.7,3.6,3.4,8.8,8.7,4.7,1.1,1.7,0.9,2.4,0.3,8.3,43.7,56.0
Voxmeter,26 May 2019,"1,005",25.9,11.7,17.8,9.0,3.9,3.4,8.5,8.5,4.4,1.3,1.9,0.9,2.3,0.5,8.1,44.2,55.3
Voxmeter,25 May 2019,"1,006",26.5,11.7,17.5,9.4,4.2,3.4,8.5,8.2,3.9,1.5,2.0,0.6,2.1,0.5,9.0,43.5,56.0
YouGov,21–25 May 2019,991,27.6,11.8,16.9,8.1,2.9,2.3,6.6,8.2,6.2,1.1,4.0,0.7,3.6,0.0,10.7,47.2,52.8
Voxmeter,24 May 2019,"1,006",27.1,11.1,18.0,9.0,4.4,3.8,8.2,7.8,3.4,1.8,1.9,0.7,2.3,0.5,9.1,43.6,55.9
Voxmeter,23 May 2019,"1,006",26.6,10.4,18.4,9.3,4.6,4.2,7.9,7.4,3.2,1.6,2.1,0.7,2.8,0.8,8.2,43.8,55.4
YouGov,21–23 May 2019,981,26.8,11.3,17.5,9.4,2.7,2.5,6.2,8.8,5.0,1.2,4.3,1.2,3.2,0.0,9.3,46.3,53.7
