"Polling firm","Date","Sample size",A,V,O,B,F,Ø,C,Å,D,I,K,G,M,Q,Æ,Others,Red,Blue,All parties,Above 2%
Voxmeter,31 Oct 2022,"4,577",24.2,14.0,2.9,4.4,9.7,6.5,6.1,3.6,4.1,7.7,0.7,—,8.5,0.7,6.9,-,49.1,42.4,,
Gallup,31 Oct 2022,"4,483",26.6,13.7,2.9,4.4,8.7,6.3,6.0,3.2,4.3,7.3,0.9,—,8.8,0.3,7.0,–,49.1,42.1,7.0,7.6
Yougov,27–31 Oct 2022,"1,336",27.6,12.9,2.8,3.2,8.5,6.3,6.5,1.9,4.3,6.9,0.2,—,8.0,0.9,10.1,–,48.4,43.7,4.7,2.1
Epinion,27 Oct 2022,"2,538",24.4,13.3,2.4,4.7,8.7,6.3,5.8,2.3,5.2,8.6,0.4,—,8.3,0.7,8.6,–,47.1,44.3,2.8,2.5
Voxmeter,25–27 Oct 2022,"1,001",26.2,12.5,3.0,4.1,9.8,6.0,5.9,2.2,3.7,6.8,0.2,—,10.0,0.8,8.8,0.0,49.1,40.9,8.2,7.6
Yougov,21–25 Oct 2022,"1,261",28.6,10.4,2.6,3.6,8.3,6.7,6.5,2.3,4.3,7.1,0.5,—,9.6,0.7,8.5,–,50.2,39.9,10.3,10.1
Gallup,24 Oct 2022,"1,928",24.4,13.8,2.3,3.7,9.2,8.0,6.2,2.5,3.8,8.3,0.4,—,8.8,0.4,8.1,–,48.2,42.9,5.3,5.3
Voxmeter,22–24 Oct 2022,"1,004",25.0,13.2,1.9,3.8,9.6,6.5,6.0,1.7,4.2,7.3,0.6,—,11.5,0.6,8.1,0.0,47.2,41.3,5.9,6.1
Voxmeter,19–21 Oct 2022,942,25.7,14.2,2.4,4.7,9.1,6.8,6.7,2.2,3.8,7.5,0.5,—,8.8,0.5,6.8,0.3,49.0,41.9,7.1,7.1
Epinion,20 Oct 2022,"2,568",24.3,12.7,2.4,4.3,8.0,7.1,7.0,2.2,4.9,7.0,0.6,—,9.8,0.8,8.6,–,46.7,43.2,3.5,3.3
Gallup,18 Oct 2022,"1,989",27.7,14.5,2.7,4.5,8.9,6.9,7.1,1.5,4.8,6.7,0.7,—,7.3,0.7,5.9,–,50.2,42.4,7.8,6.3
Voxmeter,16–18 Oct 2022,"1,008",25.0,14.7,1.8,5.3,9.1,7.4,7.7,1.6,3.9,5.7,0.6,—,9.2,0.5,7.4,0.1,48.9,41.8,7.1,7.4
Yougov,15–18 Oct 2022,"1,343",30.3,10.6,2.8,3.1,7.2,5.3,8.0,2.3,5.1,6.8,0.5,—,7.9,1.6,8.3,–,49.8,42.1,7.7,6.6
Voxmeter,13–15 Oct 2022,"1,019",26.1,14.4,2.6,4.8,8.7,6.6,8.9,1.9,4.5,6.1,0.9,—,6.1,0.4,7.9,0.1,48.5,45.3,3.2,1.8
Epinion,13 Oct 2022,"2,645",25.9,12.9,2.3,4.9,8.3,6.5,8.6,2.4,5.9,5.8,0.4,—,6.9,0.7,8.0,–,48.7,43.9,4.8,4.5
