Polling firm,Date,Source,PC,NDP,Liberal,Green,Others,Margin of error,Sample size,Polling method,Lead
Forum Research,"Oct 2, 2023",,41.3%,44.7%,12.3%,0.9%,0.8%,3.3%,910,IVR,3.4%
Research Co.,"Oct 2, 2023",,39%,48%,10%,2%,1%,4%,600,Online,9%
Mainstreet Research,"Oct 1, 2023",,41%,47%,10%,1%,1%,3.7%,698,Smart IVR,6%
Sovereign North Strategies,"Sep 19, 2023",,42.5%,39.4%,15.9%,2.2%,N/A,3.9%,852,Telephone,3.1%
Angus Reid,"Sep 19, 2023",,41%,47%,9%,2%,1%,4%,990,Online,6%
Probe Research,"Sep 18, 2023",,38%,49%,9%,2%,2%,3.1%,"1,000",Online,11%
Research Co.,"Sep 17, 2023",,39%,41%,14%,3%,2%,4%,600,Online,2%
Counsel Public Affairs,"Sep 16, 2023",,39%,44%,13%,2%,2%,4%,505,Online,5%
Mainstreet Research,"Sep 2, 2023",,43%,42%,9%,3%,3%,4%,601,Smart IVR,1%
Mainstreet Research,"Jul 28, 2023",,42%,38%,12%,3%,4%,4%,597,Smart IVR,4%
Probe Research,"Jun 13, 2023",,41%,41%,10%,5%,3%,3.1%,"1,000",Online,Tie
Angus Reid,"Jun 3, 2023",,39%,44%,10%,4%,4%,4%,515,Online,5%
Probe Research,"Mar 20, 2023",,38%,44%,9%,4%,4%,3.1%,"1,000",Online,6%
Mainstreet Research,"Jan 26, 2023",,36.2%,41.5%,14.6%,5.1%,2.1%,4.3%,514,Smart IVR,5.3%
Probe Research,"Dec 5, 2022",,35%,46%,13%,3%,2%,3.1%,"1,000",Telephone/Online,11%
Probe Research,"Sep 18, 2022",,37%,44%,15%,3%,1%,3.1%,"1,000",Telephone,7%
Angus Reid,"Jun 13, 2022",,38%,40%,13%,3%,6%,5%,468,Online,2%
Probe Research,"Jun 12, 2022",,35%,45%,13%,3%,4%,3.1%,"1,000",Telephone,10%
Probe Research,"Mar 21, 2022",,34%,44%,15%,2%,5%,3.1%,"1,000",Telephone,10%
Angus Reid,"Mar 15, 2022",,39%,40%,14%,3%,5%,4%,475,Online,1%
Angus Reid,"Jan 12, 2022",,36%,42%,12%,3%,6%,5%,407,Online,6%
Probe Research,"Dec 5, 2021",,37%,42%,12%,4%,5%,3.1%,"1,000",Telephone,5%
Innovative Research,"Oct 5, 2021",,41%,32%,18%,5%,3%,N/A,678,Online,9%
Angus Reid,"Oct 3, 2021",,38%,43%,11%,4%,5%,N/A,435,Online,5%
Probe Research,"Sep 20, 2021",,35%,42%,12%,3%,8%,3.1%,"1,000",Telephone,7%
Probe Research,"Jun 11, 2021",,29%,47%,14%,5%,5%,3.1%,"1,000",Telephone,18%
Angus Reid,"Jun 7, 2021",,39%,42%,11%,4%,4%,4.0%,504,Online,3%
Probe Research,"Mar 26, 2021",,36%,42%,11%,7%,4%,3.1%,"1,000",Telephone,6%
Probe Research,"Dec 4, 2020",,37%,41%,14%,6%,3%,3.1%,"1,000",Telephone,4%
Angus Reid,"Nov 30, 2020",,39%,40%,12%,5%,4%,4.8%,420,Online,1%
Probe Research,"Sep 17, 2020",,43%,34%,16%,5%,3%,3.1%,"1,000",Telephone,9%
EKOS,"Aug 26, 2020",,44%,31%,12%,9%,4%,2.9%,"1,154",HD-IVR,13%
EKOS,"Jul 23, 2020",,43%,27%,18%,7%,5%,2.4%,"1,691",HD-IVR,16%
Probe Research,"Jun 11, 2020",,38%,36%,18%,7%,2%,3.1%,"1,000",Telephone,2%
Innovative Research,"Jun 3, 2020",,38%,26%,26%,10%,N/A,N/A,200,Online,12%
Probe Research,"Mar 24, 2020",,43%,33%,14%,8%,2%,3.1%,"1,000",Telephone,10%
Probe Research,"Dec 10, 2019",,42%,36%,13%,8%,2%,3.1%,"1,000",Telephone,6%
