Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead,Red,Blue,Lead
Kantar TNS,4–9 Sep 2017,"2,998",81.8,3.1,5.6,3.9,28.1,10.2,4.6,4.4,23.8,14.6,1.7,4.3,47.0,47.4,0.4
Kantar TNS,5–8 Sep 2017,"2,002",81.9,3.3,5.5,4.0,28.6,10.5,3.9,4.3,23.4,15.2,1.3,5.2,47.9,46.8,1.1
InFact,7 Sep 2017,"2,165",–,3.3,8.1,4.4,28.0,10.7,5.2,4.7,21.5,12.6,1.5,6.5,50.1,44.0,6.1
Opinion Perduco,5–7 Sep 2017,952,82.0,4.9,6.0,5.7,26.4,8.6,2.5,3.4,25.9,15.3,1.3,0.5,45.9,47.1,1.2
Kantar TNS,4–7 Sep 2017,"2,003",81.1,3.0,5.7,3.7,28.1,10.1,4.1,5.0,23.4,15.2,1.8,4.7,46.9,47.7,0.8
Norfakta,5–6 Sep 2017,"1,001",80.0,3.1,5.0,4.5,26.3,10.5,4.2,5.3,25.8,13.8,0.0,0.5,44.9,50.1,5.2
Ipsos MMI,4–6 Sep 2017,971,–,3.5,6.2,4.4,27.2,9.4,4.7,4.2,23.2,15.3,2.1,4.0,46.3,47.4,1.1
Respons Analyse,4–6 Sep 2017,"1,000",–,3.1,7.3,2.7,25.6,9.9,4.5,5.5,24.7,14.3,2.4,0.9,45.9,49.0,3.1
Kantar TNS,1–6 Sep 2017,"2,004",–,2.9,5.7,3.7,27.0,10.3,4.3,4.5,24.8,14.8,2.0,2.2,45.9,48.4,2.5
Kantar TNS,31 Aug–5 Sep 2017,"2,007",79.9,3.6,5.7,3.4,27.5,9.6,4.7,4.4,24.4,14.7,2.0,3.1,46.4,48.2,1.8
InFact,4 Sep 2017,"2,103",–,3.8,5.5,3.9,29.3,10.0,3.9,5.1,23.4,12.8,2.3,5.9,48.6,45.2,3.4
Norstat,31 Aug–4 Sep 2017,"1,421",82.8,3.2,5.9,4.6,25.8,9.6,3.5,4.5,24.2,17.0,1.6,1.6,44.5,49.2,4.7
Kantar TNS,30 Aug–4 Sep 2017,"1,905",–,3.4,5.1,3.8,26.5,10.9,4.8,4.4,24.5,14.3,2.2,2.0,45.9,48.0,2.1
Kantar TNS,29 Aug–1 Sep 2017,"2,008",80.2,3.6,4.8,3.5,26.1,11.0,4.3,3.8,26.1,14.7,2.2,Tie,45.5,48.9,3.4
InFact,31 Aug 2017,"2,032",–,3.1,6.6,4.8,29.0,11.2,3.4,5.5,21.5,13.0,2.0,7.5,49.9,43.4,6.5
Kantar TNS,28–31 Aug 2017,"1,991",80.2,3.3,5.3,3.2,27.1,11.1,3.8,4.1,25.0,14.9,2.4,2.1,46.8,47.8,1.0
Respons Analyse,28–30 Aug 2017,"1,003",–,2.4,6.2,4.7,26.1,8.8,4.9,5.4,23.9,16.6,1.0,2.2,43.5,50.8,7.3
