Polling firm,Date,"Sample size",Resp.,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Lead
Kantar TNS,9–11 Sep 2021,"2,088",–,5.7,8.7,5.1,24.6,12.7,4.5,3.8,19.0,12.3,3.6,5.6
Opinion Perduco,10 Sep 2021,–,–,4.6,7.7,4.8,26.9,14.8,4.5,3.3,18.9,11.9,2.5,8.0
Kantar TNS,8–10 Sep 2021,"2,388",83.6,5.9,9.1,4.9,24.5,13.2,4.4,4.2,19.4,11.3,3.3,5.1
Kantar TNS,7–9 Sep 2021,"2,387",81.4,6.7,9.2,4.7,23.9,12.7,4.8,4.9,19.1,10.9,3.3,4.8
Norfakta,7–8 Sep 2021,"1,003",84.0,5.4,8.2,5.9,24.0,14.8,3.8,3.6,19.1,11.8,3.5,4.9
Ipsos MMI,6–8 Sep 2021,–,–,6.0,11.8,4.3,22.9,12.2,6.1,4.2,17.0,11.8,3.7,5.9
Norstat,4–8 Sep 2021,–,–,4.6,9.0,4.9,24.6,11.6,5.8,3.9,18.8,11.9,4.9,5.8
Respons Analyse,3–8 Sep 2021,"1,000",–,6.0,9.4,4.2,26.6,11.1,3.9,4.5,18.0,12.4,3.9,8.6
Kantar TNS,3–8 Sep 2021,"2,582",–,6.4,9.3,4.7,23.7,13.4,4.6,4.5,19.1,11.2,3.5,4.6
Norstat,31 Aug–8 Sep 2021,"11,500",–,4.9,8.9,4.9,24.7,11.9,4.9,4.2,20.4,12.0,3.1,4.3
Kantar TNS,1–7 Sep 2021,"2,184",–,6.2,8.9,5.0,23.8,13.8,4.8,4.3,18.6,11.1,3.5,5.2
Kantar TNS,1–6 Sep 2021,"1,686",–,5.6,9.5,4.7,23.3,14.0,4.7,4.1,19.4,10.9,3.8,3.9
Norstat,30 Aug–6 Sep 2021,969,–,5.2,8.6,5.4,23.9,14.3,3.6,3.4,18.5,12.4,4.7,5.4
Kantar TNS,25 Aug–3 Sep 2021,"1,388",–,5.4,9.4,4.3,23.4,14.0,4.6,3.6,20.5,10.0,4.9,2.9
Kantar TNS,27 Aug–2 Sep 2021,"1,480",–,5.1,9.5,5.0,23.2,12.4,4.8,4.3,21.2,9.0,5.4,2.0
Respons Analyse,27 Aug–1 Sep 2021,"1,000",81.0,4.6,10.4,4.9,23.2,12.6,5.5,3.6,20.1,11.5,3.6,3.1
Kantar TNS,25–31 Aug 2021,"1,200",–,4.9,9.7,5.0,23.4,11.0,4.8,4.1,21.5,10.7,4.9,1.9
Norstat,23–29 Aug 2021,–,–,5.0,10.6,4.8,23.1,12.2,4.5,4.7,"19,6",11.3,3.9,3.5
Norstat,24–28 Aug 2021,962,–,5.4,10.0,5.8,23.7,12.6,4.9,3.7,19.0,11.5,3.4,4.7
Kantar TNS,23–27 Aug 2021,996,–,7.2,10.2,5.0,22.6,11.5,4.4,3.8,19.2,11.8,4.3,3.4
Kantar TNS,22–25 Aug 2021,–,–,6.3,9.9,5.3,22.4,11.2,4.8,3.7,20.5,10.7,5.2,1.9
Sentio,17–21 Aug 2021,"1,000",–,5.4,8.8,7.2,23.9,13.2,3.8,3.9,19.1,9.8,4.9,4.8
Norstat,16–22 Aug 2021,–,–,4.7,9.5,5.3,26.8,12.8,3.8,3.6,18.9,10.5,4.2,7.9
Kantar TNS,16–20 Aug 2021,992,81.7,5.9,9.5,5.1,22.7,13.0,4.4,3.4,19.7,9.3,7.0,3.0
Respons Analyse,13–18 Aug 2021,"1,001",–,4.7,9.5,5.8,24.9,11.3,5.0,4.2,20.3,11.6,2.7,4.6
Norstat,10–13 Aug 2021,948,–,3.2,7.6,6.7,22.1,17.1,4.1,2.9,21.9,8.6,5.8,0.2
Kantar TNS,9–13 Aug 2021,983,–,5.1,9.3,6.3,22.8,13.7,3.4,5.1,21.2,7.7,5.6,1.6
