Date,Polling firm,Sample size,LAB,NAT,GRN,ACT,TPM,NZF,TOP,NCP,Lead
7–10 Oct 2023,1 News–Verian,"1,001",28,37,14,9,1.7,6,2.3,–,9
5–10 Oct 2023,Newshub–Reid Research,,27.5,34.5,14.9,8.8,2.7,6.8,2.2,–,7
4 Sep – 8 Oct 2023,Roy Morgan,"1,250",26,30.5,15,11.5,3,7.5,3.5,-,4.5
4–8 Oct 2023,Guardian Essential,"1,200",30.3,34,10.6,7.9,1.9,8.2,–,–,3.7
1–4 Oct 2023,Taxpayers' Union-Curia,"1,000",27.9,35.9,10.6,9.1,3.7,6.9,2.9,0.7,8
30 Sep – 3 Oct 2023,1 News–Verian,"1,000",26,36,13,10,2.2,6,1.5,–,10
22–28 Sep 2023,Talbot Mills,"1,027",27,38,13,9,3.1,6.4,2.3,–,11
23–26 Sep 2023,1 News–Verian,"1,002",26,36,13,12,1.9,6,1.3,0.6,10
17–23 Sep 2023,Newshub–Reid Research,,26.5,39.1,14.2,8.8,2.2,5.2,1.9,1.1,12.6
16–19 Sep 2023,1 News–Verian,"1,001",27,37,12,12,2.9,5,1.4,0.1,10
9–12 Sep 2023,1 News–Verian,"1,002",28,39,10,10,2.6,5,1.4,0.8,11
6–10 Sep 2023,Guardian Essential,"1,154",26.9,34.5,11,10.3,2.5,6,–,–,7.6
3–9 Sep 2023,Newshub–Reid Research,,26.8,40.9,12.3,10.1,3.1,4.6,0.7,0.8,14.1
31 Aug – 6 Sep 2023,Taxpayers' Union–Curia,"1,000",26.5,35,12.7,14.3,2.9,3.9,2.7,0.8,8.5
28–30 Aug 2023,The Post–Freshwater Strategy,"1,511",26,36,12,11,3,6,–,–,10
24–30 Aug 2023,Talbot Mills,,30,36,12,10,2.4,5.4,1.5,–,6
31 Jul – 27 Aug 2023,Roy Morgan,"1,046",24,31,12.5,18,4,5.5,2,–,7
25 Aug 2023,Talbot Mills,,32,34,11,10,4,6,–,–,2
12–16 Aug 2023,1 News–Verian,"1,002",29,37,12,13,2.6,3.7,0.6,0.3,8
3–8 Aug 2023,Taxpayers' Union–Curia,"1,000",27.1,34.9,12,13,2.5,5.8,1,0.6,7.8
31 Jul – 7 Aug 2023,Talbot Mills,"1,012",32,35,10,11,3.1,4.4,1.8,–,3
2–6 Aug 2023,Guardian Essential,"1,163",29,34.5,8.5,11.6,2.5,5.3,–,–,5.5
26–31 Jul 2023,Newshub–Reid Research,,32.3,36.6,9.6,12.1,2.7,4.1,1.5,0.7,4.3
26 Jun – 23 Jul 2023,Roy Morgan,937,26,33.5,9,14,6,5,4,–,7.5
8–12 Jul 2023,1 News–Verian,"1,000",33,35,10,12,2.8,3.1,1.7,0.4,2
2–10 Jul 2023,Taxpayers' Union–Curia,"1,000",31.1,33.3,8.9,13.2,5,3.3,0.3,0.4,2.2
28 Jun – 2 Jul 2023,Talbot Mills,"1,036",31,36,8,12,4.2,4,2.9,–,5
29 May – 25 Jun 2023,Roy Morgan,955,30.5,30,9.5,15,7,3,3,–,0.5
30 May – 6 Jun 2023,Talbot Mills,"1,001",36,35,7,11,3.65,2.9,–,–,1
31 May – 6 Jun 2023,Taxpayers' Union–Curia,"1,000",32.9,35.7,9.7,12.7,3.5,1.6,0.8,1.3,2.8
20–24 May 2023,1 News–Kantar Public,"1,002",35,37,7,11,2.4,3,1.4,0.6,2
24 Apr – 21 May 2023,Roy Morgan,952,31,31.5,12,13.5,4.5,3.5,2,0.5,0.5
12–17 May 2023,Horizon Research,"1,563",34.4,26.5,9.5,12.3,4.3,5.3,2.8,1.4,7.9
5–11 May 2023,Newshub–Reid Research,,35.9,35.3,8.1,10.8,3.5,3,2,–,0.6
2–7 May 2023,Taxpayers' Union–Curia,"1,000",33.8,35.6,7,12.7,3.7,2.6,1.7,1.6,1.8
27 Apr – 3 May 2023,Talbot Mills,"1,046",33,36,9,10,4.1,3.4,1.8,–,3
27 Mar – 23 Apr 2023,Roy Morgan,929,30,32,12,12.5,4.5,4.5,2,0.5,2
2–5 Apr 2023,Taxpayers' Union–Curia,"1,000",36.9,36.5,6.7,9.5,2.9,2.6,0.8,1.7,0.4
30 Mar – 5 Apr 2023,Talbot Mills,,36,36,9,10,1.9,3.9,0.8,–,Tie
27 Feb – 26 Mar 2023,Roy Morgan,943,33,32,10.5,13,2,3,3.5,1,1
1–9 Mar 2023,Talbot Mills,"1,021",37,34,8,12,3.2,2.9,1.5,–,3
4–8 Mar 2023,1 News–Kantar Public,"1,002",36,34,11,11,2.6,3.1,1,0.5,2
2–7 Mar 2023,Taxpayers' Union–Curia,"1,000",35.5,34.8,5.7,9.3,1.4,4.2,1.7,2.5,0.7
30 Jan – 26 Feb 2023,Roy Morgan,943,33,32,12.5,13.5,3.5,2,2.5,0.5,1
2–9 Feb 2023,Taxpayers' Union–Curia,"1,000",34.4,34.4,7.8,11.7,2.1,2.9,2,0.8,Tie
26–31 Jan 2023,Talbot Mills,,33,36,11,10,3,3.4,2.3,–,3
9–29 Jan 2023,Roy Morgan,948,30,32,12,13.5,4.5,5,1.5,0.5,2
25–29 Jan 2023,1 News–Kantar Public,"1,008",38,37,7,10,1.4,2.2,1.1,0.6,1
23–28 Jan 2023,Horizon Research,"1,147",35.5,27.7,9,13,4.6,4.5,1.6,1.1,7.8
22–27 Jan 2023,Newshub–Reid Research,,38,36.6,8.1,10.7,1.8,2.2,1.5,–,1.4
10–16 Jan 2023,Taxpayers' Union–Curia,"1,000",31.7,37.2,10.6,10.8,1.6,2.8,–,–,5.5
1 Dec 2022,Roy Morgan,947,27.5,35,11,14.5,4,4,2.5,1,7.5
1–6 Dec 2022,Taxpayers' Union–Curia,"1,000",33.1,39.4,8.1,10.4,3.5,2.9,–,–,6.3
1 Dec 2022,Talbot Mills,,32,35,9,11,3.5,4.3,2.4,–,3
26–30 Nov 2022,1 News–Kantar Public,"1,011",33,38,9,11,2,3.6,1.7,0.6,5
31 Oct – 27 Nov 2022,Roy Morgan,926,25.5,39,12,11,4,3.5,2.5,0.5,13.5
3–8 Nov 2022,Taxpayers' Union–Curia,"1,000",35.3,37.6,7.8,9.9,1.6,3.8,2.1,0.9,2.3
31 Oct – 7 Nov 2022,Talbot Mills,,34,35,9,10,3.2,4.4,2,–,1
25 Oct – 3 Nov 2022,Newshub–Reid Research,,32.3,40.7,9.5,10,1.9,3.3,1.2,–,8.4
