Polling firm,Date,Link,Liberal,PC,NDP,Green,Type of poll,Margin of error
Angus Reid,"October 5, 2011",PDF,37,33,26,3,Online,3.6%
EKOS,"October 5, 2011",PDF,37.7,31.5,23.3,5.9,Interactive voice response,2.0%
Forum Research,"October 4, 2011",HTML,37,36,23,3,Interactive voice response,3.1%
Angus Reid,"October 4, 2011",PDF,33,36,26,5,Online,2.1%
Abacus Data,"October 4, 2011",HTML,37,34,24,4,Online,3.1%
EKOS,"October 4, 2011",PDF,39.0,29.7,23.1,6.6,Interactive voice response,2.2%
Nanos Research,"October 3, 2011",PDF,40.1,33.0,23.2,2.8,Telephone,4.2%
EKOS,"October 3, 2011",PDF,39.1,29.1,24.5,6.0,Interactive voice response,2.9%
Nanos Research,"October 3, 2011",PDF,37.7,33.2,25.8,2.1,Telephone,3.4%
Ipsos Reid,"October 3, 2011",PDF,41,31,25,3,Telephone,3.1%
Nanos Research,"October 2, 2011",PDF,35.9,36.4,25.7,1.2,Telephone,3.5%
EKOS,"October 2, 2011",PDF,37.8,30.6,22.7,7.3,Interactive voice response,2.8%
Nanos Research,"October 1, 2011",PDF,36.5,34,26.8,1.9,Telephone,3.5%
Nanos Research,"September 30, 2011",PDF,38.0,35.3,24.6,1.8,Telephone,3.5%
Angus Reid,"September 30, 2011",PDF,33,34,26,6,Online,3.1%
Leger Marketing,"September 29, 2011",PDF[permanent dead link],32,34,29,5,Online,3.1%
Nanos Research,"September 29, 2011",PDF,37.7,34.4,25.5,2.0,Telephone,4.3%
Environics,"September 28, 2011",HTML,35,36,25,3,Online,
Abacus Data,"September 25, 2011",PDF,33,37,23,6,Online,2.9%
EKOS,"September 25, 2011",PDF,34.9,31.4,24.7,7.6,Interactive voice response,2.3%
Forum Research,"September 23, 2011",HTML,35,35,23,5,Interactive voice response,0.5%
Angus Reid,"September 15, 2011",HTML,32,36,26,6,Online,3.1%
Leger Marketing,"September 15, 2011",PDF[permanent dead link],33,36,26,5,Online,3.1%
Abacus Data,"September 12, 2011",HTML,32,41,20,6,Online,3.2%
Nanos Research,"September 11, 2011",PDF,38.1,34.7,24.3,2.7,Telephone,4.9%
Ipsos Reid,"September 11, 2011","HTML Archived September 23, 2011, at the Wayback Machine",38,37,24,1,Telephone,3.5%
Harris-Decima,"September 4, 2011",HTML,40,29,24,6,Telephone,3.8%
Nanos Research,"September 1, 2011",PDF,31.9,35.4,22.8,4.1,Telephone,3.1%
Forum Research,"August 30, 2011",HTML,30,35,26,7,Interactive voice response,2.0%
Angus Reid,"August 28, 2011",PDF,31,38,24,6,Online,3.1%
Nanos Research,"August 13, 2011",PDF,37.6,42.1,16.2,3.4,Telephone,3.4%
Ipsos Reid,"August 4, 2011","HTML Archived October 9, 2011, at the Wayback Machine",36,38,23,3,Telephone,4.9%
Forum Research,"July 28, 2011",HTML,28,38,24,7,Interactive voice response,2.1%
Ipsos Reid,"July 7, 2011","HTML Archived October 3, 2011, at the Wayback Machine",31,42,22,5,Telephone,3.5%
Forum Research,"June 22, 2011",HTML,26,41,22,8,Interactive voice response,1.7%
Ipsos Reid,"June 9, 2011",HTML,34,40,20,6,Telephone,3.5%
Nanos Research,"May 15, 2011",PDF,34,41,19,5,Telephone,4.7%
Nanos Research,"March 11, 2011",PDF,35,44,16,4,Telephone,4.9%
Nanos Research,"February 3, 2011",PDF,39,43,13,5,Telephone,4.7%
Ipsos Reid,"January 20, 2011","HTML Archived January 29, 2011, at the Wayback Machine",35,38,17,9,Telephone,
Ipsos Reid,"November 18, 2010",HTML[permanent dead link],32,41,20,7,,
Angus Reid,"September 28, 2010",PDF,29,41,22,8,Online,3.5%
Ipsos Reid,"August 21, 2010",HTML,35,36,18,11,,
Ipsos Reid,"June 19, 2010",HTML,37,32,20,11,,
Nanos Research,"February 10, 2010",PDF,41.4,37.9,12.8,7.9,Telephone,4.9%
Ipsos Reid,"December 13, 2009",HTML,38,34,15,10,,
Angus Reid,"December 4, 2009",PDF,27,41,20,11,,
Nanos Research,"October 25, 2009",PDF,36.6,35,17.2,9.8,Telephone,4.8%
