Polling firm,"Date",Link,Liberal,PC,NDP,Green,Other,"Margin of error","Sample size",Polling method,Lead
Forum Research,"June 6, 2018",PDF,21,39,34,5,1,±3 pp,"2,178",IVR,5
Research Co.,"June 6, 2018",HTML,20,39,37,4,1,±3.8 pp,661,Online,2
EKOS,"June 6, 2018",PDF,18.9,39.1,35.1,4.5,2.4,±2.8 pp,"1,230",IVR,4.0
Pollara,"June 5, 2018",PDF,17,38,38,6,2,±3.3 pp,906 (1/3),Online/telephone (rolling),0
Ipsos,"June 5, 2018","HTML Archived October 8, 2018, at the Wayback Machine",19,39,36,,6*,±3.1 pp,"1,501",Online/telephone,3
Mainstreet Research,"June 4, 2018",HTML,20.2,39.0,34.3,4.9,1.7,±1.7 pp,"3,320",IVR,4.7
Leger,"June 4, 2018",HTML,18,39,38,,5*,N/A,"1,008",Online,1
Pollara,"June 4, 2018",PDF,17,39,37,6,1,±3.0 pp,"1,083 (1/4)",Online/telephone (rolling),2
Pollara,"June 3, 2018",PDF,20,38,37,5,1,±2.7 pp,"1,275 (1/4)",Online/telephone (rolling),1
Forum Research,"June 2, 2018",PDF,18,38,37,5,2,±3 pp,"2,349",IVR,1
Abacus Data,"June 2, 2018","HTML Archived August 4, 2018, at the Wayback Machine",23,33,37,5,2,±1.9 pp,"2,646",Online,4
Pollara,"June 2, 2018",PDF,20,37,37,5,1,±2.6 pp,"1,447",Online/telephone,0
EKOS,"May 31, 2018",PDF,19.3,38.6,34.9,5.9,1.2,±3.1 pp,990 (2/3),IVR (rolling),3.7
Research Co.,"May 31, 2018",HTML,18,38,39,4,1,±3.7 pp,701,Online,1
Forum Research,"May 29, 2018",PDF,19,39,35,5,2,±2 pp,"2,602",IVR,4
H+K Strategies,"May 29, 2018",HTML,19,37,39,6,,±2.5 pp,"1,500",Online,2
EKOS,"May 29, 2018",PDF,19.1,37.9,38.4,3.3,1.3,±3.2 pp,945,IVR,0.5
Angus Reid,"May 29, 2018",PDF,17,37,39,5,2,±3.5 pp,773,Online,2
Innovative Research,"May 29, 2018",PDF,22,34,36,6,2,N/A,958,Online,2
Innovative Research,"May 29, 2018",PDF,21,34,37,6,1,±4.0 pp,611,Telephone,3
Pollara,"May 28, 2018",PDF,17,32,43,5,2,±3.5 pp,800,Online,11
Mainstreet Research,"May 27, 2018",HTML,16.0,37.9,39.3,4.5,2.4,±2.39 pp,"1,682",IVR,1.4
Ipsos,"May 27, 2018","HTML Archived May 29, 2018, at the Wayback Machine",22,37,34,,7*,±3.2 pp,"1,241",Online/telephone,3
Abacus Data,"May 26, 2018","HTML Archived July 12, 2019, at the Wayback Machine",23,33,37,4,2,±3.5 pp,800,Online,4
EKOS,"May 24, 2018",PDF,20.4,34.9,35.6,7.0,2.1,±3.1 pp,"1,021",IVR,0.7
Forum Research,"May 23, 2018",PDF,14,33,47,4,2,±3 pp,906,IVR,14
Innovative Research,"May 23, 2018",PDF,26,36,31,6,1,N/A,"1,074",Online,5
Pollara,"May 22, 2018",HTML,18,37,38,5,2,±3.3 pp,870,Online,1
Leger,"May 22, 2018",PDF,21,37,37,,5*,±3.09 pp,"1,008",Online,0
Ipsos,"May 21, 2018","HTML Archived May 23, 2018, at the Wayback Machine",23,36,37,,4*,±3.5 pp,"1,000",Online,1
Abacus Data,"May 18, 2018","HTML Archived August 4, 2018, at the Wayback Machine",24,35,34,5,2,±1.9 pp,"2,824",Online,1
Mainstreet Research,"May 18, 2018",HTML,22.3,41.9,29.3,5.0,1.4,±2.02 pp,"2,350",IVR,12.6
EKOS,"May 17, 2018",PDF,23.3,39.1,29.8,5.4,2.3,±2.9 pp,"1,124",IVR,9.3
H+K Strategies,"May 15, 2018",HTML,23,38,32,,7*,±2.5 pp,"1,500",Online,6
Ipsos,"May 14, 2018","HTML Archived May 16, 2018, at the Wayback Machine",22,40,35,,3*,±3.5 pp,"1,000",Online,5
Innovative Research,"May 12, 2018",PDF,27,35,31,6,1,N/A,"1,529",Online,4
Mainstreet Research,"May 11, 2018",HTML,22.1,42.3,28.4,5.4,1.8,±1.95 pp,"2,534",IVR,13.9
Forum Research,"May 9, 2018",PDF,22,40,33,4,2,±4 pp,777,IVR,7
Innovative Research,"May 9, 2018","PDF Archived May 16, 2018, at the Wayback Machine",28,38,28,6,1,N/A,915,Online,10
