Polling firm,"Date",Source,PC,NDP,Liberal,Green,New Blue,Ontario,Other,Margin of error,Sample size,Polling type,Lead
Forum Research,"June 1, 2022",,40.3,23.2,24.5,6.5,—,—,5.5,±3.1%,"1,032",IVR,15.8
Research Co.,"June 1, 2022",,39,23,26,6,3,1,1,+3.8%,659,Online,13
EKOS,"June 1, 2022",,37,23.5,24.7,8.7,4.4,—,2,+2.6%,"1,430",IVR,12.3
Abacus Data,"June 1, 2022",,40,22,27,4,4,—,3,N/A,"1,043",Online,13
Mainstreet Research,"June 1, 2022",,38.9,22.8,24.2,9.4,—,—,4.7,+2.2%,"2,034 (1/3)",IVR (rolling),14.7
Ipsos,"May 31, 2022",,41,25,24,6,—,—,4,+2.2%,"2,501",Telephone/Online,16
Nanos Research,"May 31, 2022",,38.8,24.7,26.3,6.1,2,2.1,0.2,±4.5%,465,Telephone/Online,12.5
Mainstreet Research,"May 31, 2022",,35.4,23.9,26.2,9.2,—,—,5.2,+2.1%,"2,086 (1/3)",IVR (rolling),9.2
Leger,"May 30, 2022",,40,24,25,5,3,2,1,N/A,"1,334",Online,15
Innovative Research Group,"May 30, 2022",,34,24,29,8,3,—,2,N/A,637,Online,5
Mainstreet Research,"May 30, 2022",,39.3,22.5,26.8,6.4,—,—,5.1,+2.1%,"2,089 (1/3)",IVR (rolling),12.5
Earnscliffe/Leger,"May 29, 2022",,39,24,26,5,—,—,6,N/A,"1,000",Online,13
Mainstreet Research,"May 29, 2022",,36.6,23.5,27.2,6.8,—,—,5.8,+2.2%,"1,921 (1/3)",IVR (rolling),9.4
Counsel,"May 28, 2022",,39.6,22.5,25.1,7.1,—,—,5.7,+2%,"2,411",Online,14.5
Mainstreet Research,"May 28, 2022",,37.3,23.2,26.3,7.1,—,—,6.1,+2.3%,"1,789 (1/3)",IVR (rolling),11
Mainstreet Research,"May 27, 2022",,39.1,20.8,26.5,7.8,—,—,5.8,+2.4%,"1,694 (1/3)",IVR (rolling),12.6
Innovative Research Group,"May 27, 2022",,40,21,28,9,—,—,3,N/A,492,Telephone,12
Mainstreet Research,"May 26, 2022",,38.3,21.6,26.9,7.6,—,—,5.7,+2.4%,"1,704 (1/3)",IVR (rolling),11.4
Angus Reid,"May 25, 2022",,38,24,26,7,—,—,5,N/A,"1,331",Online,12
