Polling firm,Date,Source,Sample size,MoE,CAQ,PLQ,PQ,QS,PCQ,Other,Lead
Forum,"October 2, 2022",PDF,981,±3%,36.8,15.4,17.2,14.3,14.4,1.9,19.6
Research Co.,"October 2, 2022",HTML,708,±3.7%,41,16,12,14,16,1,25
Mainstreet,"October 2, 2022",PDF,"1,508",±2.5%,41.4,14.8,14.0,12.0,16.7,1.2,24.7
Mainstreet,"October 1, 2022",PDF,"1,445",±2.6%,41.7,14.9,13.1,11.6,17.8,1.1,23.9
Mainstreet,"September 30, 2022",PDF,"1,463",±2.6%,41.3,15.4,12.8,11.2,18.4,1.0,22.9
Léger,"September 30, 2022",URL,950,±3.1%,38,17,15,15,14,2,21
Mainstreet,"September 29, 2022",PDF,"1,516",±2.5%,40.3,17.7,12.9,12.5,14.9,1.9,22.6
Mainstreet,"September 28, 2022",PDF,"1,523",±2.5%,40.3,15.7,11.9,13.5,16.4,2.3,23.9
Mainstreet,"September 27, 2022",PDF,"1,533",±2.5%,39.1,16.8,12.4,12.8,16.5,2.4,22.6
Mainstreet,"September 26, 2022",PDF,"1,555",±2.5%,42.1,16.0,10.7,11.3,17.3,2.6,24.8
Léger,"September 25, 2022",URL,"1,023",±3.1%,37,16,15,17,15,0,20
Mainstreet,"September 25, 2022",PDF,"1,529",±2.5%,41.8,16.5,10.0,9.9,18.7,3.1,23.1
Mainstreet,"September 24, 2022",PDF,"1,209",±2.8%,43.5,15.5,7.8,11.0,19.1,3.1,24.4
Mainstreet,"September 23, 2022",PDF,"1,114",±2.8%,38.8,16.8,9.4,14.1,19.3,2.6,19.5
EKOS,"September 23, 2022",PDF,589,±4.0%,34.6,14.3,14.9,20.6,12.3,3.6,14.0
Angus Reid,"September 22, 2022",PDF,"1,221",±2.5%,34,16,12,16,19,2,15
Mainstreet,"September 22, 2022",PDF,"1,192",±2.8%,39.2,15.4,9.7,14.4,19.2,2.9,20.0
Research Co.,"September 21, 2022",HTML,700,±3.7%,40,17,10,14,18,1,22
Mainstreet,"September 21, 2022",PDF,"1,472",±2.6%,39.3,15.1,10.3,14.2,18.3,2.7,21.0
Mainstreet,"September 20, 2022",PDF,"1,467",±2.6%,39.2,14.3,10.6,14.0,19.0,2.9,20.3
Segma,"September 20, 2022",HTML,"1,080",±3%,40,14,14,16,14,1,26
Mainstreet,"September 19, 2022",PDF,"1,538",±2.5%,38.7,15.6,9.9,12.9,19.8,3.1,18.9
Léger,"September 18, 2022",URL,"1,046",±3.0%,38,16,13,16,16,1,22
Mainstreet,"September 18, 2022",PDF,"1,538",±2.5%,39.5,16.5,9.9,11.9,19.7,2.5,19.8
Mainstreet,"September 17, 2022",PDF,"1,846",±2.5%,41.8,17.7,8.1,11.2,17.8,3.3,24.0
Mainstreet,"September 16, 2022",PDF,"1,641",±2.5%,41.0,17.5,8.1,11.0,18.7,3.7,22.3
Mainstreet,"September 15, 2022",PDF,"1,523",±2.5%,42.4,17.6,7.0,10.8,18.3,3.9,24.1
Mainstreet,"September 14, 2022",PDF,"1,530",±2.5%,41.8,17.3,7.4,10.8,18.9,3.8,22.9
Mainstreet,"September 13, 2022",PDF,"1,529",±2.5%,41.4,17.8,7.5,10.5,19.3,3.5,22.1
Léger,"September 12, 2022",PDF,"3,100",±1.8%,38,18,11,17,15,2,20
Mainstreet,"September 12, 2022",PDF,"1,525",±2.5%,43.0,17.6,7.1,10.6,18.5,3.2,24.5
Mainstreet,"September 11, 2022",PDF,"1,499",±2.5%,40.8,18.4,8.0,10.9,18.5,3.5,22.3
Mainstreet,"September 10, 2022",PDF,"1,489",±2.5%,40.9,17.6,7.5,10.6,19.7,3.7,21.2
Mainstreet,"September 9, 2022",PDF,"1,500",±2.5%,40.6,18.1,8.8,9.7,19.2,3.7,21.4
Mainstreet,"September 8, 2022",PDF,"1,534",±2.5%,38.3,18.4,9.2,10.4,19.2,4.5,19.1
Mainstreet,"September 7, 2022",PDF,"1,548",±2.5%,37.5,18.1,10.2,11.4,18.6,4.3,18.9
Mainstreet,"September 6, 2022",PDF,"1,569",±2.5%,37.9,17.6,11.4,11.0,17.5,4.7,20.3
Mainstreet,"September 5, 2022",PDF,"1,537",±2.5%,37.6,18.4,10.6,12.0,16.3,5.1,19.2
