"Date",Polling firm,Sample size,Con,Lab,Lib Dem,UKIP,Green,Others,Lead
7 May,Populus,"3,917",34%,34%,9%,13%,5%,6%,Tie
6 May,Survation(unpublished),"1,045",37%,31%,10%,11%,5%,6%,6%
6 May,SurveyMonkey,"18,131",34%,28%,7%,13%,8%,9%,6%
6 May,Lord Ashcroft,"3,028",33%,33%,10%,11%,6%,8%,Tie
6 May,Ipsos MORI/Evening Standard,"1,186",36%,35%,8%,11%,5%,5%,1%
6 May,YouGov/The Sun,"10,307",34%,34%,10%,12%,4%,6%,Tie
6 May,"ComRes/Daily Mail, ITV News Archived 18 May 2015 at the Wayback Machine","1,007",35%,34%,9%,12%,4%,6%,1%
6 May,Survation/Daily Mirror,"4,088",31%,31%,10%,16%,5%,7%,Tie
6 May,ICM/The Guardian,"2,023",34%,35%,9%,11%,4%,7%,1%
6 May,ICM/The Guardian,"1,560",35%,35%,9%,11%,3%,7%,Tie
6 May,Panelbase Archived 18 May 2015 at the Wayback Machine,"3,019",31%,33%,8%,16%,5%,7%,2%
5 May,Opinium,"2,960",35%,34%,8%,12%,6%,5%,1%
5 May,YouGov/The Sun,"2,148",34%,34%,9%,12%,5%,6%,Tie
5 May,Survation/Daily Mirror,"1,504",33%,34%,9%,16%,4%,4%,1%
5 May,"ComRes/Daily Mail, ITV News Archived 22 October 2015 at the Wayback Machine","1,011",35%,32%,9%,14%,4%,6%,3%
5 May,"BMG/May2015.com, New Statesman","1,009",34%,34%,10%,12%,4%,6%,Tie
4 May,YouGov/The Sun,"1,664",33%,33%,10%,12%,5%,6%,Tie
4 May,TNS,"1,185",33%,32%,8%,14%,6%,6%,1%
3 May,YouGov/The Sun,"1,789",34%,33%,9%,12%,5%,7%,1%
3 May,Lord Ashcroft,"1,001",32%,30%,11%,12%,7%,9%,2%
3 May,Populus,"2,054",34%,34%,10%,13%,5%,5%,Tie
2 May,YouGov/Sunday Times,"1,967",34%,33%,8%,13%,5%,7%,1%
2 May,Survation/Mail on Sunday,"2,128",31%,34%,8%,17%,4%,6%,3%
1 May,YouGov/The Sun,"1,575",33%,34%,8%,14%,5%,5%,1%
1 May,Survation/Daily Mirror,"1,117",33%,34%,9%,16%,3%,5%,1%
30 Apr,"Question Time featuring David Cameron, Nick Clegg and Ed Miliband broadcast on BBC One;
30 Apr,YouGov/Sun on Sunday,1970,34%,35%,9%,12%,5%,6%,1%
30 Apr,Populus,2016,33%,33%,9%,15%,4%,5%,Tie
30 Apr,YouGov/The Sun,"1,729",34%,35%,8%,12%,5%,6%,1%
30 Apr,Panelbase,"1,020",32%,34%,8%,17%,4%,7%,2%
30 Apr,"ComRes/Independent on Sunday, Sunday Mirror Archived 14 May 2015 at the Wayback Machine","1,002",33%,33%,8%,13%,7%,6%,Tie
30 Apr,Opinium/The Observer,"1,956",35%,34%,8%,13%,5%,5%,1%
29 Apr,YouGov/The Sun,"1,823",35%,34%,9%,12%,4%,6%,1%
29 Apr,Ipsos MORI/Evening Standard,"1,010",35%,30%,8%,10%,8%,9%,5%
28 Apr,"ComRes/ITV News, Daily Mail Archived 18 May 2015 at the Wayback Machine","1,005",35%,35%,7%,11%,6%,6%,Tie
28 Apr,YouGov/The Sun,"1,749",34%,35%,9%,12%,4%,6%,1%
27 Apr,YouGov/The Sun,"2,127",35%,34%,9%,12%,5%,6%,1%
27 Apr,BMG/May2015.com,"1,013",35%,32%,11%,14%,3%,5%,3%
27 Apr,TNS,"1,186",34%,33%,7%,15%,5%,5%,1%
26 Apr,YouGov/The Sun,"2,096",33%,34%,8%,14%,5%,6%,1%
26 Apr,Lord Ashcroft,"1,003",36%,30%,9%,11%,7%,7%,6%
26 Apr,ICM/The Guardian,"1,004",35%,32%,9%,13%,5%,6%,3%
26 Apr,Populus,"2,072",33%,36%,8%,14%,5%,4%,3%
25 Apr,YouGov/Sunday Times,"2,271",32%,34%,9%,14%,6%,5%,2%
25 Apr,Survation/Mail on Sunday,"1,004",33%,30%,9%,18%,4%,6%,3%
24 Apr,YouGov/The Sun,"1,594",33%,35%,8%,13%,6%,5%,2%
24 Apr,Opinium/The Observer,"1,964",34%,33%,9%,13%,6%,5%,1%
23 Apr,Populus,"2,051",32%,35%,8%,14%,5%,6%,3%
23 Apr,YouGov/The Sun,"1,834",33%,35%,8%,13%,6%,6%,2%
23 Apr,Survation/Daily Mirror,"1,205",33%,29%,10%,18%,4%,6%,4%
23 Apr,Panelbase,"1,012",31%,34%,7%,17%,4%,7%,3%
22 Apr,"ComRes/ITV News, Daily Mail Archived 30 April 2015 at the Wayback Machine","1,003",36%,32%,8%,10%,5%,9%,4%
22 Apr,YouGov/The Sun,"2,060",33%,34%,7%,14%,5%,6%,1%
