"Date",Polling firm,"Sample size",Con,Lab,UKIP,Lib Dem,SNP,Green,Others,Lead
7 Jun,Ipsos MORI/Evening Standard,"1,291",44%,36%,4%,7%,5%,2%,2%,8%
7 Jun,BMG/The Herald,"1,199",46%,33%,5%,8%,4%,3%,2%,13%
7 Jun,Survation,"2,798",41%,40%,2%,8%,4%,2%,2%,1%
7 Jun,ICM/The Guardian,"1,532",46%,34%,5%,7%,5%,2%,1%,12%
7 Jun,YouGov/The Times,"2,130",42%,35%,5%,10%,5%,2%,1%,7%
7 Jun,ComRes/Independent,"2,051",44%,34%,5%,9%,4%,2%,1%,10%
7 Jun,Qriously/Wired,"2,213",39%,41%,4%,6%,3%,7%,7%,2%
7 Jun,Panelbase,"3,018",44%,36%,5%,7%,4%,2%,2%,8%
7 Jun,Kantar Public Archived 11 June 2017 at the Wayback Machine,"2,159",43%,38%,4%,7%,4%,2%,2%,5%
6 Jun,Opinium,"3,002",43%,36%,5%,8%,5%,2%,1%,7%
4 Jun,ICM/The Guardian,"2,000",45%,34%,5%,8%,4%,3%,1%,11%
3 Jun,Survation/Mail on Sunday,"1,049",40%,39%,5%,8%,4%,5%,5%,1%
3 Jun,Survation/Good Morning Britain,"1,103",41%,40%,3%,6%,4%,1%,4%,1%
2 Jun,YouGov/Sunday Times,"1,989",42%,38%,4%,9%,4%,2%,0%,4%
2 Jun,ICM/The Sun on Sunday,"2,051",45%,34%,5%,9%,4%,3%,1%,11%
2 Jun,"ComRes/Sunday Mirror, Independent on Sunday","2,038",47%,35%,4%,8%,3%,1%,1%,12%
1 Jun,ORB/Telegraph,"1,656",45%,36%,4%,8%,7%,7%,7%,9%
1 Jun,Ipsos MORI/Evening Standard,"1,046",45%,40%,2%,7%,3%,2%,1%,5%
1 Jun,Panelbase,"1,224",44%,36%,5%,7%,5%,2%,1%,8%
31 May,Opinium/Observer,"2,006",43%,37%,5%,6%,5%,2%,1%,6%
31 May,YouGov/The Times,"1,875",42%,39%,4%,7%,4%,2%,1%,3%
30 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,"1,199",43%,33%,4%,11%,4%,3%,1%,10%
29 May,ICM/The Guardian,"2,002",45%,33%,5%,8%,4%,3%,2%,12%
29 May,Qriously,"1,153",43%,39%,5%,6%,3%,2%,3%,4%
27 May,Survation/Good Morning Britain,"1,009",43%,37%,4%,8%,2%,1%,4%,6%
26 May,YouGov/Sunday Times,"2,003",43%,36%,4%,9%,4%,2%,1%,7%
26 May,ICM/The Sun on Sunday,"2,044",46%,32%,5%,8%,4%,2%,1%,14%
26 May,"ComRes/Sunday Mirror, Independent on Sunday","2,024",46%,34%,5%,8%,4%,2%,1%,12%
25 May,ORB/Sunday Telegraph,"1,556",44%,38%,5%,7%,4%,2%,2%,6%
25 May,YouGov/The Times,"2,052",43%,38%,4%,10%,5%,1%,0%,5%
24 May,Opinium/Observer,"2,002",45%,35%,5%,7%,5%,2%,1%,10%
23 May,Panelbase/The Sunday Times,"1,019",48%,33%,4%,7%,5%,2%,1%,15%
22 May,Kantar Public Archived 6 June 2017 at the Wayback Machine,"1,200",42%,34%,4%,9%,4%,4%,2%,8%
21 May,ICM/The Guardian,"2,004",47%,33%,4%,9%,4%,2%,1%,14%
20 May,Survation/Good Morning Britain,"1,034",43%,34%,4%,8%,3%,2%,5%,9%
20 May,Survation/Mail on Sunday,"1,017",46%,34%,3%,8%,4%,1%,3%,12%
19 May,YouGov/Sunday Times,"1,925",44%,35%,3%,9%,5%,2%,1%,9%
18 May,ORB/Sunday Telegraph,"1,551",46%,34%,7%,7%,4%,2%,2%,12%
17 May,Opinium/Observer,"2,003",46%,33%,5%,8%,5%,2%,1%,13%
17 May,YouGov/The Times,"1,861",45%,32%,6%,8%,5%,2%,1%,13%
15 May,Kantar Public Archived 22 June 2017 at the Wayback Machine,"1,201",47%,29%,6%,8%,4%,4%,2%,18%
14 May,ICM/The Guardian,"2,030",48%,28%,6%,10%,4%,3%,1%,20%
14 May,GfK/Business Insider,"1,952",48%,28%,5%,7%,6%,3%,2%,20%
13 May,Survation/Good Morning Britain,"1,016",48%,30%,4%,8%,4%,2%,4%,18%
12 May,YouGov/Sunday Times,"1,630",49%,31%,3%,9%,5%,2%,1%,18%
12 May,"ComRes/Sunday Mirror, Independent on Sunday","2,007",48%,30%,5%,10%,4%,3%,1%,18%
12 May,Opinium/Observer,"2,003",47%,32%,5%,8%,5%,2%,1%,15%
11 May,ORB/Sunday Telegraph,"1,508",46%,32%,6%,8%,5%,4%,4%,14%
10 May,YouGov/The Times,"1,651",46%,30%,5%,11%,6%,2%,1%,16%
9 May,Panelbase,"1,027",48%,31%,5%,8%,4%,2%,2%,17%
8 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,"1,201",44%,28%,8%,11%,4%,5%,1%,16%
7 May,ICM/The Guardian,"2,038",49%,27%,6%,9%,4%,3%,1%,22%
6 May,Survation/Good Morning Britain,"1,005",47%,30%,4%,7%,5%,3%,3%,17%
5 May,YouGov/Sunday Times,"1,644",47%,28%,6%,11%,5%,2%,1%,19%
4 May,ORB/Sunday Telegraph,"1,550",46%,31%,8%,9%,3%,3%,3%,15%
3 May,Opinium/Observer,"2,005",46%,30%,7%,9%,4%,2%,1%,16%
3 May,YouGov/The Times,"2,066",48%,29%,5%,10%,5%,2%,1%,19%
2 May,Panelbase,"1,034",47%,30%,5%,10%,5%,2%,1%,17%
2 May,ICM/The Guardian,"1,970",47%,28%,8%,8%,3%,4%,1%,19%
1 May,Qriously,"1,240",44%,28%,8%,9%,3%,4%,4%,15%
2 May,Kantar Public Archived 8 July 2017 at the Wayback Machine,"1,205",48%,24%,7%,11%,4%,4%,2%,24%
28 Apr,YouGov/Sunday Times,"1,612",44%,31%,6%,11%,4%,2%,2%,13%
28 Apr,Opinium/Observer,"2,007",47%,30%,7%,8%,5%,3%,1%,17%
27 Apr,ORB/Sunday Telegraph,"2,093",42%,31%,8%,10%,4%,4%,4%,11%
26 Apr,YouGov/The Times,"1,590",45%,29%,7%,10%,5%,3%,1%,16%
25 Apr,Ipsos MORI/Evening Standard[permanent dead link],"1,004",49%,26%,4%,13%,4%,1%,4%,23%
24 Apr,ICM/The Guardian,"2,024",48%,27%,7%,10%,4%,3%,1%,21%
24 Apr,Panelbase,"1,026",49%,27%,5%,10%,5%,3%,1%,22%
24 Apr,Kantar Public Archived 26 April 2017 at the Wayback Machine,"1,196",46%,24%,8%,11%,5%,4%,1%,22%
22 Apr,Survation/Mail on Sunday,"2,072",40%,29%,11%,11%,4%,2%,3%,11%
21 Apr,YouGov/Sunday Times,"1,590",48%,25%,5%,12%,6%,3%,1%,23%
21 Apr,ICM/ITV,"2,027",48%,26%,8%,10%,4%,3%,2%,22%
20 Apr,ORB/Daily Telegraph,"1,860",44%,29%,10%,8%,5%,4%,4%,15%
20 Apr,ComRes/Sunday Mirror Archived 22 April 2017 at the Wayback Machine,"2,074",50%,25%,7%,11%,4%,3%,1%,25%
20 Apr,Opinium/Observer,"2,003",45%,26%,9%,11%,4%,3%,1%,19%
20 Apr,YouGov,"12,746",44%,25%,9%,12%,6%,3%,1%,19%
19 Apr,YouGov/The Times,"1,727",48%,24%,7%,12%,6%,2%,1%,24%
18 Apr,ICM/The Guardian,"1,000",46%,25%,8%,11%,4%,4%,1%,21%
17 Apr,ICM/The Guardian,"2,052",44%,26%,11%,10%,4%,4%,1%,18%
13 Apr,YouGov/The Times,"2,069",44%,23%,10%,12%,6%,4%,1%,21%
13 Apr,"ComRes/Sunday Mirror, Independent on Sunday","2,026",46%,25%,9%,11%,4%,4%,2%,21%
13 Apr,Opinium/Observer,"2,002",38%,29%,14%,7%,5%,5%,1%,9%
6 Apr,YouGov/The Times,"1,651",42%,25%,11%,11%,8%,3%,1%,17%
2 Apr,ICM/The Guardian,"2,005",43%,25%,11%,11%,5%,4%,2%,18%
27 Mar,YouGov/The Times,"1,957",43%,25%,10%,11%,6%,3%,1%,18%
21 Mar,YouGov/The Times,"1,627",41%,25%,12%,11%,6%,3%,2%,16%
19 Mar,ICM/The Guardian,"2,012",45%,26%,10%,9%,4%,4%,1%,19%
17 Mar,"ComRes/Sunday Mirror, Independent on Sunday","2,026",42%,25%,10%,12%,5%,4%,2%,17%
17 Mar,Opinium/Observer,"2,007",41%,28%,13%,8%,6%,3%,1%,13%
15 Mar,GfK,"1,938",41%,28%,12%,7%,5%,6%,1%,13%
14 Mar,YouGov/The Times,"1,631",44%,27%,9%,10%,5%,4%,0%,17%
9 Mar,YouGov/The Times,"1,598",44%,25%,11%,10%,6%,3%,1%,19%
5 Mar,ICM/The Guardian,"1,787",44%,28%,11%,8%,4%,5%,1%,16%
