Polling firm,"Date",Area,"Sample size",Con,Lab,Lib Dem,SNP,Plaid Cymru,Green,Brexit,UKIP,Change UK,Other,Lead
2019 general election,12 Dec,UK,–,43.6%,32.1%,11.6%,3.9%,0.5%,2.7%,2.0%,0.1%,0.0%,3.1%,11.5%
2019 general election,12 Dec,GB,–,44.7%,33.0%,11.8%,4.0%,0.5%,2.8%,2.1%,0.1%,0.0%,1.0%,11.7%
Survation,10–11 Dec,GB,"2,395",45%,34%,9%,4%,1%,3%,3%,–,–,1%,11%
Panelbase,10–11 Dec,GB,"3,174",43%,34%,11%,4%,0%,3%,4%,–,–,–,9%
Opinium Archived 11 December 2019 at the Wayback Machine,10–11 Dec,GB,"3,005",45%,33%,12%,4%,0%,2%,2%,–,–,1%,12%
Ipsos MORI/Evening Standard,9–11 Dec,GB,"2,213",44%,33%,12%,–,–,3%,2%,–,–,6%,11%
Deltapoll,9–11 Dec,GB,"1,818",45%,35%,10%,4%,0%,3%,4%,–,–,0%,10%
Kantar Archived 11 December 2019 at the Wayback Machine,9–11 Dec,GB,"2,815",44%,32%,13%,4%,0%,3%,3%,–,–,1%,12%
BMG/The Independent,6–11 Dec,GB,"1,660",41%,32%,14%,–,–,3%,4%,–,–,6%,9%
SavantaComRes/The Daily Telegraph,9–10 Dec,GB,"2,051",41%,36%,12%,4%,–,2%,3%,–,–,2%,5%
Number Cruncher Politics/Bloomberg,8–10 Dec,GB,"1,009",43%,33%,12%,4%,1%,3%,3%,–,–,1%,10%
YouGov (MRP),4–10 Dec,GB,"105,612",43%,34%,12%,3%,0%,3%,3%,–,–,2%,9%
FocalData (MRP),27 Nov–10 Dec,GB,"21,213",42%,34%,14%,3%,1%,3%,3%,–,–,1%,8%
ICM Research/Reuters,6–9 Dec,GB,"2,011",42%,36%,12%,3%,0%,2%,3%,0%,–,1%,6%
SavantaComRes/Remain United,6–8 Dec,GB,"6,073",43%,36%,12%,4%,0%,2%,3%,–,–,1%,7%
Qriously,5–8 Dec,UK,"2,222",43%,30%,12%,2%,–,4%,3%,–,–,5%,13%
Survation/Good Morning Britain,5–7 Dec,UK,"1,012",45%,31%,11%,3%,1%,2%,4%,–,–,3%,14%
Deltapoll/The Mail on Sunday,5–7 Dec,GB,"1,533",44%,33%,11%,4%,0%,2%,3%,1%,–,1%,11%
YouGov/The Sunday Times,5–6 Dec,GB,"1,680",43%,33%,13%,4%,0%,3%,3%,–,–,1%,10%
