Riding,Winner
Banff--Airdrie,Con
Battle River--Crowfoot,Con
Bow River,Con
Calgary Centre,Con
Calgary Confederation,Con
Calgary Forest Lawn,Con
Calgary Heritage,Con
Calgary Midnapore,Con
Calgary Nose Hill,Con
Calgary Rocky Ridge,Con
Calgary Shepard,Con
Calgary Signal Hill,Con
Calgary Skyview,Con
Edmonton Centre,Con
Edmonton Griesbach,Con
Edmonton Manning,Con
Edmonton Mill Woods,Con
Edmonton Riverbend,Con
Edmonton Strathcona,NDP
Edmonton West,Con
Edmonton--Wetaskiwin,Con
Foothills,Con
Fort McMurray--Cold Lake,Con
Grande Prairie--Mackenzie,Con
Lakeland,Con
Lethbridge,Con
Medicine Hat--Cardston--Warner,Con
Peace River--Westlock,Con
Red Deer--Lacombe,Con
Red Deer--Mountain View,Con
Sherwood Park--Fort Saskatchewan,Con
St. Albert--Edmonton,Con
Sturgeon River--Parkland,Con
Yellowhead,Con
Abbotsford,Con
Burnaby North--Seymour,Con
Burnaby South,NDP
Cariboo--Prince George,Con
Central Okanagan--Similkameen--Nicola,Con
Chilliwack--Hope,Con
Cloverdale--Langley City,Con
Coquitlam--Port Coquitlam,Con
Courtenay--Alberni,NDP
Cowichan--Malahat--Langford,NDP
Delta,Con
Esquimalt--Saanich--Sooke,NDP
Fleetwood--Port Kells,Con
Kamloops--Thompson--Cariboo,Con
Kelowna--Lake Country,Con
Kootenay--Columbia,Con
Langley--Aldergrove,Con
Mission--Matsqui--Fraser Canyon,Con
Nanaimo--Ladysmith,Green
New Westminster--Burnaby,NDP
North Island--Powell River,Con
North Okanagan--Shuswap,Con
North Vancouver,Con
Pitt Meadows--Maple Ridge,Con
Port Moody--Coquitlam,Con
Prince George--Peace River--Northern Rockies,Con
Richmond Centre,Con
Saanich--Gulf Islands,Green
Skeena--Bulkley Valley,Con
South Okanagan--West Kootenay,Con
South Surrey--White Rock,Con
Steveston--Richmond East,Con
Surrey Centre,Lib
Surrey--Newton,Lib
Vancouver Centre,NDP
Vancouver East,NDP
Vancouver Granville,NDP
Vancouver Kingsway,NDP
Vancouver Quadra,Con
Vancouver South,Lib
Victoria,NDP
West Vancouver--Sunshine Coast--Sea to Sky Country,Con
Brandon--Souris,Con
Charleswood--St. James--Assiniboia--Headingley,Con
Churchill--Keewatinook Aski,NDP
Dauphin--Swan River--Neepawa,Con
Elmwood--Transcona,NDP
Kildonan--St. Paul,Con
Portage--Lisgar,Con
Provencher,Con
Saint Boniface--Saint Vital,Con
Selkirk--Interlake--Eastman,Con
Winnipeg Centre,NDP
Winnipeg North,Lib
Winnipeg South,Con
Winnipeg South Centre,Con
Acadie--Bathurst,Lib
Beauséjour,Lib
Fredericton,Con
Fundy Royal,Con
Madawaska--Restigouche,Lib
Miramichi--Grand Lake,Con
Moncton--Riverview--Dieppe,Lib
New Brunswick Southwest,Con
Saint John--Rothesay,Con
Tobique--Mactaquac,Con
Avalon,Con
Bonavista--Burin--Trinity,Con
Coast of Bays--Central--Notre Dame,Con
Labrador,Con
Long Range Mountains,Con
St. John's East,NDP
St. John's South--Mount Pearl,Lib
Cape Breton--Canso,Con
Central Nova,Con
Cumberland--Colchester,Con
Dartmouth--Cole Harbour,Lib
Halifax,NDP
Halifax West,Lib
Kings--Hants,Con
Sackville--Preston--Chezzetcook,Con
South Shore--St. Margarets,Con
Sydney--Victoria,Con
West Nova,Con
Ajax,Lib
Algoma--Manitoulin--Kapuskasing,NDP
Aurora--Oak Ridges--Richmond Hill,Con
Barrie--Innisfil,Con
Barrie--Springwater--Oro-Medonte,Con
Bay of Quinte,Con
Beaches--East York,Lib
Brampton Centre,Con
Brampton East,Lib
Brampton North,Lib
Brampton South,Con
Brampton West,Lib
Brantford--Brant,Con
Bruce--Grey--Owen Sound,Con
Burlington,Con
Cambridge,Con
Carleton,Con
Chatham-Kent--Leamington,Con
Davenport,NDP
Don Valley East,Lib
Don Valley North,Lib
Don Valley West,Con
Dufferin--Caledon,Con
Durham,Con
Eglinton--Lawrence,Con
Elgin--Middlesex--London,Con
Essex,Con
Etobicoke Centre,Con
Etobicoke North,Lib
Etobicoke--Lakeshore,Con
Flamborough--Glanbrook,Con
Glengarry--Prescott--Russell,Con
Guelph,Lib
Haldimand--Norfolk,Con
Haliburton--Kawartha Lakes--Brock,Con
Hamilton Centre,NDP
Hamilton East--Stoney Creek,Con
Hamilton Mountain,NDP
Hamilton West--Ancaster--Dundas,Con
Hastings--Lennox and Addington,Con
Humber River--Black Creek,Lib
Huron--Bruce,Con
Kanata--Carleton,Con
Kenora,Con
Kingston and the Islands,Lib
King--Vaughan,Con
Kitchener Centre,Green
Kitchener South--Hespeler,Con
Kitchener--Conestoga,Con
Lambton--Kent--Middlesex,Con
Lanark--Frontenac--Kingston,Con
Leeds--Grenville--Thousand Islands and Rideau Lakes,Con
London North Centre,Con
London West,Con
London--Fanshawe,NDP
Markham--Stouffville,Con
Markham--Thornhill,Lib
Markham--Unionville,Con
Milton,Con
Mississauga Centre,Lib
Mississauga East--Cooksville,Con
Mississauga--Erin Mills,Con
Mississauga--Lakeshore,Con
Mississauga--Malton,Lib
Mississauga--Streetsville,Con
Nepean,Con
Newmarket--Aurora,Con
Niagara Centre,Con
Niagara Falls,Con
Niagara West,Con
Nickel Belt,Con
Nipissing--Timiskaming,Con
Northumberland--Peterborough South,Con
Oakville,Con
Oakville North--Burlington,Con
Orléans,Lib
Oshawa,Con
Ottawa Centre,NDP
Ottawa South,Lib
Ottawa West--Nepean,Con
